ST	Mma_argH	Mma_cya	Mma_gnd	Mma_murC	Mma_pta	Mma_purH	Mma_rpoB	clonal_complex
1	2	1	1	1	1	1	2	1
2	2	1	1	1	1	1	8	1
3	1	1	1	1	1	3	7	5
4	1	1	1	2	3	2	3	4
5	1	1	1	2	3	2	9	4
6	1	1	1	3	3	2	3	4
7	1	3	1	5	3	2	4	6
8	2	1	1	6	1	1	8	1
9	1	2	2	1	2	1	5	2
10	1	2	2	1	2	1	1	2
11	3	4	3	4	2	2	6	3
12	3	4	3	4	2	2	10	3
13	1	1	1	1	1	3	11	
14	1	1	1	1	1	5	8	
15	1	3	1	5	3	2	11	
18	1	1	4	8	2	6	7	
24	1	1	5	2	3	2	3	
29	1	1	1	2	3	2	15	
30	1	1	1	1	5	3	11	
31	1	5	1	1	1	1	7	
34	1	1	1	1	1	5	7	
48	1	9	1	2	3	2	3	
54	1	2	4	12	3	9	10	
58	1	1	1	13	1	12	7	
61	1	1	4	15	2	1	10	
62	1	2	6	2	3	2	10	
63	1	1	4	4	2	1	17	
64	1	14	1	1	1	5	8	
65	1	1	1	1	6	5	8	
67	1	1	4	2	3	1	10	
76	1	2	1	12	2	6	7	
