ST	gapA	gltA	infB	mdh	pgi	pyrG	recA
1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2
3	5	3	1	3	3	2	3
4	6	4	3	4	4	3	1
5	3	5	4	5	5	4	4
6	4	6	5	6	6	5	5
7	7	7	6	7	7	6	6
8	9	9	8	14	8	11	7
9	11	11	11	12	10	1	7
10	10	10	9	10	9	21	8
11	19	9	23	10	21	22	3
12	20	3	21	10	22	13	3
13	9	9	8	14	8	23	18
14	12	9	12	13	11	12	7
15	21	9	8	11	23	10	7
16	22	11	11	12	10	1	7
17	9	9	8	14	24	11	7
18	11	19	21	2	2	19	17
19	9	9	10	11	8	10	7
20	17	9	8	23	20	8	7
21	10	10	9	10	9	9	8
22	8	8	7	8	8	7	3
23	18	9	22	2	8	20	7
24	17	9	8	23	25	8	7
25	9	9	8	9	4	8	7
26	13	9	8	2	2	11	7
27	23	20	24	2	4	24	1
28	9	9	10	23	8	20	3
29	24	9	8	11	26	8	7
30	27	21	6	24	7	25	6
31	28	22	25	25	27	26	19
32	29	23	26	26	28	27	20
33	25	23	26	26	28	27	20
34	8	12	13	15	14	13	11
35	8	12	13	15	12	13	9
36	8	13	14	16	13	14	10
37	8	14	15	17	14	13	11
38	8	14	13	15	14	13	11
39	14	15	16	18	15	15	12
40	26	16	17	19	16	16	13
41	15	16	18	20	17	17	14
42	4	17	19	21	18	15	15
43	16	18	20	22	19	18	16
44	17	9	27	23	20	8	7
45	4	24	28	27	6	28	15
46	10	25	29	2	9	29	3
47	30	26	13	28	29	30	21
48	31	9	30	29	8	20	22
49	32	27	4	30	30	31	23
50	12	9	31	13	26	32	7
51	38	13	13	15	31	13	10
52	33	28	32	31	32	33	24
53	34	25	33	2	33	22	1
54	35	10	9	10	9	9	8
55	39	25	34	32	34	34	25
56	36	9	8	9	4	20	7
57	8	29	13	33	31	13	26
58	12	9	8	13	8	32	7
59	37	9	35	2	8	32	7
60	47	9	36	13	8	32	7
61	39	9	37	11	4	35	27
62	40	17	38	34	35	15	28
63	41	30	39	35	36	25	29
64	8	12	40	15	14	13	11
65	42	31	41	36	37	36	30
66	43	32	42	37	38	37	31
67	4	24	45	38	6	38	32
68	8	14	15	15	14	13	11
69	48	27	43	39	5	31	4
70	8	12	13	15	13	13	11
71	44	33	7	8	8	7	3
72	45	34	44	22	39	39	33
73	4	24	28	40	40	40	34
74	46	10	9	10	9	21	8
75	37	35	46	41	8	41	35
76	56	36	47	42	41	42	36
77	51	37	48	43	42	43	37
78	52	38	49	35	43	44	38
79	53	6	50	44	44	45	28
80	49	9	51	45	45	22	39
81	50	9	2	10	46	22	3
82	4	39	50	44	35	45	15
83	12	9	36	13	8	32	7
84	54	24	52	46	47	38	15
85	9	9	12	23	8	22	3
86	55	40	53	47	48	46	40
87	57	41	54	35	49	47	41
88	63	42	55	48	50	48	42
89	8	9	56	2	51	49	35
90	37	9	8	13	11	50	43
91	61	43	57	49	52	51	44
92	62	44	8	13	8	32	7
93	24	9	8	11	11	20	7
94	58	45	58	50	53	22	45
95	59	9	22	51	8	52	7
96	60	26	13	52	54	53	25
97	58	46	11	53	4	54	1
98	38	14	13	15	55	13	46
99	64	47	8	54	26	11	7
100	18	9	59	2	8	20	7
101	65	48	60	8	1	7	7
102	10	49	61	2	4	9	3
103	66	9	23	10	21	22	3
104	12	9	12	50	8	20	7
105	12	9	12	13	11	20	7
106	37	47	8	11	4	8	43
107	8	12	13	16	14	13	11
108	21	9	8	11	4	55	7
109	12	9	8	2	8	8	47
110	68	10	9	10	9	9	8
111	9	9	12	13	23	20	7
112	69	50	63	55	56	56	48
113	70	51	64	56	57	57	30
114	8	9	21	57	51	20	7
115	64	4	65	58	58	13	7
116	3	32	66	39	59	31	31
117	71	52	67	59	60	58	49
118	30	53	13	60	61	59	50
119	72	54	68	61	1	60	25
120	73	9	8	2	8	10	7
121	2	2	2	2	2	2	51
122	67	3	1	10	62	61	3
123	74	9	69	62	23	32	7
124	75	9	8	23	25	8	7
125	76	9	8	13	11	50	43
126	77	55	70	63	63	62	25
127	12	9	8	13	23	20	7
128	78	56	71	64	64	63	52
129	79	32	72	65	65	64	31
130	80	25	33	2	33	22	1
131	6	4	73	66	4	3	1
132	67	3	1	10	2	61	3
133	81	9	31	67	23	11	7
134	82	4	74	53	66	54	3
135	9	9	8	11	23	65	47
136	83	48	75	2	8	22	7
137	37	9	8	23	8	20	7
138	8	8	7	8	8	7	53
139	84	5	76	68	67	66	54
140	1	13	1	10	2	2	55
141	85	27	78	69	68	31	56
