ST	argE	galK	gbpB	purR	clonal_complex
1	1	1	1	1	13
2	2	3	2	2	3
3	2	3	2	4	3
4	1	1	2	4	13
5	2	3	4	4	3
6	2	2	2	2	3
7	2	3	5	4	3
8	1	1	7	3	13
9	1	1	6	4	13
10	4	4	3	4	12
11	3	3	4	4	3
12	4	4	3	5	12
13	1	1	1	4	13
14	1	5	8	4	13
15	5	1	1	4	13
16	4	6	9	4	12
17	1	3	1	4	13
18	1	1	2	1	13
19	4	4	10	5	12
20	1	1	8	4	13
21	4	4	11	5	12
22	2	7	2	2	3
23	2	3	12	4	3
24	2	3	13	4	3
25	6	4	3	5	12
26	1	1	5	4	13
27	4	4	14	5	12
28	2	1	7	3	13
29	2	8	2	4	3
30	2	3	15	4	3
31	2	3	16	4	3
32	1	9	2	4	13
33	4	4	3	6	12
34	4	4	17	5	12
35	7	3	2	4	3
36	4	4	9	5	12
39	2	3	20	4	3
40	1	10	1	4	13
41	1	9	1	4	13
42	1	9	5	4	13
43	1	12	1	4	13
44	1	12	2	4	13
45	1	12	12	4	13
46	2	11	2	4	3
47	8	3	12	4	3
