ST	ppa	pgm	gyrB	gmk	glyA	atpA	arcC	adk	clonal_complex
1	1	2	1	1	1	3	2	1	1
2	2	3	2	2	2	4	1	1	2
3	1	2	1	1	1	3	1	1	1
4	2	1	2	2	2	4	1	1	2
5	1	2	1	1	1	2	1	1	1
6	2	3	2	2	2	1	1	1	2
7	2	3	2	2	2	4	1	2	2
8	2	3	2	2	2	4	1	3	2
9	1	2	1	1	1	3	1	4	1
10	2	1	2	2	2	4	1	2	2
11	1	2	1	1	3	3	1	1	1
12	2	2	1	1	3	3	1	4	
13	1	2	3	1	1	3	1	1	
14	2	3	2	2	4	4	1	5	
15	2	3	2	2	4	4	1	1	
16	2	4	2	2	2	4	1	2	
17	1	5	1	1	1	3	1	1	
18	1	2	1	1	1	3	3	1	
19	1	6	1	1	1	3	1	1	
20	1	2	1	3	1	3	1	1	
21	1	2	1	1	1	3	1	6	
22	1	7	1	1	5	3	4	1	
23	2	8	2	2	2	3	1	1	
24	2	3	2	2	2	3	1	1	
25	2	3	2	2	2	3	1	2	
26	2	3	2	2	4	3	1	1	
27	2	3	2	2	4	3	1	5	
28	2	1	2	2	4	4	1	5	
29	1	2	1	1	1	3	5	1	
30	1	2	1	1	6	3	1	1	
31	2	8	2	2	2	4	1	1	
32	2	3	2	2	7	4	1	5	
