ST	S14Z	L35	S19	L19	S12	S8	L16	S7	species
1	30	29	32	32	33	33	37	36	
2	15	13	17	16	15	16	18	15	
3	133	139	131	147	136	152	169	162	
4	101	103	98	110	106	119	127	124	
5	131	136	126	141	136	152	165	157	
6	16	14	19	18	19	17	21	18	
7	76	33	72	76	78	82	88	92	
8	101	104	98	111	106	121	132	123	
9	101	103	98	109	106	119	127	123	
10	131	136	126	142	136	152	165	157	
11	101	103	98	110	106	119	131	125	
12	59	58	55	58	61	64	69	71	
13	131	136	126	140	136	152	165	159	
14	101	103	98	110	106	119	131	124	
15	38	36	38	37	39	41	44	49	
16	133	139	131	141	136	152	170	163	
17	94	98	93	100	101	109	118	115	
18	118	120	113	126	124	139	149	142	
19	132	137	128	143	136	154	167	160	
20	15	13	18	16	16	16	18	16	
21	100	102	93	108	105	118	126	122	
22	10	10	13	11	11	12	13	11	
23	87	86	83	90	90	98	105	107	
24	136	143	132	150	138	158	176	169	
25	35	33	36	35	37	38	40	48	
26	27	27	31	31	32	31	36	34	
27	27	25	29	29	30	29	34	32	
28	95	97	93	104	101	115	123	120	
29	3	3	3	3	3	4	3	3	
30	101	104	98	111	106	121	130	123	
31	51	48	45	50	53	54	59	63	
32	55	54	51	54	57	60	65	67	
33	131	136	126	141	136	152	165	159	
34	108	111	105	117	115	130	139	132	
35	119	121	114	128	125	140	151	143	
36	67	66	63	66	69	72	77	79	
37	136	142	132	151	137	157	176	168	
38	8	8	9	9	8	9	9	8	
39	72	71	68	72	74	78	83	86	
40	21	19	23	24	23	22	27	24	
41	87	86	83	89	90	97	105	106	
42	35	33	36	35	37	38	40	44	
43	137	145	133	153	140	159	177	171	
44	14	12	16	15	14	15	17	14	
45	107	109	104	116	113	128	137	131	
46	34	32	35	34	35	37	39	40	
47	86	85	82	88	89	96	104	105	
48	120	125	117	129	126	141	155	144	
49	20	19	23	23	23	22	26	23	
50	41	38	40	39	42	44	47	51	
51	10	10	12	12	11	12	13	10	
52	130	136	126	140	136	152	165	156	
53	101	104	98	111	108	121	132	123	
54	97	100	96	103	101	113	121	119	
55	92	92	88	98	97	104	113	112	
56	133	138	131	148	136	155	172	163	
57	19	17	22	21	22	20	24	21	
58	133	139	126	148	136	152	173	164	
59	91	88	86	97	96	101	110	110	
60	126	131	122	136	132	148	161	151	
61	36	33	37	35	37	38	41	42	
62	35	33	36	35	37	38	40	43	
63	130	136	126	141	136	152	165	159	
64	53	52	49	52	55	58	63	65	
65	133	137	131	148	136	152	174	163	
66	2	2	2	2	2	2	2	2	
67	91	88	86	93	93	101	110	110	
68	122	126	118	132	128	143	156	146	
69	71	71	67	71	73	77	82	85	
70	52	49	48	51	54	57	61	64	
71	35	33	36	35	36	38	40	41	
72	93	94	91	95	94	107	116	110	
73	104	106	100	113	110	125	134	127	
74	28	26	30	30	31	30	35	33	
75	62	61	58	61	64	67	72	74	
76	4	4	4	4	4	5	4	4	
77	26	24	28	28	29	27	33	30	
78	24	23	27	27	27	25	31	28	
79	101	104	98	109	106	122	129	124	
80	131	139	126	144	136	152	165	159	
81	91	89	87	94	94	102	111	110	
82	76	33	72	76	78	82	87	90	
83	11	10	13	11	11	13	14	10	
84	132	137	128	143	136	153	167	156	
85	35	33	72	76	78	38	89	93	
86	116	127	118	133	129	144	157	147	
87	65	64	61	64	67	70	75	77	
88	15	13	18	17	17	16	19	17	
89	120	124	117	131	126	141	154	144	
90	61	60	57	60	63	66	71	73	
91	35	33	36	35	37	38	42	44	
92	80	80	76	83	83	89	96	99	
93	36	33	37	35	37	39	41	42	
94	123	128	119	134	130	145	158	148	
95	9	9	10	10	8	10	10	9	
96	50	47	44	49	52	53	58	62	
97	117	119	112	125	123	138	148	141	
98	13	11	15	14	13	14	16	13	
99	74	73	70	74	76	80	85	88	
100	42	38	40	39	42	44	48	52	
101	101	104	98	111	106	122	127	124	
102	124	129	120	135	131	146	159	149	
103	43	39	41	40	43	45	49	53	
104	112	114	107	120	118	133	143	136	
105	127	132	123	137	133	149	162	152	
106	8	8	9	9	9	9	9	8	
107	70	70	66	69	72	76	80	83	
108	111	114	106	119	117	132	142	135	
109	131	136	126	142	136	152	165	158	
110	26	77	75	80	81	86	93	96	
111	86	84	82	88	89	96	102	105	
112	101	103	98	110	106	121	130	123	
113	57	56	53	56	59	62	67	69	
114	91	91	86	97	96	101	111	110	
115	134	139	126	148	136	155	173	166	
116	91	91	86	96	96	103	111	110	
117	101	103	98	110	106	119	129	125	
118	101	103	98	109	106	121	130	123	
119	98	97	97	106	101	116	124	120	
120	26	24	28	28	28	27	32	30	
121	118	120	113	127	124	139	150	142	
122	105	107	102	114	111	126	135	129	
123	10	10	11	11	10	11	11	10	
124	99	101	93	107	104	117	125	121	
125	101	103	98	109	106	119	131	125	
126	35	33	36	35	38	38	40	45	
127	133	138	131	148	136	155	169	164	
128	114	116	109	122	120	135	145	138	
129	58	57	54	57	60	63	68	70	
130	131	138	126	141	136	152	165	159	
131	5	5	5	5	5	6	5	5	
132	91	91	86	95	93	103	110	110	
133	131	138	126	140	136	152	165	157	
134	39	36	38	37	39	42	45	49	
135	60	59	56	59	62	65	70	72	
136	131	136	127	142	136	152	165	158	
137	64	63	60	63	66	69	74	76	
138	35	34	36	35	37	38	40	43	
139	6	6	6	6	6	7	6	6	
140	135	141	132	150	137	156	175	167	
141	102	103	98	110	107	120	128	125	
142	133	139	131	149	136	152	169	162	
143	128	133	124	138	134	150	163	153	
144	133	137	131	148	136	152	169	163	
145	43	39	42	41	44	45	50	53	
146	132	137	128	145	136	154	168	161	
147	94	97	93	100	101	108	118	115	
