ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
1	1	3	1	1	1	1	3	ST-1 complex
2	1	3	4	7	1	1	3	ST-1 complex
3	1	3	1	1	1	23	13	ST-1 complex
4	1	3	3	1	4	2	3	ST-4 complex
5	1	1	2	1	3	2	3	ST-5 complex
6	1	1	2	1	3	2	11	ST-5 complex
7	1	1	2	1	3	2	19	ST-5 complex
8	2	3	7	2	8	5	2	ST-8 complex
9	2	3	8	10	8	5	2	ST-8 complex
10	2	3	4	2	8	15	2	ST-8 complex
11	2	3	4	3	8	4	6	ST-11 complex
12	4	3	2	16	8	11	20	
13	4	10	15	7	8	11	1	ST-269 complex
14	4	1	15	7	8	11	1	ST-269 complex
15	13	3	16	1	3	11	9	ST-364 complex
16	15	9	9	13	8	19	15	ST-4240/6688 complex
17	8	3	13	1	11	12	4	
18	7	8	10	19	10	1	2	ST-18 complex
19	7	8	10	19	8	1	2	ST-18 complex
20	6	8	10	17	10	1	2	ST-18 complex
21	1	5	1	1	2	16	17	
22	11	5	18	8	11	24	21	ST-22 complex
23	10	5	18	9	11	9	17	ST-23 complex
24	2	5	2	7	15	20	5	ST-750 complex
25	6	5	2	12	6	13	14	
26	6	5	2	12	12	10	14	
27	3	5	6	5	7	18	2	
28	13	4	6	17	5	18	2	ST-103 complex
29	2	7	6	9	16	18	8	ST-167 complex
30	6	5	6	5	1	21	8	
31	14	5	6	2	3	8	18	ST-334 complex
32	4	10	5	4	6	3	8	ST-32 complex
33	8	10	5	4	6	3	8	ST-32 complex
34	8	10	5	4	5	3	8	ST-32 complex
35	4	10	11	18	6	10	12	ST-35 complex
36	12	7	4	8	5	21	16	
37	12	2	15	5	13	21	10	ST-37 complex
38	12	2	15	5	13	17	10	ST-37 complex
39	5	4	17	15	14	7	16	ST-198 complex
40	3	6	9	5	9	22	9	ST-41/44 complex
41	3	6	9	5	9	6	9	ST-41/44 complex
42	10	6	9	5	9	6	9	ST-41/44 complex
43	12	6	9	9	9	6	9	ST-41/44 complex
44	9	6	9	9	9	6	9	ST-41/44 complex
45	3	6	9	5	9	6	15	ST-41/44 complex
46	3	6	9	5	3	6	9	ST-41/44 complex
47	9	6	9	14	9	6	2	ST-41/44 complex
48	9	6	14	5	9	5	9	ST-41/44 complex
49	2	6	12	11	3	14	7	ST-254 complex
50	2	3	19	3	8	4	6	ST-11 complex
51	2	3	4	23	8	6	6	ST-11 complex
52	7	3	4	3	8	4	6	ST-11 complex
53	16	2	6	25	17	25	22	ST-53 complex
54	8	13	20	21	3	11	20	
55	4	2	2	20	18	11	9	
56	4	10	2	8	8	11	20	ST-269 complex
57	1	3	1	1	1	2	3	ST-1 complex
58	1	3	21	7	1	1	3	ST-1 complex
59	1	14	1	22	1	23	13	
60	17	5	19	17	3	26	2	ST-60 complex
61	17	10	19	17	3	26	2	ST-60 complex
62	18	3	22	27	19	27	23	
63	18	5	22	30	19	27	24	
64	19	15	23	29	20	28	25	
65	10	3	24	26	5	29	26	
66	2	3	7	6	8	5	2	ST-8 complex
67	2	3	4	24	8	4	6	ST-11 complex
68	1	3	4	7	21	1	17	
69	1	3	4	28	1	1	3	ST-1 complex
70	1	3	4	7	22	21	3	
71	1	3	10	7	1	1	3	ST-1 complex
72	1	3	7	7	1	1	3	ST-1 complex
73	1	3	4	7	1	21	3	ST-1 complex
74	4	10	5	4	5	3	2	ST-32 complex
75	2	3	25	1	1	1	3	ST-1 complex
76	2	3	1	17	1	1	3	ST-1 complex
77	2	3	1	1	1	1	3	ST-1 complex
78	2	3	25	1	1	1	17	ST-1 complex
79	12	5	6	26	9	22	8	
80	1	3	15	31	4	2	3	ST-4 complex
81	1	3	15	13	9	18	17	
82	2	2	12	43	3	37	7	ST-254 complex
