ST	gpsA	mdh	nrdB	nuoF	ppdK	sucB	sucD	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	1	1	1	3	1	
3	2	1	11	1	1	7	16	
4	2	2	1	2	2	2	2	
5	2	2	1	2	2	2	3	
6	2	4	3	4	4	1	5	
7	2	4	3	4	4	2	5	
8	2	11	10	15	14	12	5	
9	3	3	2	1	3	4	4	
10	3	3	2	3	3	4	4	
11	3	3	2	3	3	15	4	
12	4	1	1	1	1	2	2	
13	4	2	1	2	2	2	2	
14	4	2	1	2	2	2	4	
15	4	2	1	2	11	2	2	
16	4	3	2	3	3	15	2	
17	4	9	11	13	11	10	12	
18	5	5	4	1	5	3	6	
19	6	6	5	5	6	2	2	
20	7	1	6	6	7	5	7	
21	8	6	7	7	8	2	8	
22	9	7	1	8	9	2	9	
23	10	1	8	12	10	6	5	
24	10	8	8	9	4	6	5	
25	10	8	8	9	10	2	5	
26	10	8	8	9	10	3	5	
27	10	8	8	9	10	6	5	
28	11	9	1	10	7	7	10	
29	11	9	10	10	7	7	10	
30	11	9	10	10	7	8	10	
31	11	12	10	10	7	7	10	
32	12	8	9	9	10	2	1	
33	12	10	9	11	7	1	11	
34	12	10	9	11	7	3	11	
35	13	1	8	9	1	2	5	
36	13	2	8	9	1	2	5	
37	13	8	8	9	10	2	5	
38	13	8	8	9	12	9	5	
39	14	11	12	14	13	11	4	
40	15	13	13	16	15	13	13	
41	16	1	14	17	7	14	14	
42	17	1	15	18	7	4	15	
43	18	14	2	19	16	1	6	
44	19	15	16	20	17	16	17	
45	20	16	17	21	17	4	11	
46	21	17	14	22	18	17	18	
47	22	18	18	23	19	18	19	
48	23	19	19	24	20	19	20	
49	24	20	14	25	21	20	7	
50	2	1	4	1	5	2	5	
51	2	1	24	33	28	7	22	
52	2	8	8	30	26	2	26	
53	2	8	8	32	26	2	26	
54	10	8	8	36	10	25	5	
55	11	9	3	10	7	7	10	
56	16	1	14	9	10	21	14	
57	16	1	14	9	10	21	15	
58	16	9	14	9	10	21	22	
59	18	14	29	19	16	1	6	
60	25	1	20	18	22	21	21	
61	25	1	33	9	7	21	36	
62	26	1	3	6	7	4	15	
63	26	1	3	10	7	22	14	
64	26	1	3	18	7	4	22	
65	26	1	3	18	7	22	22	
66	26	1	8	35	33	24	32	
67	26	1	8	39	29	24	30	
68	26	1	14	35	33	21	22	
69	26	1	20	18	23	4	14	
70	27	9	21	26	24	2	21	
71	28	9	25	29	27	2	27	
72	28	21	22	27	24	2	23	
73	29	22	23	28	25	2	24	
74	30	9	24	29	24	2	25	
75	31	9	26	29	17	23	28	
76	32	23	27	31	14	2	24	
77	36	1	3	35	33	24	32	
78	36	1	14	18	31	4	22	
79	37	11	30	28	14	2	17	
80	38	1	31	37	34	26	33	
81	39	24	32	38	35	14	34	
82	40	1	14	40	36	22	14	
83	10	8	8	10	10	2	5	
84	16	1	14	9	10	24	21	
85	16	9	14	9	10	4	21	
86	16	9	14	9	10	21	21	
87	16	9	14	9	10	22	21	
88	16	9	14	9	10	24	21	
89	33	1	28	36	1	3	29	
90	34	1	3	34	7	24	22	
91	41	25	34	41	38	27	35	
92	42	26	14	22	37	28	18	
93	23	19	19	24	20	19	38	
94	23	19	19	24	34	29	20	
95	23	19	19	24	20	30	20	
96	43	19	35	42	39	2	37	
97	43	27	35	42	39	2	37	
98	44	19	19	24	20	19	38	
