ST	aroE	atpD	gmk	guaA	lepA	sodA	tly	CAMP2	clonal_complex
1	1	1	1	3	1	1	1	1	Founder CC1 (type IA1)
2	1	1	1	5	1	4	8	2	Major sub-group founder of CC2 (type IA2)
3	1	1	1	3	1	1	2	2	Founder CC3 (type IA1)
4	1	1	1	3	1	1	8	6	Major sub-group founder of CC4 (type IA1)
5	1	1	1	4	1	4	8	6	Founder for CC5 (type IB)
6	17	4	2	4	2	3	10	10	Founder CC6 (type II)
7	15	4	2	4	2	3	10	10	CC6 (type II) (sub-group founder)
8	1	1	1	3	1	1	3	1	CC1 (type IA1)
9	1	1	1	3	1	1	4	1	CC1 (type IA1)
10	1	1	1	3	1	1	2	4	CC3 (type IA1)
11	1	1	1	3	1	1	5	2	CC3 (type IA1)
12	1	1	1	4	1	4	8	31	CC5 (type IB)
13	1	1	1	3	1	1	7	6	CC4 (type IA1)
14	1	1	1	3	1	14	2	3	CC3 (type IA1)
15	1	1	10	3	1	1	6	1	CC1 (type IA1)
16	1	1	10	3	1	1	1	1	CC1 (type IA1)
17	1	10	1	3	1	1	2	2	CC3 (type IA1)
18	8	1	1	3	1	1	2	5	CC3 (type IA1)
19	16	1	1	15	1	4	8	6	Current co-founder of CC19-195 (type IA) (distinct clustering on ME tree with ST195 and ST159).
20	5	1	1	3	1	1	1	1	CC1 (type IA1)
21	1	1	1	1	1	1	8	6	CC4 (type IA1)
22	1	1	1	5	3	5	8	7	Current co-founder of CC22-173 (type IA2)
23	1	8	1	5	3	5	8	8	Singleton (type IA2)
24	1	1	1	5	1	4	8	9	CC2 (type IA2)
25	17	9	2	4	2	3	10	10	CC6 (type II)
26	17	4	2	17	2	3	11	11	CC6 (type II)
27	17	4	2	4	9	12	10	13	Singleton (type II) 
28	17	4	2	16	2	12	10	12	CC30 (type II) (sub-group founder)
29	1	13	1	3	1	1	2	5	Singleton (type IA1)
30	17	4	2	4	2	6	10	12	Major sub-group founder of CC30 (type II)
31	1	1	1	3	1	1	2	3	CC3 (type IA1)
32	7	6	3	7	5	9	12	15	CC77 (type III)
33	7	6	3	7	5	9	13	16	CC77 (type III) (sub-group founder)
34	1	1	1	1	1	1	8	22	CC4 (type IA1)
35	1	2	1	2	1	1	2	2	Singleton (type IA1)
36	1	1	1	13	1	4	8	2	CC2 (type IA2) (sub-group founder)
37	1	1	1	3	1	2	15	1	Singleton (type IA1)
38	1	1	1	3	1	1	16	1	CC1 (type IA1)
39	1	1	1	3	1	1	2	20	CC3 (type IA1)
40	1	5	1	3	1	1	2	2	CC3 (type IA1)
41	1	1	1	6	1	1	1	1	CC1 (type IA1)
42	1	1	1	4	1	4	8	21	CC5 (type IB) (sub-group founder)
43	8	1	1	3	1	1	2	2	CC3 (type IA1)
44	11	1	1	3	1	1	1	1	CC1 (type IA1)
45	1	1	6	3	1	1	1	1	CC1 (type IA1)
46	1	1	1	14	1	1	3	24	Singleton (type IA1)
47	4	1	1	3	1	1	1	1	CC1 (type IA1)
