ST	glpF	gyrB	metG	pntA	pyrC	toxR	clonal_complex
1	7	1	9	3	5	1	
2	7	1	3	3	1	4	
3	7	1	7	3	1	4	
4	7	1	7	3	5	4	
5	7	1	3	3	1	12	
6	7	2	3	3	1	1	
7	7	2	7	3	5	1	
8	7	2	7	3	12	1	
9	9	2	7	3	1	1	
10	7	2	7	3	6	2	
11	4	2	3	3	5	4	
12	7	2	3	3	1	4	
13	7	2	7	3	1	4	
14	10	9	1	1	19	6	
15	4	1	7	3	1	1	
16	6	16	13	10	9	14	
17	7	3	7	3	1	1	
18	7	5	1	1	9	3	
19	7	6	10	9	1	1	
20	7	7	4	4	2	5	
21	11	8	4	4	10	7	
22	3	9	18	15	9	24	
23	3	9	4	4	7	6	
24	12	9	1	8	4	8	
25	18	9	16	2	17	20	
26	8	10	8	7	4	11	
27	3	10	4	4	2	23	
28	1	10	1	1	7	9	
29	2	11	2	2	8	10	
30	7	13	7	3	11	1	
31	14	15	11	5	13	13	
32	16	18	6	12	14	17	
33	6	19	6	13	16	18	
34	6	19	6	5	16	22	
35	17	14	15	14	2	19	
36	5	14	5	2	18	22	
37	15	12	12	2	14	15	
38	7	4	17	2	8	21	
39	13	2	7	3	1	1	
40	7	2	3	3	1	12	
41	7	2	7	6	1	1	
42	7	6	7	3	1	1	
43	7	17	14	11	15	16	
44	7	2	7	3	5	4	
45	7	2	7	3	1	1	
46	19	20	6	16	20	26	
47	7	23	4	4	2	23	
48	6	22	7	5	21	25	
49	6	9	1	7	3	8	
50	21	24	7	5	23	19	
51	6	21	20	5	13	1	
52	7	2	7	6	1	27	
53	20	4	19	5	22	28	
54	16	12	21	17	24	29	
55	11	9	1	4	25	9	
56	17	25	22	18	26	30	
57	20	14	7	19	27	31	
58	22	4	6	20	18	32	
59	23	26	24	21	28	34	
60	24	22	25	2	29	33	
61	11	9	23	4	25	14	
62	25	10	14	22	30	6	
63	26	27	7	23	31	35	
