ST	glnS	gyrB	ileS	nuoD	recA	rpoB	rpoD	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	
8	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	
11	11	11	11	11	11	11	11	
12	12	12	12	12	12	12	12	
13	13	13	13	13	13	13	13	
14	14	14	14	14	14	14	14	
15	15	15	15	15	15	15	15	
16	16	16	16	16	16	16	16	
17	17	17	17	17	17	17	17	
18	18	18	18	18	18	18	18	
19	19	19	19	19	19	19	19	
20	20	20	20	20	20	20	20	
21	21	21	21	21	21	21	21	
22	22	22	22	22	22	22	22	
23	23	23	23	23	23	23	23	
24	24	24	24	24	24	24	24	
25	25	25	25	25	25	25	25	
26	26	26	26	26	26	26	26	
27	27	27	27	27	27	27	27	
28	28	28	28	28	28	28	28	
29	29	29	29	29	29	29	29	
30	30	30	30	30	26	30	30	
31	31	31	31	31	30	31	31	
32	28	32	28	32	28	28	28	
33	32	33	32	33	31	32	32	
34	32	34	33	34	31	32	32	
35	21	35	34	35	21	33	21	
36	33	36	35	36	32	34	32	
37	34	37	36	37	33	35	33	
38	35	38	37	38	34	36	31	
39	36	17	38	39	35	37	17	
40	37	39	39	40	36	38	34	
41	38	40	40	41	37	39	35	
42	39	41	41	42	38	40	36	
43	40	42	42	43	39	41	37	
44	41	30	43	44	40	30	38	
45	42	43	44	45	41	42	39	
46	43	44	45	46	26	43	30	
47	44	45	46	47	42	44	40	
48	45	46	47	48	43	45	41	
49	46	26	48	49	26	30	42	
50	47	47	49	50	44	46	43	
51	48	41	50	42	45	47	44	
52	49	48	51	51	46	48	45	
53	50	49	52	52	47	49	46	
54	51	50	53	53	48	50	47	
55	50	51	54	54	49	51	48	
56	52	52	55	55	50	52	49	
57	53	53	56	56	51	53	50	
58	50	54	52	52	52	49	46	
59	54	51	54	54	49	51	48	
60	55	52	57	57	53	54	51	
61	56	55	58	58	54	48	52	
62	56	56	59	58	3	55	3	
63	57	57	60	59	21	21	21	
64	58	58	30	60	55	56	53	
65	59	59	61	61	56	57	54	
66	60	60	62	62	57	58	55	
67	61	61	63	63	58	59	56	
68	62	62	64	64	59	58	55	
69	63	63	15	65	60	60	15	
70	60	64	65	66	61	58	57	
71	64	23	66	67	62	23	58	
72	62	60	64	66	63	58	59	
73	65	27	67	68	64	27	27	
74	66	60	62	66	65	58	59	
75	67	65	68	69	66	61	3	
76	68	66	69	70	67	62	43	
77	62	62	64	70	59	58	55	
78	60	67	70	71	68	58	60	
79	69	68	71	72	69	63	61	
80	70	69	72	73	70	64	62	
81	39	41	73	42	38	65	36	
82	71	70	74	74	71	66	63	
83	72	71	75	75	72	67	64	
84	74	25	76	77	74	69	25	
85	77	74	77	80	77	72	68	
86	78	75	78	81	78	73	45	
87	79	76	77	82	79	64	69	
88	80	77	79	83	80	66	70	
89	81	70	80	74	81	74	71	
90	82	78	81	84	9	75	72	
91	83	79	82	85	82	76	73	
92	84	80	83	86	83	77	74	
93	85	81	84	87	84	78	75	
94	86	82	85	88	85	79	76	
95	62	83	86	62	63	58	59	
96	87	5	5	89	86	80	77	
97	88	26	87	44	26	81	78	
98	89	5	5	90	86	82	5	
99	90	25	25	91	87	69	25	
100	90	84	25	92	88	45	25	
101	91	25	25	91	87	69	25	
102	26	26	88	26	26	83	30	
103	93	85	90	93	89	7	79	
104	92	86	89	94	90	84	80	
105	94	25	25	95	91	85	81	
106	95	87	90	96	92	7	79	
107	96	88	91	49	26	30	78	
108	5	5	5	5	5	82	82	
109	97	48	92	97	93	86	83	
110	96	89	88	49	26	30	78	
111	98	22	93	98	94	87	84	
112	99	90	94	99	86	5	5	
113	34	37	95	100	95	35	33	
114	30	30	43	101	40	30	78	
115	30	30	30	102	26	30	30	
116	102	95	100	32	28	94	28	
117	31	30	98	106	34	36	31	
118	5	53	5	5	5	82	5	
119	31	63	98	108	100	36	31	
120	31	96	98	108	34	56	31	
121	103	30	101	109	101	20	89	
122	42	43	99	45	41	93	39	
123	101	31	98	106	99	90	31	
124	29	94	97	107	29	91	86	
125	15	92	15	104	97	92	87	
126	77	97	32	33	31	32	33	
127	77	84	32	80	31	95	32	
128	22	22	102	22	22	96	22	
129	104	98	103	110	102	97	90	
