ST	ftsQ	gpdxJ	hagB	mcmA	pepO	pga	recA	clonal_complex
1	1	12	1	1	1	1	1	
2	4	1	6	3	4	3	2	
3	3	5	1	6	8	3	2	
4	3	6	3	5	12	3	3	
5	10	5	6	9	6	4	2	
6	13	13	2	4	9	9	4	
7	4	2	1	3	6	6	2	
8	7	4	7	8	6	10	5	
9	6	7	10	3	2	7	5	
10	4	8	4	2	3	2	5	
11	8	3	6	3	14	3	4	
12	5	11	6	10	11	5	3	
13	10	14	11	7	10	4	2	
14	5	9	1	1	1	9	5	
15	12	10	8	5	10	5	6	
16	11	15	5	10	7	8	1	
17	2	1	1	3	5	3	2	
18	3	8	9	12	12	3	3	
19	9	3	1	11	13	5	5	
20	3	10	1	6	2	11	6	
21	25	10	21	1	2	7	1	
22	10	4	1	15	19	5	2	
23	14	16	1	4	1	5	2	
24	16	6	1	4	1	3	5	
25	16	6	2	4	1	3	5	
26	5	5	15	3	1	9	5	
27	5	8	1	4	16	16	4	
28	20	12	16	4	18	12	2	
29	24	22	1	17	8	7	2	
30	3	6	1	16	8	3	2	
31	22	21	18	3	6	3	2	
32	18	17	14	3	17	7	2	
33	18	17	1	3	17	7	2	
34	16	4	20	18	16	3	1	
35	16	3	20	18	16	3	1	
36	6	3	20	18	16	3	1	
37	16	20	3	3	3	3	1	
38	17	6	1	3	10	3	5	
39	17	6	1	3	10	3	1	
40	6	19	1	3	17	3	1	
41	19	18	1	14	17	3	1	
42	17	3	12	1	6	3	1	
43	21	5	17	3	20	3	7	
44	23	5	3	5	8	17	1	
45	16	9	22	17	22	15	1	
46	15	9	13	13	16	3	1	
47	15	9	12	5	15	7	1	
48	26	6	19	5	14	14	3	
49	7	23	7	8	6	10	5	
50	17	5	14	1	21	13	1	
51	17	4	23	5	21	3	1	
52	17	23	1	3	10	18	5	
53	28	14	24	19	25	1	1	
54	29	5	20	17	26	7	8	
55	17	25	1	3	27	19	4	
56	3	6	25	6	28	3	3	
57	30	26	3	1	29	2	11	
58	28	12	16	19	1	1	1	
59	31	27	14	1	30	3	9	
60	32	28	1	3	10	3	1	
61	5	8	26	3	31	12	10	
62	14	3	15	21	8	7	2	
63	33	9	3	3	20	19	1	
64	21	9	20	22	21	10	6	
65	10	31	6	15	19	4	2	
66	15	9	13	1	8	7	2	
67	4	32	1	1	23	20	3	
68	19	27	14	23	21	21	1	
69	17	5	1	3	33	10	6	
70	10	2	13	3	23	4	2	
71	27	28	3	3	24	12	1	
72	13	24	19	3	9	9	4	
73	14	22	1	17	8	7	2	
74	30	29	27	1	6	22	11	
75	6	30	10	3	2	7	5	
76	35	5	28	3	34	7	2	
77	30	5	13	24	17	3	1	
78	1	8	1	3	8	17	4	
79	16	6	2	17	1	3	5	
80	36	23	29	6	6	18	1	
81	37	23	1	26	8	24	12	
82	19	8	1	5	6	12	1	
83	14	10	31	27	14	23	2	
84	35	2	28	3	34	7	2	
85	17	3	33	3	6	3	1	
86	38	8	30	15	16	3	2	
87	22	21	31	3	6	3	2	
88	4	1	31	4	5	7	2	
89	19	8	32	5	16	12	1	
90	21	5	13	3	20	3	7	
91	14	6	2	4	1	3	2	
92	10	5	23	9	6	4	2	
93	14	1	1	6	8	23	2	
94	20	28	1	25	6	7	6	
95	17	6	1	3	10	18	5	
96	5	9	1	1	1	5	5	
97	13	24	19	20	9	9	4	
98	3	6	35	28	12	3	3	
99	17	34	34	29	6	25	1	
100	16	6	2	4	17	3	13	
101	16	6	2	4	35	3	13	
102	16	6	2	4	35	3	1	
103	25	10	21	1	35	7	1	
104	14	35	36	5	35	16	1	
105	14	35	36	5	10	16	1	
106	21	5	6	11	10	26	1	
107	14	7	37	1	10	7	1	
108	14	7	37	1	34	7	1	
109	21	5	6	11	34	26	14	
110	39	23	1	3	10	7	4	
111	39	23	1	3	8	7	4	
112	39	23	1	3	10	7	2	
113	39	23	1	3	1	7	14	
114	23	5	1	6	1	3	14	
115	23	5	1	6	8	3	4	
116	23	5	1	6	1	3	4	
117	23	5	1	6	36	3	4	
118	23	5	1	6	36	3	1	
119	23	5	1	6	36	3	5	
120	39	23	1	3	8	7	2	
121	39	23	1	3	1	7	2	
122	17	27	13	30	17	2	5	
123	17	27	13	30	1	2	13	
124	1	8	1	3	1	17	4	
125	1	8	1	3	35	17	4	
126	1	8	1	3	2	17	4	
127	39	23	8	3	8	7	1	
128	39	23	8	3	17	7	1	
129	35	5	28	3	8	7	2	
130	35	5	28	3	37	7	2	
131	35	5	28	3	17	7	2	
132	40	35	1	16	10	7	2	
133	5	9	1	1	10	9	5	
134	5	9	1	1	8	9	5	
135	30	37	1	17	8	27	1	
136	17	36	1	1	34	4	1	
137	39	23	1	3	10	7	14	
138	30	37	1	17	17	27	1	
