ST	glpF	sigF	glpT	Natrans	rpoB	ftsA	clpC	clonal_complex
1	1	1	1	2	1	4	3	
2	1	1	1	2	4	3	2	
3	1	1	1	2	4	4	5	
4	1	1	1	2	4	4	2	
5	1	1	1	2	4	4	3	
6	1	1	1	3	4	4	3	
7	1	1	3	2	4	4	3	
8	1	2	2	1	2	1	1	
9	1	2	4	5	2	1	1	
10	1	3	1	2	3	2	4	
11	1	3	1	4	3	2	4	
12	1	3	1	4	4	2	4	
13	1	4	1	2	4	4	5	
14	2	1	3	2	4	4	3	
15	3	1	1	2	4	4	2	
16	3	1	1	2	4	4	3	
17	4	1	1	2	4	4	3	
18	5	1	1	2	4	4	2	
19	6	1	1	2	4	4	3	
20	6	1	1	2	5	4	3	
21	3	1	1	6	4	4	2	
22	4	1	1	2	4	4	6	
23	1	1	1	2	6	4	2	
24	1	3	1	2	7	2	4	
25	1	2	1	2	3	2	2	
26	1	5	3	2	4	4	3	
27	3	1	5	2	4	4	2	
28	3	1	1	7	4	4	2	
29	7	1	1	2	4	4	2	
30	1	3	1	4	3	5	4	
31	1	1	1	4	3	2	4	
32	1	1	1	2	3	2	4	
33	1	3	1	2	4	3	2	
34	8	3	1	4	3	2	4	
