ST	RIRDC_adk	RIRDC_est	RIRDC_pmi	RIRDC_zwf	RIRDC_mdh	RIRDC_gdh	RIRDC_pgi	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	1	5	10	1	1	6	11	ST15
4	1	20	16	21	1	1	16	ST171
5	3	4	3	3	4	2	4	
6	16	27	23	23	1	1	24	
7	2	6	4	4	6	4	6	
8	4	5	2	5	5	3	5	ST8
9	2	7	5	6	4	5	7	ST9
10	5	8	6	7	1	6	8	
11	2	9	7	8	7	3	9	
12	6	10	8	9	8	3	8	
13	7	11	9	10	4	7	8	ST13
14	8	10	2	11	4	8	10	
15	1	5	10	1	1	1	11	ST15
16	9	12	11	12	9	9	12	
17	4	6	12	8	4	4	8	
18	2	13	13	4	6	8	13	
19	10	14	14	13	10	10	14	ST23
20	2	6	7	4	6	3	8	
21	9	12	11	12	9	9	15	
22	4	16	15	14	11	11	4	
23	10	14	14	13	10	1	14	ST23
24	2	7	16	6	4	5	7	ST9
25	1	3	23	1	1	1	3	
26	4	5	2	5	5	3	16	ST8
27	22	13	8	30	8	3	31	ST74
28	2	17	7	8	7	3	8	
29	4	6	7	17	4	4	8	
30	1	18	18	8	12	12	11	ST30
31	6	19	12	18	5	13	17	
32	11	20	16	5	1	1	5	
33	1	21	18	1	1	12	11	
34	12	22	19	1	1	5	18	ST37
35	4	5	2	5	5	1	5	ST8
36	1	20	16	1	7	1	16	ST171
37	12	22	19	1	1	12	18	ST37
38	10	14	14	13	10	1	16	ST23
39	11	20	16	1	1	1	16	ST171
40	11	8	16	7	1	6	8	
41	12	22	19	5	1	12	18	ST37
42	10	14	14	5	10	10	16	
43	18	14	14	13	10	10	16	
44	7	23	9	10	4	7	8	ST13
45	4	32	2	5	5	3	5	ST8
46	17	5	10	1	1	1	11	ST15
47	19	30	26	3	1	11	4	
48	13	5	16	1	1	14	19	
49	4	5	2	5	5	15	5	ST8
50	14	10	20	19	8	3	20	ST50
51	4	24	21	20	11	2	21	ST158
52	4	25	22	21	5	3	22	
53	15	26	2	22	13	2	23	
54	16	27	23	1	1	1	24	
55	1	18	18	8	12	12	25	ST30
56	11	20	16	23	1	1	16	ST171
57	5	28	24	24	14	16	26	
58	4	29	15	26	11	11	4	ST58
59	4	5	2	5	15	3	27	
60	4	24	25	25	11	2	21	ST158
61	4	24	25	20	11	2	21	ST158
62	5	28	27	24	14	18	26	
63	23	35	21	17	4	2	17	ST122
64	15	26	29	3	7	8	36	
65	8	10	31	11	4	8	10	
66	1	20	10	1	1	1	16	ST171
