ST	mh_adk	mh_aroA	mh_deoD	mh_gdhA	mh_g6pd	mh_mdh	mh_pgi	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	1	1	1	2	1	
3	2	1	1	1	1	1	1	
4	2	1	1	1	1	3	1	
5	3	2	2	1	2	4	2	
6	4	3	3	2	3	5	3	
7	4	4	4	1	4	6	4	
8	5	5	5	3	5	7	5	
9	6	6	6	4	6	8	6	
10	4	4	4	5	4	6	4	
11	7	7	4	5	7	6	3	
12	8	8	5	3	5	7	5	
13	9	9	4	6	8	9	7	
14	3	10	7	7	9	10	8	
15	6	6	8	4	6	8	6	
16	10	11	9	8	10	11	9	
17	11	5	5	3	5	7	5	
18	3	12	10	9	2	4	2	
19	3	2	2	9	2	4	2	
20	3	2	2	10	2	4	10	
21	8	13	11	11	11	10	11	
22	12	14	12	12	12	12	12	
23	13	15	8	13	13	13	13	
24	14	16	5	12	14	14	14	
25	8	5	5	3	5	7	5	
26	6	17	6	4	6	8	6	
27	15	18	13	14	15	15	15	
28	16	19	14	6	16	12	6	
29	17	20	15	15	17	16	1	
30	18	21	16	16	18	17	16	
31	19	21	16	17	18	17	17	
32	20	21	17	18	19	18	18	
33	21	22	18	18	18	17	19	
34	18	21	16	19	18	17	17	
35	3	23	19	8	20	19	20	
36	22	24	20	20	21	20	21	
37	22	24	20	16	21	20	21	
38	18	21	16	16	18	17	17	
39	23	25	19	13	22	8	22	
40	24	25	19	21	22	8	22	
41	11	21	17	15	18	17	18	
42	25	16	21	3	11	21	23	
43	19	26	22	16	18	17	24	
44	26	27	23	22	23	22	25	
45	26	28	24	6	23	22	26	
46	26	27	25	22	23	22	25	
47	26	28	23	23	23	22	25	
48	26	3	23	24	15	5	26	
49	26	3	23	13	4	5	13	
50	26	3	23	13	15	5	13	
51	26	3	23	13	2	5	6	
52	25	2	2	9	2	4	2	
53	3	2	2	10	2	4	2	
54	26	3	23	24	15	5	13	
55	25	12	2	9	2	4	2	
56	27	2	2	9	2	4	2	
57	26	2	2	9	2	4	27	
58	27	2	2	9	2	4	28	
59	27	2	2	9	2	4	27	
60	27	2	2	10	2	4	27	
61	26	29	23	6	23	22	25	
62	4	4	4	5	4	23	4	
63	28	28	23	23	23	22	25	
64	26	28	23	6	23	22	25	
65	3	2	2	9	2	24	27	
66	3	31	2	9	2	24	27	
67	10	21	3	26	24	25	30	
68	27	30	2	25	2	4	29	
69	29	1	1	1	1	1	1	
70	2	1	1	1	1	1	31	
71	30	1	1	1	1	1	1	
72	3	10	7	7	15	10	3	
73	26	28	23	22	23	22	25	
74	8	9	4	2	9	5	7	
75	10	11	3	5	12	11	9	
