ST	argS	gyrB	ileS	nuoC	ppsA	recA	rpoB	rpoD	clonal_complex
1	1	7	61	37	62	61	22	44	
2	3	15	29	5	17	20	10	21	
3	4	5	50	25	33	57	13	35	
4	5	2	48	24	34	59	13	34	
5	5	3	47	23	33	58	13	36	
6	5	2	48	24	34	57	13	34	
7	6	6	50	26	33	59	13	37	
8	7	4	49	23	33	59	13	38	
9	8	11	51	31	51	55	20	52	
10	8	11	52	31	51	55	20	53	
11	8	11	52	31	51	56	20	52	
12	8	11	52	31	51	55	20	52	
13	8	11	53	31	51	55	20	52	
14	10	22	24	18	27	32	8	33	
15	11	24	20	15	20	33	7	28	
16	11	24	20	16	20	33	7	28	
17	11	24	20	15	20	33	7	29	
18	11	24	20	15	39	33	7	28	
19	12	45	6	3	19	4	1	2	
20	12	46	7	3	16	5	1	2	
21	12	46	7	3	21	6	1	3	
22	13	13	3	44	3	11	1	9	
23	14	10	33	9	32	17	12	23	
24	15	9	33	8	14	16	12	24	
25	16	8	33	7	13	16	12	24	
26	17	25	45	21	40	25	21	43	
27	18	26	46	22	41	24	21	41	
28	18	26	46	22	41	24	21	42	
29	19	31	44	20	42	26	21	40	
30	20	42	36	12	37	52	19	51	
31	21	18	18	13	28	41	5	16	
32	23	41	35	11	36	50	19	50	
33	24	43	37	10	38	51	19	49	
34	25	29	58	35	46	43	23	62	
35	25	30	55	32	46	49	23	63	
36	25	27	56	36	43	48	23	62	
37	25	28	54	34	46	46	23	64	
38	26	28	57	33	45	44	23	64	
39	27	28	59	33	47	47	23	64	
40	28	17	39	28	31	27	7	55	
41	29	21	38	29	32	28	7	54	
42	30	32	41	30	50	31	17	46	
43	31	14	8	4	4	12	1	6	
44	31	47	10	4	8	7	1	8	
45	31	14	8	4	13	12	1	6	
46	32	20	16	14	30	40	6	17	
47	32	20	16	14	30	40	6	18	
48	33	39	82	19	39	23	21	39	
49	35	23	26	17	25	38	7	27	
50	36	38	71	38	56	64	15	59	
51	36	36	74	40	59	65	15	59	
52	36	35	71	38	58	64	15	58	
53	36	37	75	41	60	67	15	59	
54	36	33	72	42	56	63	15	60	
55	36	34	73	38	57	63	15	58	
56	36	37	71	39	61	66	15	57	
57	36	33	71	38	57	64	15	58	
58	37	44	3	45	2	1	1	1	
59	38	14	8	4	10	12	1	6	
60	38	14	9	4	9	12	1	6	
61	39	48	8	46	11	14	4	14	
62	38	48	15	48	11	14	4	14	
63	40	49	28	47	12	15	12	25	
64	41	50	42	49	48	29	18	48	
65	42	51	21	50	23	34	7	31	
66	42	51	21	50	46	34	7	31	
67	43	52	60	51	44	45	23	61	
68	44	53	68	52	53	54	26	67	
69	37	44	3	45	1	1	1	1	
70	39	48	15	48	11	14	4	14	
71	21	18	83	13	73	41	5	76	
72	46	57	30	54	76	21	10	78	
73	4	5	50	25	78	57	13	35	
74	22	19	17	56	79	41	36	76	
75	5	59	87	23	33	59	13	80	
76	47	60	88	57	2	73	1	81	
77	49	61	89	57	2	8	1	82	
78	48	60	12	4	2	8	1	6	
79	49	60	88	58	80	74	1	83	
80	50	60	88	57	2	73	1	6	
81	49	60	90	4	81	73	1	7	
82	49	60	88	57	2	74	1	84	
83	49	60	91	57	2	74	1	6	
84	51	62	92	59	10	75	3	85	
85	52	46	7	60	82	77	1	3	
86	11	24	20	15	20	76	7	28	
87	12	12	6	3	9	4	1	2	
88	53	63	93	61	83	78	1	86	
89	47	60	94	57	80	95	1	82	
90	42	64	21	50	84	34	7	31	
91	2	16	31	62	18	21	37	20	
92	50	60	12	57	2	8	1	7	
93	49	60	88	57	2	74	1	87	
94	55	66	19	64	29	42	5	15	
95	55	66	97	64	29	42	5	89	
96	56	67	98	7	13	16	12	24	
97	62	74	105	70	20	33	7	31	
98	4	4	49	23	33	59	13	93	
99	14	72	103	8	89	16	12	24	
100	11	24	20	15	20	3	7	28	
101	39	79	110	75	95	91	4	100	
102	64	78	111	76	96	92	43	101	
103	65	80	112	77	97	93	44	102	
104	61	81	113	78	98	96	39	103	
105	65	80	112	77	97	94	44	102	
106	11	24	20	15	99	33	7	28	
107	66	82	114	26	100	97	13	37	
108	5	83	115	23	101	98	13	104	
109	54	65	95	63	85	80	38	88	
110	22	66	96	64	29	81	5	89	
111	2	16	31	65	18	82	10	20	
112	2	16	31	65	86	83	10	20	
113	57	68	99	66	87	84	23	90	
114	58	69	100	67	88	85	5	91	
115	25	70	101	33	46	86	23	62	
116	60	71	102	65	18	87	10	92	
117	61	73	104	69	90	88	39	94	
118	59	75	106	68	91	82	40	95	
119	30	76	40	71	49	30	16	45	
120	2	16	30	65	92	21	10	96	
121	11	24	20	72	20	33	41	97	
122	25	77	107	35	46	89	23	62	
123	41	50	108	73	93	29	18	98	
124	63	78	109	74	94	90	42	99	
125	58	69	116	79	88	85	5	91	
126	66	82	49	26	100	97	13	37	
127	67	84	117	80	102	99	7	31	
128	5	85	47	81	33	100	13	80	
129	16	86	118	82	103	101	12	24	
130	68	59	119	23	33	102	13	80	
131	9	68	63	68	79	86	40	65	
132	51	62	14	59	85	75	42	66	
133	12	46	6	3	43	4	34	2	
134	69	87	120	83	104	103	45	105	
135	51	88	121	59	10	75	3	12	
136	70	89	6	3	8	4	1	2	
137	71	90	122	84	105	104	46	106	
138	30	91	123	85	50	31	17	107	
139	11	24	20	15	20	106	7	28	
140	62	74	105	70	106	76	7	31	
141	72	24	20	15	20	33	7	28	
142	73	92	124	46	95	91	4	108	
143	27	70	125	35	46	107	23	109	
144	11	24	20	15	20	108	7	28	
145	11	24	20	15	20	109	7	28	
146	6	6	50	26	33	110	13	37	
147	55	66	97	64	108	42	5	89	
148	4	4	126	23	109	59	13	111	
149	3	16	102	62	18	105	10	92	
150	50	60	88	57	2	79	1	7	
151	74	93	127	86	110	111	18	112	
152	37	44	3	87	111	112	1	1	
