ST	atpD	dnaJ	mdh	pyrC	recA	rpoD
1	2	45	6	78	24	39
2	3	1	1	1	1	1
3	4	6	3	4	3	3
4	5	8	11	9	4	5
5	6	9	8	200	20	19
6	7	19	13	15	7	6
7	8	5	7	199	23	23
8	9	4	5	201	25	14
9	10	7	9	197	21	21
10	10	7	9	17	21	21
11	11	21	17	18	30	8
12	12	23	21	21	8	9
13	13	30	2	37	28	25
14	14	204	205	202	5	16
15	15	2	25	22	9	7
16	3	12	27	1	1	1
17	16	44	28	23	10	10
18	14	204	205	202	6	16
19	17	31	29	24	12	17
20	18	31	29	25	12	17
21	14	204	204	213	5	16
22	19	32	30	26	13	15
23	20	25	31	27	14	18
24	14	204	204	202	5	16
25	21	33	32	28	15	17
26	14	204	204	202	6	16
27	14	204	33	213	5	16
28	22	13	15	5	217	217
29	23	34	12	3	16	219
30	24	35	12	3	11	22
31	18	36	29	29	12	17
32	9	37	5	31	25	26
33	9	37	5	31	17	26
34	25	38	34	32	18	27
35	16	46	35	34	10	10
36	26	4	5	31	22	26
37	27	17	37	10	189	188
38	28	13	38	35	49	32
39	29	26	26	14	36	24
40	30	40	40	36	37	8
41	27	17	42	13	187	205
42	10	7	203	195	29	21
43	10	28	43	38	27	28
44	10	7	9	44	39	21
45	10	7	44	218	42	11
46	10	7	9	218	2	11
47	10	7	218	218	2	4
48	10	7	45	197	21	21
49	10	7	46	53	43	21
50	31	39	47	48	44	12
51	32	41	40	18	30	8
52	12	23	21	21	45	9
53	33	23	21	49	45	9
54	11	21	51	18	47	8
55	34	40	40	36	37	8
56	35	42	40	50	37	8
57	36	40	40	50	37	8
58	11	43	40	51	30	13
59	27	17	41	8	192	188
60	27	17	41	54	192	188
61	27	17	22	8	50	36
62	27	17	19	55	187	37
63	37	18	23	7	187	188
64	38	24	36	14	194	193
65	27	17	22	13	187	188
66	27	17	41	55	192	188
67	27	18	23	7	187	37
68	27	17	23	10	187	190
69	29	47	36	14	205	40
70	27	17	41	7	52	23
71	27	17	23	13	187	188
72	27	48	23	13	187	41
73	27	18	23	7	192	188
74	27	17	19	8	187	188
75	39	26	36	14	36	193
76	27	17	41	7	187	188
77	29	26	52	16	194	24
78	29	26	53	14	194	40
79	39	26	54	14	194	193
80	13	3	4	19	26	25
81	27	18	55	10	189	188
82	27	49	41	13	192	188
83	13	30	4	59	28	25
84	27	18	23	7	187	188
85	13	30	4	19	28	25
86	29	26	54	14	194	193
87	29	26	56	14	194	208
88	27	18	22	13	187	188
89	29	50	57	14	194	193
90	40	51	48	43	66	29
91	41	52	10	61	19	20
92	42	53	10	61	19	29
93	43	54	6	43	24	29
94	44	45	6	42	122	39
95	43	55	6	63	35	42
96	43	56	10	64	19	29
97	43	57	10	79	19	20
98	43	80	48	40	33	29
99	42	53	10	61	19	20
100	45	45	6	66	122	39
101	43	58	148	79	19	20
102	71	148	119	164	102	93
103	43	59	91	77	19	29
104	43	60	10	64	19	29
105	2	61	6	67	19	29
106	89	7	218	218	2	4
107	43	52	10	67	35	29
108	43	55	59	65	33	42
109	46	54	50	66	19	29
110	14	204	121	202	5	16
111	40	45	6	82	24	39
112	43	87	71	77	19	29
113	43	56	10	64	108	29
114	40	62	6	42	24	29
115	43	63	61	81	19	42
116	43	64	152	116	19	29
117	43	63	61	67	19	42
118	43	54	6	66	66	43
119	52	67	48	167	19	20
120	68	54	6	42	24	39
121	46	45	6	66	19	29
122	43	57	66	68	33	42
123	47	57	132	42	66	29
124	46	52	50	41	32	29
125	21	31	29	29	12	17
126	43	87	48	77	59	29
127	27	17	41	13	187	188
128	43	94	193	185	109	31
129	42	53	6	39	19	39
130	48	58	154	67	19	29
131	43	65	48	47	59	29
132	49	66	62	92	133	31
133	43	56	10	70	19	29
134	50	67	6	79	24	29
135	43	68	6	43	24	29
136	43	69	48	71	35	42
137	41	52	132	67	19	20
138	46	63	10	83	19	20
139	47	53	6	166	19	29
140	51	54	6	43	24	29
141	42	70	10	72	19	29
142	1	53	50	42	19	39
143	1	54	120	78	19	29
144	1	45	6	82	19	29
145	43	52	10	69	24	20
146	52	67	48	181	19	20
147	43	71	170	127	57	60
148	10	7	45	142	21	21
149	51	108	122	93	107	64
150	43	58	6	67	19	49
151	42	53	6	73	19	20
152	1	140	6	169	24	39
153	43	72	6	94	19	39
154	43	69	66	40	35	29
155	42	69	48	79	19	39
156	53	66	72	179	53	31
157	1	53	6	94	19	39
158	43	73	6	52	33	30
159	43	74	6	94	19	39
160	2	67	10	67	122	20
161	43	88	6	42	24	39
162	49	66	72	92	34	31
163	48	58	154	94	19	29
164	43	52	10	74	24	20
165	57	110	170	162	63	60
166	47	153	132	67	19	39
167	54	55	59	175	33	42
168	55	45	6	64	19	29
169	43	75	170	127	57	60
170	43	72	10	94	19	34
171	43	53	64	94	19	20
172	43	69	60	52	35	82
173	1	58	132	79	19	90
174	19	155	123	170	111	93
175	49	66	72	92	53	31
176	43	69	48	47	35	42
177	46	76	50	75	54	44
178	43	63	81	52	19	42
179	47	67	10	116	19	34
180	43	77	60	76	55	29
181	52	67	48	80	19	20
182	47	78	132	83	24	29
183	10	7	9	197	42	21
184	10	7	9	218	39	2
185	40	45	110	82	24	39
186	43	72	6	126	19	34
187	43	80	10	154	33	30
188	46	64	6	41	32	29
189	43	81	48	154	33	68
190	42	82	6	79	19	39
191	1	64	6	41	32	29
192	43	54	6	67	24	29
193	42	83	132	67	19	20
194	29	26	26	16	36	24
195	43	80	10	40	33	42
196	43	64	10	84	19	39
