ST	fusA	gyrB	ileS	lepA	leuS
1	2	2	2	2	2
2	3	3	3	3	3
3	4	4	4	4	4
4	5	5	5	5	5
5	6	6	6	6	6
6	7	7	7	7	7
7	8	8	8	8	8
8	9	9	9	9	9
9	10	10	10	10	10
10	11	11	11	11	11
11	7	7	12	12	12
12	12	12	13	13	13
13	13	13	14	14	14
14	7	7	15	15	15
15	14	1	16	16	16
16	14	1	17	16	17
17	7	7	18	17	15
18	7	14	19	18	18
19	7	7	20	19	18
20	14	1	21	16	16
21	7	14	18	20	19
22	7	7	22	18	19
23	7	15	23	20	19
24	15	16	24	21	20
25	15	17	25	22	21
26	7	15	26	15	18
27	7	18	27	20	22
28	7	7	19	18	18
29	9	61	73	60	61
30	16	19	28	23	23
31	6	20	6	24	24
32	17	21	29	25	25
33	18	6	6	26	24
34	19	22	30	27	26
35	7	7	23	18	18
36	20	23	31	28	27
37	21	1	32	29	17
38	21	1	33	29	17
39	16	24	34	30	28
40	17	25	25	31	29
41	9	31	74	9	60
42	11	26	11	32	30
43	22	27	35	33	31
44	17	28	36	25	20
45	23	29	37	34	32
46	7	15	12	35	22
47	15	30	38	36	21
48	3	71	83	6	12
49	2	34	83	43	72
50	7	109	12	35	22
51	7	15	22	20	33
52	9	31	39	9	34
53	14	1	1	1	16
54	17	50	59	49	21
55	7	32	40	37	35
56	7	7	18	19	19
57	16	33	41	38	36
58	24	34	42	39	37
59	24	35	43	4	37
60	16	19	28	40	23
61	24	36	44	41	37
62	25	37	45	42	38
63	24	38	46	39	39
64	26	39	47	43	40
65	10	40	48	44	41
66	44	1	1	85	17
67	4	36	4	43	42
68	27	19	28	45	23
69	7	14	18	19	19
70	24	13	49	46	43
71	7	18	15	15	19
72	28	14	50	20	15
73	6	76	6	50	75
74	29	41	51	47	44
75	28	7	50	48	15
76	24	13	52	39	45
77	15	111	71	36	46
78	18	58	131	13	13
79	15	42	24	36	46
80	7	15	129	19	18
81	17	43	53	49	25
82	56	1	1	1	59
83	7	7	15	15	19
84	7	44	15	19	19
85	7	15	22	20	18
86	53	36	46	101	90
87	9	45	54	9	9
88	30	46	6	50	47
89	48	113	102	80	73
90	6	81	132	50	47
91	5	47	55	51	48
92	6	110	6	24	24
93	15	48	29	49	49
94	21	1	56	1	17
95	21	1	57	52	17
96	15	48	133	36	77
97	17	28	36	106	20
98	58	60	6	50	24
99	6	20	66	24	91
100	61	114	130	108	92
101	62	51	24	53	20
102	59	115	135	109	93
103	63	6	6	50	24
104	31	49	58	11	30
105	21	1	33	1	17
106	15	116	24	36	46
107	39	118	80	64	66
108	7	7	22	20	18
109	6	119	6	50	24
110	32	50	59	49	21
111	24	36	60	46	50
112	15	16	24	36	21
113	33	51	24	53	20
114	14	52	57	16	51
115	24	36	61	39	52
116	17	25	25	31	21
117	6	20	6	50	24
118	34	1	1	59	17
119	9	53	62	54	53
120	60	64	29	49	21
121	7	7	63	20	54
122	17	54	29	36	25
123	20	120	140	92	101
124	15	54	136	36	77
125	34	1	1	83	17
126	34	1	1	85	17
127	15	87	137	36	77
128	17	50	64	49	55
129	18	55	65	13	24
130	6	20	66	50	47
131	34	1	67	1	17
132	20	68	138	115	101
133	34	1	140	92	17
134	35	56	68	55	56
135	15	42	141	36	46
136	17	64	142	25	25
137	7	7	145	69	19
138	20	68	144	5	99
139	17	50	59	110	25
140	36	15	69	15	19
141	15	17	25	112	21
142	20	68	5	113	99
143	21	1	1	1	17
144	5	47	70	56	57
145	15	57	71	57	46
146	34	1	1	1	17
147	17	28	36	25	94
148	17	54	133	36	95
149	15	82	24	36	98
150	15	87	24	36	98
151	5	5	75	56	100
152	50	121	119	99	32
153	22	117	146	111	96
154	20	23	147	92	27
155	22	27	143	117	32
156	5	5	144	118	48
157	30	58	6	50	24
158	64	122	148	119	102
159	58	46	85	24	24
160	44	1	1	59	17
161	22	78	139	74	32
162	20	120	152	121	81
163	21	1	151	1	17
164	22	27	153	116	31
165	31	22	30	27	26
166	37	1	1	1	17
167	5	59	72	58	58
168	22	27	149	114	97
169	21	1	1	1	59
170	21	1	67	120	17
171	22	78	95	122	32
172	34	1	67	59	17
173	6	60	6	50	24
174	6	20	6	24	47
175	5	47	75	61	62
176	6	76	6	50	103
177	21	1	57	1	17
178	16	62	76	62	63
179	6	20	6	50	103
180	20	120	150	92	101
181	30	20	6	50	24
182	28	7	50	20	15
183	30	63	6	50	24
184	17	64	77	49	21
185	18	58	65	13	64
186	38	65	78	63	65
187	21	1	79	1	17
188	30	20	85	50	24
189	20	68	122	68	81
190	38	65	78	96	83
191	50	27	154	116	32
192	15	16	71	36	21
193	17	20	36	106	20
194	17	64	59	36	25
195	30	58	6	50	47
196	6	6	6	6	24
197	39	66	80	64	66
198	6	46	6	65	24
199	37	1	79	1	59
200	5	5	81	66	48
201	18	58	65	13	24
202	6	6	82	50	24
203	5	67	83	61	48
204	9	61	84	67	9
205	6	46	85	50	67
206	20	68	86	68	68
207	7	69	19	69	19
208	15	48	87	36	21
209	21	1	1	52	59
210	7	15	15	19	19
211	7	7	88	20	19
212	25	10	89	10	10
213	25	70	89	70	10
214	6	58	65	13	64
215	6	81	6	50	24
216	10	71	90	71	41
217	5	5	55	51	48
218	22	78	155	122	32
219	22	78	156	74	32
