ST	dnaK	efp	fumC	glyA	murG	rpoD	trpB	clonal_complex
1	1	1	1	1	1	2	1	
2	2	2	2	2	2	1	2	
3	1	2	2	3	2	1	2	
4	1	1	1	1	1	2	3	
5	2	2	2	3	2	1	2	
6	1	1	1	1	1	2	4	
7	1	4	2	3	2	2	2	
8	2	5	2	2	2	2	5	
9	1	6	1	1	1	2	6	
10	2	3	3	3	3	1	2	
11	1	1	4	2	1	1	1	
12	2	4	2	3	2	1	2	
13	2	8	2	6	2	1	2	
14	5	1	4	1	4	2	1	
15	4	1	1	1	1	2	1	
16	2	3	3	3	2	1	2	
17	5	1	1	1	4	2	1	
18	1	2	1	3	1	2	2	
19	2	2	5	1	1	1	2	
20	1	1	1	1	2	2	1	
21	2	7	2	3	5	1	2	
22	2	9	2	3	2	1	2	
23	2	2	2	2	2	1	7	
24	2	10	2	3	2	1	2	
25	2	2	2	3	5	1	2	
26	7	12	6	8	9	4	8	
27	7	12	8	7	8	3	8	
28	1	1	1	1	7	2	1	
