ST	dnaB	groEL	gyrA	mdh	gluD	gpi	rpoB	clonal_complex
1	1	1	1	1	1	1	1	
2	2	1	1	1	1	2	2	
3	1	1	1	1	1	2	4	
4	2	1	1	1	1	2	7	
5	2	1	1	1	1	2	11	
6	2	14	1	1	1	2	14	
7	2	1	1	1	1	2	21	
8	24	1	1	1	1	2	24	
9	2	1	1	25	1	2	25	
10	2	1	1	1	1	2	4	
11	2	1	1	1	1	27	27	
12	2	1	1	1	1	2	34	
13	2	1	1	1	1	2	43	
14	2	1	1	54	54	2	54	
15	2	1	1	1	1	3	3	
16	2	1	1	1	1	2	5	
17	24	1	2	54	2	4	6	
19	24	1	1	54	2	6	41	
21	24	1	16	54	2	24	8	
22	24	1	19	54	2	6	15	
23	2	1	1	1	1	24	3	
24	2	1	1	1	1	2	27	
25	2	1	1	1	1	11	8	
26	2	1	1	1	2	2	3	
27	2	1	1	1	2	2	37	
28	2	1	1	1	1	24	8	
29	3	29	28	26	29	30	8	
30	2	1	2	1	1	2	3	
32	2	1	5	1	2	2	25	
33	2	4	1	1	1	21	19	
34	2	1	1	1	1	2	31	
35	2	1	1	1	1	2	20	
36	3	1	11	1	1	30	20	
37	4	24	27	24	30	5	16	
38	2	1	1	1	1	2	3	
40	2	1	1	1	54	2	4	
