ST	ddl	gki	glnA	mutS	mutS2	pheS	proS	pyrE	thrS	tpi	clonal_complex
1	1	1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	
3	3	3	2	2	2	3	2	3	2	2	
4	4	4	3	3	3	4	3	4	3	3	
5	1	2	1	4	4	1	1	5	4	1	
6	5	5	4	5	5	5	4	6	5	4	
7	6	1	1	1	6	1	1	7	4	1	
8	1	1	1	4	6	3	1	8	6	1	
9	1	1	1	4	6	1	1	5	6	5	
10	1	1	1	1	7	3	1	9	7	1	
11	2	3	2	2	2	3	2	3	8	2	
12	3	3	5	6	2	6	5	10	9	5	
13	3	3	5	6	2	3	5	11	9	5	
14	7	6	6	7	8	7	6	12	10	6	
15	1	7	3	8	3	8	7	4	11	7	
16	8	8	7	9	9	9	8	13	12	8	
17	9	9	8	10	10	7	6	12	13	6	
18	10	10	9	11	11	10	9	14	14	9	
19	11	11	10	12	12	11	10	15	15	9	
20	2	2	2	6	13	2	2	16	2	2	
21	2	2	2	6	2	2	11	11	2	2	
22	1	2	11	1	6	12	1	1	4	1	
23	3	3	5	6	6	3	12	10	9	5	
24	3	3	5	6	2	13	13	17	9	2	
25	3	3	5	6	2	3	5	10	16	5	
26	3	12	12	6	2	3	5	3	9	2	
27	12	13	13	13	14	14	14	18	17	10	
28	13	8	14	9	15	9	15	12	12	8	
29	14	14	10	14	16	15	16	19	3	11	
30	15	15	2	2	2	2	2	20	18	2	
31	16	16	10	15	17	16	17	21	19	12	
32	17	17	7	9	9	9	15	22	12	8	
33	18	18	10	16	18	17	18	15	20	9	
34	9	8	7	9	19	9	15	23	21	8	
35	3	3	5	6	2	3	19	24	16	5	
36	19	8	14	17	20	18	20	22	22	13	
37	5	5	4	5	21	5	4	6	5	4	
38	20	5	4	18	21	19	4	25	5	14	
39	5	19	4	19	21	5	4	13	5	4	
40	5	20	4	20	5	5	4	25	5	14	
41	5	20	4	5	5	5	4	13	23	4	
42	5	20	4	18	21	5	4	25	5	4	
43	21	7	15	21	3	4	3	26	24	3	
44	22	7	16	13	22	4	3	26	24	15	
45	22	7	13	13	22	4	3	26	24	15	
46	12	21	17	3	23	4	21	27	17	10	
47	1	2	1	4	6	12	1	9	6	1	
48	1	2	2	22	24	20	1	28	4	2	
49	3	3	5	6	25	3	12	29	25	5	
50	3	3	2	6	13	2	2	3	2	2	
51	3	3	5	6	26	5	12	30	16	1	
52	1	2	18	1	4	12	1	9	26	1	
53	1	2	1	4	27	1	1	30	4	1	
54	2	3	2	1	2	21	2	11	2	16	
55	2	3	19	6	26	3	12	30	25	5	
56	1	3	5	6	2	22	12	30	16	1	
57	2	2	2	2	2	2	2	11	2	2	
58	23	22	10	23	28	23	22	31	27	9	
59	24	23	20	24	29	24	23	32	28	9	
60	25	24	14	25	30	25	24	33	29	13	
61	26	25	10	26	31	26	25	34	30	9	
62	27	26	10	27	32	27	26	35	15	9	
63	9	6	8	10	33	7	6	12	13	6	
64	23	22	10	28	34	23	22	31	27	9	
65	14	14	10	29	35	15	27	19	3	11	
66	28	27	21	30	36	28	28	36	31	17	
