ST	gki	gtr	murI	mutS	recP	xpt	yqiZ	clonal_complex
1	1	1	1	1	1	6	1	
2	2	2	2	2	2	1	2	
3	3	3	3	3	1	2	3	
4	4	2	4	4	3	3	4	
5	1	2	4	3	1	8	1	
6	2	2	2	2	2	4	2	
7	2	2	2	2	4	1	2	
8	2	2	4	4	2	3	2	
9	3	5	3	3	1	2	3	
10	3	5	3	3	1	9	3	
11	4	2	4	4	2	3	2	
12	4	2	4	4	4	3	4	
13	4	2	4	4	5	3	4	
14	4	2	4	4	6	3	4	
15	4	4	5	4	4	7	1	
16	4	5	3	4	1	2	3	
17	4	6	4	4	5	3	4	
18	5	2	2	2	2	1	2	
19	6	2	4	3	4	5	1	
20	7	4	5	3	1	7	3	
21	7	4	5	3	4	7	1	
22	8	2	3	3	1	2	4	
23	8	5	3	3	1	2	3	
24	1	1	1	1	4	6	1	
25	9	7	3	5	7	7	5	
26	1	2	4	3	1	8	3	
27	3	2	6	4	5	3	4	
28	3	5	2	7	1	1	3	
29	3	5	3	8	1	2	3	
30	3	8	3	3	1	2	3	
31	3	9	3	3	1	2	3	
32	4	5	3	4	4	2	3	
33	6	1	1	1	8	6	7	
34	6	1	1	6	4	10	1	
35	6	1	1	6	4	10	6	
36	10	2	2	7	2	1	2	
37	11	5	3	3	1	2	3	
38	12	2	4	4	5	3	4	
