ST	atpB2	carB	clpP	hisS	mntC	phoA	rluB
1	1	1	1	1	1	1	1
2	3	3	3	2	3	3	2
3	1	4	4	1	2	2	4
4	2	2	2	3	4	4	3
5	4	5	5	4	5	5	2
6	1	4	4	1	2	2	1
7	2	2	2	3	4	6	3
8	1	1	1	6	1	1	1
9	1	1	1	1	1	2	1
10	1	1	1	1	1	3	1
11	2	2	4	3	4	2	3
12	1	1	1	1	2	2	1
13	1	6	2	8	3	8	6
14	2	2	6	7	5	7	7
15	1	1	1	11	1	1	1
16	7	2	7	5	6	3	5
17	2	2	2	3	2	2	3
18	6	7	2	5	2	3	5
19	2	2	2	3	4	2	3
20	1	1	1	9	1	1	8
21	1	1	1	1	1	6	1
22	9	10	3	2	3	13	2
23	3	3	3	15	3	12	2
24	1	1	1	1	9	1	1
25	1	1	1	14	1	1	1
26	1	4	4	1	2	2	11
27	2	9	5	13	8	11	5
28	1	6	2	12	3	4	6
29	1	1	1	1	1	1	12
30	3	3	3	2	3	10	2
31	1	2	10	10	2	3	10
32	1	1	1	1	7	9	1
33	1	8	9	1	1	2	1
34	8	1	1	2	1	6	9
35	1	1	4	1	2	2	1
36	1	2	2	3	4	4	3
37	1	1	8	1	2	2	1
38	4	5	5	4	10	5	2
39	1	1	1	1	11	1	1
40	1	2	7	5	1	3	5
41	2	2	2	1	4	2	3
42	1	2	11	2	2	1	16
43	1	4	4	16	2	2	11
44	3	3	3	2	3	16	17
45	10	11	4	1	2	2	11
46	1	4	4	17	2	2	1
47	11	3	3	2	3	3	2
48	1	1	1	18	1	1	1
49	1	4	12	1	2	2	11
50	3	3	3	2	3	3	17
51	3	3	3	2	3	3	18
52	2	2	2	1	4	1	3
53	2	2	1	3	4	17	3
54	3	3	3	2	12	3	2
55	12	2	13	19	2	7	7
56	3	3	3	2	3	19	2
57	13	3	3	2	3	3	2
58	1	6	2	12	13	4	6
59	1	1	1	20	1	1	19
60	8	2	14	2	2	6	9
