ST	aroE	glgB	nifS	p20	tkt	trpD	uvrA	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	3	4	4	1	4	
5	5	4	4	5	5	4	4	
6	5	5	4	6	5	5	5	
7	4	4	3	5	5	4	4	
8	4	4	3	4	3	1	4	
9	5	4	5	5	5	6	6	
10	6	4	6	7	6	7	7	
11	4	4	3	4	3	1	8	
12	4	4	3	6	5	5	4	
13	7	6	4	8	7	8	1	
14	5	5	4	6	5	9	5	
15	5	4	4	6	5	5	4	
16	4	4	3	4	3	4	4	
17	8	7	7	9	8	10	9	
18	5	4	4	10	5	11	4	
19	9	8	8	11	9	1	1	
20	10	8	9	11	9	1	1	
21	11	9	10	12	10	12	10	
22	11	9	11	12	11	12	11	
23	8	10	12	13	3	1	12	
24	8	10	12	13	3	13	12	
25	6	11	6	14	10	14	7	
26	3	3	3	3	3	8	13	
27	12	2	13	15	9	8	14	
28	4	12	14	16	12	7	4	
29	5	4	4	6	5	5	5	
30	5	4	4	5	5	4	15	
31	4	13	3	4	3	1	1	
32	11	9	10	12	3	12	11	
33	11	9	10	12	13	12	11	
34	5	4	4	17	5	12	4	
35	13	2	15	18	14	14	16	
36	3	3	16	3	3	8	13	
37	8	2	17	19	14	15	4	
38	4	14	3	4	3	1	4	
39	6	4	6	5	5	4	4	
40	7	4	4	20	7	8	1	
41	4	4	3	5	5	4	17	
42	4	4	3	21	3	1	4	
43	4	4	3	5	5	4	16	
44	14	4	3	4	3	1	4	
45	4	14	18	22	8	5	13	
46	4	14	18	22	5	5	13	
47	5	14	18	22	8	5	13	
48	13	8	19	10	15	16	4	
49	15	8	8	11	9	1	1	
50	13	2	19	10	15	16	4	
51	5	6	4	20	7	8	1	
52	5	4	4	10	7	17	16	
53	13	8	19	10	16	16	4	
54	7	4	4	8	7	17	1	
55	7	6	4	8	7	17	1	
56	13	6	19	10	7	16	1	
57	7	6	4	10	7	16	1	
58	13	4	19	10	15	11	4	
59	5	6	4	20	17	8	1	
60	5	4	19	10	15	11	4	
61	9	2	20	9	18	18	18	
62	13	2	19	1	5	5	4	
63	16	14	18	22	8	5	13	
64	13	14	18	22	8	5	13	
65	4	14	18	22	8	5	19	
66	13	4	19	20	15	11	1	
67	9	4	19	20	15	11	1	
68	9	6	4	20	7	8	1	
69	18	2	22	1	1	1	21	
70	17	15	21	7	19	19	20	
71	27	8	31	6	13	5	24	
72	19	16	9	12	6	15	21	
73	5	2	4	10	5	5	1	
74	20	1	1	1	1	1	1	
75	8	7	7	23	8	10	9	
76	17	15	24	7	19	19	20	
77	21	11	23	14	20	14	22	
78	2	17	2	2	2	2	23	
79	4	13	25	24	13	20	24	
80	22	13	26	25	6	21	2	
81	23	18	27	14	10	14	25	
82	5	1	1	26	1	1	1	
83	19	16	9	12	6	15	26	
84	24	2	28	6	2	5	1	
85	23	11	27	14	10	14	25	
86	9	2	20	27	18	18	18	
87	8	7	7	27	21	10	9	
88	8	2	17	1	7	5	13	
89	13	1	15	1	5	1	16	
90	5	4	4	10	7	11	1	
91	4	4	9	5	5	4	4	
92	5	8	4	4	5	1	16	
93	3	19	3	28	3	1	27	
94	20	1	1	1	1	1	23	
95	25	20	29	1	22	22	28	
96	26	13	30	29	13	23	28	
97	5	2	4	1	22	5	9	
98	10	16	9	12	23	24	16	
99	8	10	12	30	24	25	12	
100	4	13	25	24	13	20	29	
101	13	8	19	10	15	11	4	
102	13	4	19	10	15	16	4	
103	13	8	19	10	15	11	16	
104	5	2	4	22	22	5	13	
105	27	2	32	20	7	1	30	
106	28	21	15	31	5	4	16	
107	13	4	19	10	19	11	16	
108	10	15	33	7	19	14	7	
109	5	4	4	32	5	26	4	
110	5	6	4	20	17	8	31	
111	4	4	3	5	5	27	4	
112	6	22	6	33	6	28	7	
113	5	4	4	10	5	11	5	
114	4	12	3	5	3	4	8	
115	29	13	34	4	3	1	1	
