ST	16S_rRNA	adk	atpB	guaA	gyrB	mdh	recA	rpoS
1	1	1	1	1	1	1	1	1
2	2	1	2	2	2	2	2	2
3	1	2	3	3	3	3	3	3
4	3	3	4	4	4	4	4	4
5	1	1	1	5	5	5	5	5
6	2	1	5	6	6	6	6	6
7	4	1	6	7	7	7	7	7
8	5	4	1	8	8	8	8	8
9	1	1	7	9	9	6	9	9
10	6	5	7	10	10	9	10	10
11	2	1	8	11	11	10	11	11
12	6	1	9	12	12	11	12	12
13	7	1	7	13	13	12	8	8
14	2	1	9	14	14	13	13	13
15	4	6	1	15	15	12	14	14
16	1	1	2	16	2	1	15	15
17	3	3	5	17	16	4	16	16
18	8	1	1	18	17	12	17	10
19	4	7	3	2	18	2	6	17
20	2	1	7	19	19	14	18	18
21	1	1	1	20	12	8	19	9
22	2	1	1	21	12	15	1	19
23	9	1	3	6	20	6	20	3
24	7	1	7	22	21	12	8	8
25	10	8	4	23	22	16	21	20
26	6	1	1	24	23	12	22	21
27	11	1	1	25	6	6	17	3
28	1	1	1	26	24	11	23	21
29	1	1	7	27	24	17	24	22
30	6	9	3	28	25	18	3	23
31	2	1	3	6	6	19	25	11
32	9	1	3	6	6	19	25	11
33	12	1	10	29	26	20	26	21
34	13	1	1	33	29	6	20	25
35	1	7	1	40	33	2	2	2
36	2	1	1	42	34	28	31	30
37	2	1	1	43	35	6	8	11
38	1	1	3	33	36	3	27	17
39	8	1	14	52	10	32	13	34
