ST	arcC	glpK	gtr	pta	tpiA	tuf	clonal_complex
1	6	5	7	6	6	3	
2	1	1	7	1	1	1	
3	8	2	1	3	2	4	
4	5	1	1	4	3	3	
5	9	4	2	2	4	2	
6	7	2	3	4	5	3	
7	5	5	5	1	5	3	
8	2	5	7	1	6	3	
9	2	2	6	1	6	3	
10	3	5	1	4	5	3	
11	2	3	3	4	7	3	
12	6	5	4	1	6	3	
13	1	5	7	1	6	3	
14	6	1	7	1	6	3	
15	7	2	1	3	8	5	
16	10	2	7	1	6	3	
17	4	2	7	5	6	3	
18	6	5	7	1	6	3	
19	2	3	7	1	6	3	
20	6	3	7	1	6	3	
21	2	2	1	1	6	3	
22	2	3	3	1	7	3	
23	1	5	7	6	6	3	
24	11	7	9	8	9	4	
25	7	2	8	3	8	4	
26	12	8	1	3	8	4	
27	13	5	1	1	6	3	
28	8	2	10	7	8	4	
29	2	2	7	1	6	3	
30	14	6	11	10	10	1	
31	7	9	1	3	8	4	
32	15	2	1	9	2	4	
33	7	5	7	1	6	3	
34	2	5	3	1	6	3	
35	6	3	7	1	6	1	
36	1	3	7	1	3	3	
37	8	8	12	8	3	4	
38	7	5	13	6	6	3	
39	8	2	14	11	8	4	
40	16	2	7	1	6	3	
41	11	2	13	1	6	3	
42	2	5	13	4	6	3	
43	1	3	3	12	6	6	
44	17	5	13	4	7	3	
45	6	5	7	3	6	3	
46	7	2	14	1	2	3	
47	6	5	7	4	6	3	
48	6	5	3	4	6	3	
49	6	5	3	3	6	3	
50	1	3	7	1	11	6	
51	18	5	7	1	6	3	
52	19	2	1	3	8	4	
53	20	5	15	4	6	1	
54	21	10	16	3	12	7	
55	11	2	3	4	13	3	
56	6	2	5	1	6	3	
57	2	5	7	1	3	3	
58	1	5	1	6	8	5	
59	7	2	7	3	6	3	
60	6	5	7	3	2	3	
61	7	2	14	1	6	4	
62	11	8	17	13	2	4	
63	11	2	17	13	2	4	
64	10	2	1	3	3	7	
65	2	5	6	1	6	3	
66	6	5	3	6	6	3	
67	14	2	7	1	6	3	
68	22	2	18	13	2	4	
69	8	6	11	1	11	8	
70	23	3	7	1	6	3	
71	25	2	6	1	6	3	
72	2	11	7	1	11	3	
73	24	5	7	1	6	3	
74	6	12	1	6	6	3	
75	8	14	9	1	14	9	
76	26	5	12	1	6	3	
77	6	13	19	1	6	3	
78	6	3	7	3	6	3	
79	26	5	3	8	6	3	
80	8	5	3	8	6	3	
81	25	5	7	1	11	3	
82	3	5	1	4	6	3	
83	8	2	20	14	8	4	
84	8	2	10	14	8	2	
85	7	2	14	1	2	4	
86	8	1	4	1	11	1	
87	2	2	3	1	6	3	
88	22	2	16	13	2	4	
89	6	1	3	1	6	3	
90	23	2	7	1	6	3	
91	5	5	1	8	7	3	
92	24	2	16	8	8	4	
93	7	2	18	3	2	4	
94	27	2	14	1	2	3	
95	2	2	21	1	6	3	
96	28	8	1	3	8	4	
97	22	2	22	13	2	4	
98	29	5	1	8	7	3	
99	24	2	22	8	15	4	
100	27	2	18	3	2	4	
101	27	2	14	1	2	4	
102	27	2	22	15	16	4	
103	8	1	4	1	17	1	
104	6	5	7	16	6	3	
105	24	1	7	1	6	1	
106	10	5	7	1	6	1	
107	22	2	25	3	8	4	
108	30	2	26	3	8	4	
109	2	5	3	17	6	3	
110	36	5	12	1	6	3	
111	46	4	29	19	20	2	
112	24	2	1	2	8	11	
113	27	2	1	3	8	5	
114	24	2	1	8	15	4	
115	23	2	7	1	5	6	
116	6	5	4	1	6	12	
117	6	3	32	1	21	3	
118	1	14	9	1	9	13	
119	29	6	7	23	6	6	
120	32	2	7	5	6	3	
121	18	5	7	1	3	6	
122	29	6	31	4	5	3	
123	1	5	7	1	6	6	
124	36	5	7	20	6	3	
125	23	5	7	1	6	3	
126	18	15	7	1	6	3	
127	27	9	23	3	8	4	
128	24	2	7	1	6	3	
129	8	19	14	3	8	4	
130	27	2	14	3	8	4	
131	19	16	1	3	8	4	
132	35	5	4	1	6	6	
133	27	2	8	3	8	4	
134	8	8	22	3	3	4	
135	27	2	14	8	2	4	
136	22	2	1	3	8	11	
137	8	5	7	1	6	3	
138	35	5	7	1	3	1	
139	27	2	34	1	2	4	
140	27	2	1	1	2	4	
141	27	5	13	6	6	3	
142	6	3	5	1	23	3	
143	6	5	7	17	6	3	
144	38	5	3	6	6	3	
145	39	17	4	1	7	3	
146	40	20	13	1	5	3	
147	36	5	5	4	5	3	
148	6	3	12	4	6	3	
149	27	5	7	1	6	3	
150	39	5	7	1	3	3	
151	33	6	11	10	10	1	
152	27	2	1	2	8	11	
153	6	3	13	1	6	3	
154	6	5	6	1	6	3	
155	38	5	13	4	7	3	
156	27	2	1	6	5	3	
157	25	5	3	1	6	3	
158	25	5	7	1	6	3	
159	23	2	7	1	3	3	
160	18	2	1	1	6	3	
161	8	5	3	1	6	3	
162	1	3	7	1	6	3	
163	6	5	3	1	6	3	
164	25	12	30	1	5	3	
165	8	5	1	1	6	3	
166	6	5	7	1	3	3	
167	18	5	13	1	3	3	
168	8	1	1	1	3	3	
169	27	2	22	22	2	3	
170	29	5	5	1	5	3	
171	38	5	7	1	7	3	
172	26	5	12	4	6	3	
173	45	8	1	3	14	9	
174	2	2	7	1	5	3	
175	29	5	3	1	5	3	
176	29	5	1	1	5	3	
177	29	1	1	4	3	3	
178	29	6	12	1	3	3	
179	2	5	28	1	3	3	
180	18	1	1	1	3	3	
181	31	4	29	2	4	2	
182	41	2	1	3	12	10	
183	24	2	1	3	8	11	
184	8	2	26	3	8	4	
185	19	9	22	3	8	4	
186	10	10	16	3	12	7	
187	27	2	22	13	2	3	
188	27	2	22	3	2	3	
189	27	2	14	3	2	3	
190	29	5	7	1	6	14	
191	33	6	11	21	10	1	
192	34	2	14	3	8	4	
193	34	2	1	9	2	4	
194	49	1	1	1	3	3	
195	50	3	13	1	5	3	
196	48	2	33	4	5	3	
197	2	5	36	6	6	3	
198	37	5	7	1	28	3	
199	27	2	14	28	2	4	
200	47	21	27	24	19	4	
201	43	2	23	25	22	4	
202	44	2	25	3	24	4	
203	27	22	35	3	25	4	
204	18	5	7	1	29	6	
205	10	8	22	26	26	7	
206	11	14	37	1	9	9	
207	31	18	29	2	27	9	
208	31	4	29	27	27	9	
209	42	21	27	18	19	10	
210	15	2	25	3	8	15	
211	38	5	13	1	7	3	
212	49	3	7	1	30	3	
213	27	2	1	2	8	16	
214	24	2	1	2	8	16	
215	8	6	11	1	11	3	
216	36	23	12	1	6	3	
217	2	2	1	1	5	3	
218	11	14	13	8	9	9	
219	34	2	1	3	8	4	
220	6	5	11	17	6	3	
221	51	2	22	1	8	7	
222	52	5	12	3	6	12	
223	11	14	16	8	31	17	
224	6	5	19	1	6	3	
225	8	2	14	3	8	4	
226	1	7	7	1	6	3	
227	11	6	11	4	11	1	
228	33	6	11	17	10	1	
229	35	5	1	1	6	3	
230	26	14	1	12	6	3	
231	8	2	1	1	6	3	
232	8	1	12	1	6	3	
233	10	1	4	4	6	3	
234	17	6	11	4	10	1	
235	1	5	3	1	32	3	
236	1	5	3	4	32	1	
237	36	1	38	1	6	3	
238	36	5	19	1	6	6	
