ST	accA	gki	hom	oppC	patB	rlmN	tsf	clonal_complex
1	100	85	16	65	96	80	114	
2	101	61	77	116	116	6	92	
3	10	30	118	59	27	102	115	
4	102	122	115	117	127	47	57	
5	103	21	120	136	22	55	89	
6	104	173	166	29	166	78	70	
7	105	52	106	54	182	10	138	
8	106	130	89	5	164	16	106	
9	107	53	99	103	46	146	3	
10	107	115	99	108	194	14	3	
11	108	12	127	95	88	155	2	
12	109	118	23	113	146	97	144	
13	110	85	9	41	170	34	80	
14	111	137	169	46	41	107	32	
15	112	99	129	87	168	93	36	
16	113	64	102	119	128	1	55	
17	114	112	74	95	42	129	31	
18	1	2	59	136	101	118	86	
19	1	94	159	62	113	50	120	
20	11	34	157	93	176	60	90	
21	115	63	129	87	106	92	36	
22	115	147	129	105	160	92	125	
23	115	147	129	105	160	92	135	
24	115	147	129	86	77	28	38	
25	1	109	160	101	173	118	88	
26	1	52	81	51	21	128	122	
27	116	36	150	104	32	42	54	
28	117	56	59	54	8	123	53	
29	118	149	61	39	85	144	80	
30	118	85	59	141	174	103	88	
31	118	81	160	136	25	174	88	
32	118	170	39	118	79	51	19	
33	118	43	140	54	53	89	88	
34	118	83	106	67	118	140	114	
35	118	13	70	54	141	8	64	
36	118	97	141	37	170	58	119	
37	118	20	59	65	98	117	84	
38	118	85	148	65	85	140	88	
39	118	74	68	10	54	168	80	
40	118	52	9	66	51	69	136	
41	119	173	166	88	29	181	132	
42	120	121	129	87	5	108	36	
43	12	18	105	132	94	20	5	
44	121	67	123	79	59	73	35	
45	121	173	99	9	86	78	138	
46	122	154	130	86	191	51	16	
47	122	96	152	79	144	136	131	
48	123	171	87	54	180	164	62	
49	123	132	174	72	175	17	26	
50	124	91	106	75	132	175	95	
51	125	168	136	42	34	166	40	
52	126	24	125	70	14	30	141	
53	127	169	176	80	192	146	2	
54	128	125	65	134	167	75	47	
55	129	145	90	4	30	140	118	
56	129	143	12	3	92	12	110	
57	130	94	33	4	55	62	9	
58	13	18	137	108	154	146	5	
59	13	111	94	20	157	82	97	
60	13	111	94	20	129	35	97	
61	131	35	170	136	183	119	76	
62	132	165	59	138	142	159	120	
63	133	73	95	16	124	37	51	
64	134	158	153	31	26	53	128	
65	135	153	59	63	49	147	90	
66	136	141	73	87	69	180	73	
67	137	142	52	78	120	127	52	
68	138	140	19	34	36	138	96	
69	139	138	116	23	159	13	33	
70	140	3	129	94	77	92	100	
71	141	49	69	15	188	64	44	
72	142	11	108	121	91	170	17	
73	143	66	22	17	190	3	56	
74	144	48	6	136	53	174	80	
75	145	40	92	47	126	171	41	
76	146	33	25	129	97	109	6	
77	147	46	46	13	152	116	45	
78	14	23	168	45	179	44	7	
79	14	23	168	68	179	44	7	
80	148	161	5	97	111	40	17	
81	149	147	114	76	31	23	31	
82	150	76	37	138	53	133	112	
