ST	aroE	ddl	gdh	gki	hexB	recP	xpt
1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2
3	2	19	17	19	18	8	5
4	2	2	10	20	2	19	2
5	3	3	3	3	3	3	3
6	4	4	4	4	4	4	4
7	4	13	13	14	13	13	16
8	4	31	29	5	31	25	24
9	5	2	5	5	5	5	5
10	5	5	5	5	5	5	6
11	5	6	5	6	5	5	5
12	5	7	5	7	5	5	7
13	5	2	5	5	17	5	20
14	5	20	5	6	5	5	5
15	5	2	5	6	5	5	5
16	5	5	5	21	23	5	6
17	5	2	5	5	26	5	5
18	5	24	5	6	5	5	6
19	5	10	5	5	5	18	24
20	5	5	2	6	5	5	6
21	6	2	5	6	5	5	5
22	7	8	6	8	6	6	8
23	8	9	7	9	7	7	9
24	8	12	12	13	20	12	15
25	9	10	5	2	7	8	10
26	9	16	5	2	7	8	10
27	9	16	19	2	21	18	10
28	9	16	19	2	25	18	10
29	9	16	5	2	7	10	10
30	10	11	8	10	8	9	11
31	10	12	12	13	20	12	15
32	11	5	9	11	9	10	5
33	12	5	10	2	10	8	12
34	13	9	7	9	7	7	9
35	14	1	11	12	11	11	13
36	15	2	2	2	7	2	14
37	16	12	12	13	12	12	15
38	17	14	5	15	14	14	17
39	18	15	14	16	2	15	10
40	18	21	18	16	19	13	10
41	19	8	6	8	6	6	8
42	20	17	15	17	15	16	18
43	21	18	16	18	16	17	19
44	22	2	2	2	7	2	14
45	23	5	10	2	10	8	12
46	24	21	18	16	22	13	10
47	25	2	2	2	7	2	14
48	26	9	7	22	7	7	9
49	27	22	20	6	5	20	21
50	28	23	1	1	24	1	1
51	29	2	21	2	7	2	14
52	30	5	9	11	9	10	5
53	31	5	17	11	27	8	22
54	31	2	10	20	2	19	2
55	32	25	22	23	7	12	25
56	33	2	5	24	5	5	5
57	34	24	7	25	28	18	15
58	34	16	24	2	7	8	10
59	35	26	23	26	36	21	23
60	36	27	25	27	5	8	25
61	36	2	2	2	7	2	14
62	37	29	27	29	29	24	27
63	38	30	28	30	30	10	14
64	1	32	30	25	5	18	24
65	39	33	19	2	37	8	12
66	40	34	31	31	34	26	14
67	40	5	17	11	27	8	22
68	41	5	2	2	7	2	14
69	42	40	32	32	39	27	28
70	44	38	36	35	5	30	30
71	45	39	37	2	5	8	31
72	46	35	38	25	32	8	32
73	48	7	12	2	7	22	15
74	49	28	26	28	38	23	26
75	50	41	39	27	27	32	35
76	51	42	40	37	27	33	36
77	52	43	41	38	40	34	37
78	53	44	42	39	41	35	38
