ST	aroA	cpn60	gki	mutS	recA	sdhA	thrA
1	1	1	1	1	1	1	1
2	1	1	1	1	2	2	2
3	2	2	1	2	1	3	2
4	3	2	1	3	3	4	1
5	4	3	1	1	4	4	3
6	5	1	2	4	5	5	4
7	6	1	3	5	6	6	5
8	7	1	4	5	6	7	6
9	7	1	4	5	7	7	6
10	8	1	5	6	6	8	7
11	9	1	6	7	7	9	7
12	9	1	4	8	8	10	8
13	10	4	3	9	6	11	9
14	11	5	4	10	7	12	9
15	12	6	4	11	9	13	7
16	13	7	7	12	6	9	9
17	8	8	8	7	8	10	8
18	10	8	9	7	8	10	8
19	10	9	10	13	6	14	7
20	10	10	9	8	10	7	8
21	14	11	11	14	7	9	9
22	10	12	7	15	6	3	6
23	15	10	4	16	7	15	34
24	16	10	4	17	7	15	34
25	17	13	12	18	6	16	10
26	10	10	9	8	10	10	8
27	18	1	4	19	11	12	9
28	10	14	4	20	6	3	6
29	8	10	9	8	10	10	8
30	10	15	4	21	11	9	9
31	19	1	7	8	6	17	11
32	10	10	6	7	10	10	8
33	20	16	4	22	12	9	7
34	21	1	13	20	6	18	11
35	19	1	13	20	6	18	11
36	19	1	7	7	6	19	11
37	10	8	4	21	11	9	9
38	19	17	7	7	6	18	7
39	19	1	12	8	6	20	7
40	22	1	7	7	6	18	11
41	19	1	13	7	6	18	11
42	23	1	12	23	6	18	7
43	24	1	13	20	13	18	11
44	10	1	7	7	6	18	11
45	25	1	13	7	6	18	11
46	26	12	6	21	2	9	9
47	27	17	7	7	6	21	11
48	10	8	12	20	14	18	11
49	21	1	7	20	6	22	11
50	19	1	7	7	6	16	11
51	28	1	7	20	6	18	11
52	10	17	7	7	6	21	11
53	10	1	7	8	6	23	11
54	10	1	8	7	6	18	11
55	29	18	14	8	6	17	11
56	10	19	7	24	6	18	11
57	28	20	8	20	6	23	11
58	30	1	8	25	6	18	11
59	31	1	12	7	6	24	11
60	29	12	15	7	6	25	7
61	19	1	12	20	6	18	12
62	31	1	16	25	6	26	11
63	10	12	7	7	6	18	11
64	30	21	13	26	6	18	10
65	10	19	7	7	14	27	11
66	31	19	7	25	6	18	11
67	32	19	7	7	7	28	11
