ST	aroE	gdh	gki	recP	spi	xpt	ddl	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	4	1	18	13	18	
3	1	5	1	8	14	11	14	
4	1	5	2	20	1	1	1	
5	1	5	2	11	9	3	51	
6	1	5	2	1	9	3	49	
7	1	5	4	1	5	1	8	
8	1	5	4	5	17	1	8	
9	1	5	4	5	5	1	8	
10	1	5	4	5	9	1	10	
11	1	5	4	5	10	1	8	
12	1	5	4	4	9	3	16	
13	1	5	4	5	5	27	8	
14	1	5	4	5	5	1	14	
15	1	5	4	5	5	3	8	
16	1	5	4	12	5	27	8	
17	1	5	4	11	9	3	47	
18	1	5	4	11	9	3	16	
19	1	5	4	18	9	3	16	
20	1	5	4	1	5	3	3	
21	1	5	4	11	9	3	4	
22	1	5	4	11	9	43	52	
23	1	5	4	5	35	3	8	
24	1	5	4	5	5	1	24	
25	1	5	4	1	5	3	8	
26	1	5	7	12	26	1	14	
27	1	5	9	1	14	14	6	
28	1	5	9	1	9	14	6	
29	1	5	10	5	5	3	8	
30	1	5	27	20	1	1	1	
31	1	5	31	5	5	3	8	
32	1	6	4	5	15	1	20	
33	1	8	1	2	6	4	6	
34	1	8	4	1	5	4	6	
35	1	8	4	1	23	4	6	
36	1	8	4	1	1	4	6	
37	1	8	6	2	6	4	6	
38	1	8	6	2	5	4	6	
39	1	8	6	2	22	4	6	
40	1	8	9	1	5	4	6	
41	1	8	9	5	11	1	12	
42	1	8	9	9	6	4	6	
43	1	10	4	1	9	3	8	
44	1	11	10	1	6	8	1	
45	1	12	1	23	15	26	14	
46	1	12	4	16	31	1	14	
47	1	13	8	6	10	6	14	
48	1	26	28	11	13	30	14	
49	1	26	28	11	6	1	14	
50	2	1	18	1	19	19	14	
51	7	14	4	12	1	1	6	
52	2	2	2	2	2	1	1	
53	2	5	1	11	16	3	14	
54	2	5	1	11	6	3	14	
55	2	5	1	12	16	3	14	
56	2	5	1	11	16	44	14	
57	2	5	12	10	6	10	32	
58	2	5	12	10	6	10	5	
59	2	5	21	12	10	21	14	
60	2	5	23	18	10	3	1	
61	2	5	29	18	9	3	18	
62	2	5	29	12	16	3	14	
63	2	5	36	12	17	21	14	
64	2	6	6	12	16	3	14	
65	2	7	4	10	10	1	27	
66	2	8	2	4	6	1	1	
67	2	8	7	4	6	1	1	
68	2	8	9	5	12	1	13	
69	2	8	37	4	6	1	1	
70	2	13	1	4	6	12	1	
71	2	13	2	4	6	1	1	
72	2	13	2	4	9	4	1	
73	2	13	2	15	6	1	1	
74	2	13	4	1	6	6	14	
75	2	13	8	25	25	6	8	
76	2	13	9	15	6	19	42	
77	2	14	4	12	1	1	14	
78	2	24	2	4	9	4	31	
79	2	27	2	4	9	4	31	
80	2	27	2	4	9	32	31	
81	4	4	2	4	4	1	1	
82	4	4	2	4	5	1	1	
83	4	4	2	4	6	1	1	
84	4	4	2	4	8	1	1	
85	4	4	2	4	4	1	47	
86	5	5	7	6	8	5	7	
87	5	5	7	7	8	5	4	
88	5	5	7	7	8	5	7	
89	5	5	7	7	8	5	1	
90	5	6	1	2	6	3	4	
91	5	6	1	2	6	3	48	
92	5	6	1	2	34	3	4	
93	5	6	1	15	6	3	4	
94	5	6	1	2	6	3	54	
95	5	6	33	2	6	3	4	
96	5	6	39	2	6	3	4	
97	5	7	4	2	10	1	27	
98	5	7	4	2	10	10	27	
99	5	8	4	16	6	1	31	
100	5	12	29	12	9	39	18	
101	5	13	1	1	6	41	18	
102	5	13	11	4	15	12	19	
103	5	13	38	1	6	1	18	
104	5	6	41	2	6	3	4	
105	5	15	4	1	6	1	6	
106	5	16	7	7	8	5	7	
107	6	5	2	7	6	1	9	
108	6	7	5	5	7	3	5	
109	6	25	1	5	27	29	5	
110	7	2	1	5	10	1	21	
111	7	2	1	10	6	1	6	
112	7	2	1	1	6	1	30	
113	7	2	1	1	10	1	21	
114	7	2	1	1	24	1	21	
115	15	16	19	15	30	20	39	
116	7	2	1	13	10	1	21	
117	7	2	4	4	10	1	11	
118	7	2	4	2	22	20	28	
119	7	2	4	19	10	10	21	
120	7	2	24	1	10	24	21	
121	7	2	25	1	10	1	21	
122	7	2	29	1	10	1	21	
123	7	2	40	1	10	1	45	
124	7	5	1	8	14	11	14	
125	7	5	1	8	1	11	14	
126	7	5	1	8	6	11	14	
127	7	5	1	8	9	11	14	
128	7	5	1	5	10	7	15	
129	7	5	1	8	14	11	5	
130	7	5	1	8	14	14	14	
131	7	5	1	8	22	11	14	
132	7	5	1	8	10	11	14	
133	7	5	1	1	10	1	45	
134	7	5	1	8	14	1	14	
135	7	5	4	12	6	20	46	
136	7	5	4	1	6	20	46	
137	7	5	8	5	5	1	14	
138	7	5	8	5	10	6	14	
139	7	5	8	5	5	6	14	
140	7	5	8	18	10	6	14	
141	7	5	8	8	6	6	27	
142	7	5	8	6	6	12	8	
143	7	5	10	18	6	8	1	
144	7	5	10	1	6	8	1	
145	7	6	1	1	6	15	14	
