ST	ack	cpn60	fdh	pta	purA	sar	tuf	clonal_complex
1	1	2	2	1	1	2	1	
2	1	2	3	1	1	1	1	
3	3	2	2	1	4	1	1	
4	1	2	4	1	4	2	1	
5	2	2	2	1	16	2	1	
6	2	2	2	2	4	1	1	
7	4	2	2	2	4	1	1	
8	1	2	2	2	4	3	1	
9	1	2	3	2	18	1	1	
10	1	2	2	7	3	1	1	
11	2	2	2	8	1	1	1	
12	4	2	2	12	19	1	1	
13	17	3	2	1	7	2	1	
14	5	7	2	1	5	1	1	
15	1	7	2	1	5	4	1	
16	6	7	4	1	5	1	1	
17	1	7	1	1	13	1	1	
18	4	7	2	4	1	2	1	
19	1	7	1	4	4	1	1	
20	5	7	4	8	1	1	1	
21	1	7	2	8	14	1	1	
22	2	8	2	1	6	1	1	
23	2	8	2	1	7	1	1	
24	5	8	1	5	3	2	1	
25	3	9	2	1	1	1	1	
26	3	9	1	1	7	4	1	
27	3	9	3	1	8	4	1	
28	3	9	3	3	3	4	1	
29	1	10	2	4	1	1	1	
30	1	10	1	4	5	1	1	
31	3	11	1	1	8	4	1	
32	1	11	2	1	8	1	1	
33	4	13	2	1	4	1	1	
34	2	13	2	1	8	6	1	
35	3	13	2	11	14	2	1	
36	6	14	5	1	3	5	1	
37	1	16	2	1	5	1	1	
38	1	20	2	1	3	1	1	
39	4	20	1	1	7	1	1	
40	5	21	3	2	7	4	1	
41	11	25	3	1	1	1	1	
42	3	27	1	2	3	1	1	
43	4	27	3	8	5	2	1	
44	5	32	1	23	1	1	1	
45	3	2	2	1	2	1	2	
46	4	9	1	1	8	2	2	
47	12	2	1	1	13	1	2	
48	1	2	2	1	17	2	2	
49	3	2	2	4	13	1	2	
50	2	3	2	1	4	1	2	
51	16	6	1	1	4	1	2	
52	1	6	1	1	7	1	2	
53	1	6	4	4	4	1	2	
54	1	7	2	1	1	1	2	
55	4	2	2	1	13	1	2	
56	1	7	3	1	4	1	2	
57	3	2	2	1	2	2	1	
58	5	7	4	1	4	2	2	
59	1	7	4	1	13	2	2	
60	6	7	3	2	4	1	2	
61	1	7	2	2	20	8	2	
62	1	7	4	4	7	2	2	
63	1	7	2	8	14	1	2	
64	2	7	2	11	5	2	2	
65	1	7	2	18	1	1	2	
66	7	8	2	1	1	2	2	
67	8	8	1	1	4	2	2	
68	1	10	1	4	1	1	1	
69	3	8	2	1	4	1	2	
70	5	8	2	4	1	1	2	
71	3	9	1	2	1	2	1	
72	4	9	4	1	1	1	2	
73	1	9	2	1	3	1	2	
74	1	9	2	1	4	1	2	
75	4	9	1	1	8	1	2	
76	2	9	3	1	1	1	2	
77	1	9	4	1	8	1	2	
78	7	9	1	1	13	5	2	
79	1	9	6	2	2	1	2	
80	14	9	4	2	4	5	2	
81	4	9	1	2	8	1	2	
82	1	9	2	4	1	1	2	
83	3	10	2	1	2	1	2	
84	2	10	2	1	5	1	2	
85	3	2	2	1	1	2	2	
86	4	10	2	1	13	5	2	
87	1	13	1	1	1	1	2	
88	5	13	4	1	4	1	2	
89	5	13	4	1	4	2	2	
90	4	13	3	1	9	3	2	
91	10	13	2	1	10	1	2	
92	1	13	1	4	3	1	2	
93	1	13	1	19	1	2	2	
94	1	15	2	4	8	1	2	
95	5	18	1	4	2	1	2	
96	1	19	4	4	13	4	2	
