ST	gki	gtr	murI	mutS	recP	xpt	yqiL	clonal_complex
1	1	1	1	1	1	1	1	
2	1	2	20	5	35	3	4	
3	2	2	1	2	2	2	2	
4	2	2	1	2	2	3	2	
5	2	2	2	3	2	3	2	
6	2	2	8	3	2	16	12	
7	2	2	9	3	18	3	4	
8	2	2	9	3	18	11	2	
9	2	2	9	3	18	14	2	
10	2	2	9	13	2	14	2	
11	2	6	1	2	2	2	2	
12	2	6	1	5	2	2	2	
13	2	6	2	5	22	3	2	
14	2	6	8	3	9	3	1	
15	2	6	8	5	2	3	2	
16	2	6	8	15	2	3	2	
17	2	13	8	5	2	3	10	
18	2	27	8	5	2	3	2	
19	3	2	3	3	3	3	3	
20	3	4	6	5	1	5	1	
21	3	4	6	5	1	5	2	
22	3	4	6	7	1	5	4	
23	3	4	6	7	11	5	4	
24	3	4	24	5	4	23	6	
25	4	2	3	11	17	3	1	
26	4	2	21	16	17	3	1	
27	4	3	2	5	2	26	1	
28	4	3	4	4	4	2	4	
29	4	6	2	7	7	7	5	
30	4	6	2	7	21	7	1	
31	4	10	3	6	14	10	4	
32	4	17	2	5	1	25	1	
33	4	26	23	7	1	28	3	
34	4	29	2	7	7	7	4	
35	4	31	2	13	34	3	21	
36	5	2	2	6	6	2	2	
37	5	2	5	5	5	4	3	
38	5	7	8	5	15	2	1	
39	5	11	8	5	15	2	1	
40	5	11	8	5	29	2	4	
41	6	5	7	1	5	3	3	
42	6	5	7	1	5	6	3	
43	7	2	8	3	8	2	2	
44	8	7	8	8	9	3	1	
45	9	8	1	1	1	3	3	
46	9	8	1	1	1	3	4	
47	9	16	1	20	25	3	16	
48	10	6	2	6	10	3	6	
49	11	2	1	3	12	3	7	
50	11	6	3	6	6	27	4	
51	11	6	12	6	6	2	4	
52	11	6	14	5	9	17	19	
53	11	6	22	7	9	2	17	
54	11	7	15	7	17	3	4	
55	11	9	1	9	2	3	4	
56	11	9	2	5	2	5	4	
57	11	23	2	7	24	3	2	
58	12	2	1	3	12	8	7	
59	13	2	8	19	1	3	4	
60	13	2	14	1	9	3	1	
61	13	2	16	1	5	3	1	
62	13	3	10	12	20	2	3	
63	13	6	2	3	23	3	11	
64	13	7	8	1	9	22	3	
65	13	7	8	1	13	9	8	
66	13	7	8	1	13	12	8	
67	13	7	8	1	26	3	13	
68	13	7	8	1	26	9	8	
69	13	7	8	10	13	9	8	
70	13	18	8	1	13	9	8	
71	14	12	2	7	16	5	9	
72	14	28	2	17	4	5	1	
73	15	14	7	7	19	3	1	
74	15	14	7	16	19	3	1	
75	15	14	7	18	19	3	1	
76	16	2	8	3	1	3	1	
77	16	2	8	3	1	11	1	
78	16	2	8	7	1	13	1	
79	16	2	11	3	1	11	1	
80	16	15	19	7	1	2	17	
81	17	19	1	1	1	15	3	
82	18	20	7	9	2	2	15	
83	19	21	1	1	5	3	3	
84	20	22	2	3	27	18	12	
85	20	22	2	3	27	18	14	
86	21	31	1	3	28	3	4	
87	22	10	17	14	14	3	20	
88	23	24	2	3	23	19	18	
89	24	2	3	5	1	3	1	
90	25	2	13	6	30	25	15	
91	26	2	18	5	31	3	1	
92	27	25	4	4	32	2	1	
93	28	25	4	4	4	2	1	
94	28	25	4	4	4	20	1	
95	29	32	2	5	33	21	4	
96	30	2	9	13	18	14	2	
97	31	2	2	5	35	24	12	
98	32	6	8	3	2	8	22	
99	33	30	7	5	5	26	3	
100	34	2	2	21	1	29	16	
101	16	2	8	3	1	13	3	
102	13	34	25	6	36	3	1	
103	2	2	2	3	37	3	2	
104	36	33	2	5	19	24	1	
105	35	2	2	5	13	30	1	
106	4	25	3	4	4	2	1	
107	4	25	26	4	4	2	1	
108	10	24	14	17	19	31	26	
109	42	37	8	22	33	3	4	
110	41	31	8	25	33	3	27	
111	3	38	1	7	1	8	24	
112	16	35	27	24	35	33	1	
113	11	6	22	7	40	2	23	
114	4	36	2	18	2	3	4	
115	40	2	9	6	41	8	12	
116	39	2	2	5	38	34	1	
117	38	2	2	23	39	2	25	
118	37	2	8	3	2	3	1	
119	2	6	8	3	2	32	1	
120	43	2	2	7	1	3	1	
121	47	3	2	5	10	34	12	
122	4	6	1	28	2	2	2	
123	43	2	8	7	1	3	1	
124	2	2	8	3	5	2	2	
125	72	14	7	18	19	3	1	
126	2	2	8	13	18	14	2	
127	3	39	1	7	1	8	24	
128	49	2	2	5	44	14	12	
129	16	42	34	7	45	2	17	
130	13	2	35	7	2	38	1	
131	2	2	36	3	18	14	2	
132	50	2	8	30	8	3	30	
133	4	31	2	31	2	8	7	
134	54	24	14	4	9	2	2	
135	2	6	37	5	2	3	28	
136	40	2	9	5	9	8	12	
137	4	2	2	2	46	3	4	
138	3	2	2	5	19	34	4	
139	53	39	1	7	1	3	24	
140	51	2	14	26	19	35	31	
141	52	31	9	6	35	2	12	
142	16	2	8	3	2	41	1	
143	15	12	38	6	4	23	6	
144	29	32	2	5	48	9	4	
145	46	17	2	5	1	25	1	
146	40	2	29	5	19	3	1	
147	11	2	8	33	1	13	18	
148	43	2	3	6	6	2	2	
149	55	44	8	5	4	3	10	
150	11	2	1	3	50	8	7	
151	2	28	2	17	4	5	1	
152	42	6	14	26	43	35	4	
153	4	2	2	13	2	24	4	
154	31	2	2	5	18	24	12	
155	10	19	30	27	5	2	3	
156	45	6	31	7	1	36	1	
157	44	40	2	5	19	5	4	
158	13	7	8	1	13	3	13	
159	13	7	8	1	42	13	1	
160	10	2	7	27	5	37	4	
161	16	41	2	29	2	25	7	
162	3	2	32	2	2	2	2	
163	13	2	33	1	13	13	28	
164	2	2	8	3	5	2	29	
165	51	3	1	25	1	3	27	
166	4	31	2	11	34	3	4	
167	29	32	2	5	48	5	21	
168	2	2	14	3	22	3	2	
169	51	3	8	7	33	42	1	
170	2	2	2	3	18	14	12	
171	11	23	2	7	5	3	2	
172	56	24	39	7	30	2	33	
173	57	3	40	25	1	3	10	
174	31	2	2	5	35	14	12	
175	4	2	3	7	2	3	3	
176	3	2	3	3	1	3	3	
