ST	aroE	dat	ddl	gmk	ldh	recA	yqiL
1	1	1	1	1	1	1	1
2	3	3	2	2	1	2	3
3	4	3	4	2	3	4	6
4	6	4	3	1	1	3	3
5	5	6	5	3	4	4	7
6	1	1	1	1	1	1	2
7	1	1	1	1	1	1	9
8	2	3	2	2	1	2	3
9	1	4	3	1	1	3	4
10	3	5	2	2	2	3	5
11	1	1	1	1	1	4	1
12	1	1	7	1	1	1	2
13	3	3	6	4	1	5	3
14	3	3	2	2	1	2	5
15	1	2	1	1	1	1	2
16	5	3	4	2	3	1	6
17	6	4	6	1	1	3	3
18	5	6	5	3	4	4	8
19	3	7	2	2	1	2	3
20	4	8	4	2	3	4	6
21	1	1	1	1	1	3	2
22	3	3	8	1	1	3	5
23	3	5	1	2	2	3	3
24	3	5	1	2	2	3	5
25	3	5	1	2	5	3	5
26	8	3	8	1	1	3	5
27	7	3	1	1	1	6	5
28	5	6	6	1	6	4	7
29	3	3	1	1	1	6	5
30	4	3	4	2	3	3	6
31	5	6	5	5	4	4	7
32	3	3	2	2	7	2	3
33	1	1	1	1	8	1	1
34	1	1	9	1	1	1	1
35	1	1	1	1	9	1	10
36	4	3	4	2	3	4	11
37	9	1	1	1	1	1	2
38	6	4	3	1	1	3	12
39	6	4	3	6	1	3	3
40	5	6	5	3	10	4	7
41	1	9	3	3	11	3	7
42	7	3	10	1	1	6	5
