ST	carB	clpX	dnaA	murC	murE	pepN	pepX	pyrG	recA	rpoB
1	2	2	2	2	4	10	6	5	2	4
2	8	7	2	7	6	7	9	5	2	3
3	8	7	1	1	4	7	9	9	2	3
4	2	2	2	2	4	9	9	5	2	2
5	2	2	2	4	4	11	6	5	2	2
6	2	3	2	4	4	11	6	5	2	2
7	2	8	2	2	2	11	2	5	2	5
8	2	7	2	2	2	11	2	5	2	2
9	2	2	2	2	4	9	2	5	2	2
10	2	2	6	4	4	11	4	5	2	2
11	2	2	2	7	4	6	2	6	2	2
12	2	2	2	4	4	11	4	5	2	2
13	2	2	2	7	4	11	9	5	2	2
14	2	2	5	2	4	2	11	6	2	9
15	2	2	4	2	4	2	9	6	6	2
16	2	2	4	2	1	7	9	6	6	2
17	2	12	4	2	4	7	5	2	2	8
18	2	12	4	2	1	6	7	6	2	2
19	2	12	4	6	1	6	7	6	2	2
20	1	13	4	2	1	7	5	2	2	2
21	1	13	4	6	1	5	5	2	6	2
22	1	13	2	6	4	5	4	5	2	2
23	2	2	2	6	4	11	9	5	2	3
24	2	2	2	2	4	11	6	5	2	2
25	2	12	2	2	4	11	2	2	2	2
26	5	1	5	2	11	2	11	5	2	2
27	1	13	4	2	4	7	5	2	2	2
28	5	1	5	2	11	2	11	6	2	2
29	5	1	5	2	11	2	11	6	2	9
30	2	7	5	2	4	2	11	2	2	9
31	2	8	2	2	4	13	2	5	2	4
32	8	8	2	7	7	11	2	5	2	2
33	2	2	4	2	1	7	9	5	6	2
34	8	8	2	2	4	11	2	4	2	2
35	8	10	2	4	8	13	2	5	2	4
36	8	11	2	4	4	11	2	5	2	4
37	8	8	2	2	4	11	2	5	2	2
38	8	8	2	2	4	11	2	5	3	4
39	2	8	2	2	4	11	2	5	2	4
40	3	8	2	2	4	11	2	5	2	4
41	8	7	2	2	4	11	2	5	2	2
42	2	2	2	2	4	11	6	5	2	4
43	2	2	2	4	4	11	6	5	2	4
44	2	2	2	2	4	11	5	6	2	2
45	2	8	2	2	4	11	2	6	2	4
46	2	11	2	4	4	11	2	5	2	4
47	7	10	5	4	4	3	2	9	2	3
48	7	10	5	4	4	3	2	6	2	3
49	2	10	2	2	4	11	2	5	2	2
50	2	10	2	2	4	11	2	2	2	2
51	8	7	2	4	4	11	2	5	2	2
52	2	2	2	2	4	11	6	6	2	2
53	8	11	2	4	4	11	6	6	2	4
54	8	10	2	2	4	11	2	5	2	2
55	8	11	2	4	4	11	6	5	2	4
56	4	12	4	2	1	3	7	6	2	2
57	2	8	2	2	4	11	2	5	2	2
58	2	2	5	2	4	2	11	7	2	9
59	2	2	5	2	4	2	11	6	2	2
60	2	2	4	3	1	7	9	5	6	2
61	2	2	4	2	1	7	2	2	1	7
62	2	2	4	2	4	7	9	6	2	2
63	2	2	2	7	4	4	9	9	2	3
64	2	7	2	2	4	7	9	9	2	3
65	8	7	3	7	6	10	9	9	2	6
66	2	7	2	7	4	4	9	9	2	3
67	2	7	2	7	4	7	9	9	2	3
68	1	13	4	6	1	5	5	5	2	2
69	2	2	4	6	1	6	7	6	2	2
70	2	6	2	7	4	7	10	6	2	2
71	2	7	2	7	4	11	9	5	2	3
72	5	1	2	7	5	3	3	6	2	2
73	5	1	2	2	5	3	2	6	2	2
74	5	1	2	2	11	2	11	6	2	2
75	5	1	2	5	4	3	2	6	2	2
76	5	1	2	2	4	3	2	6	2	2
77	5	15	2	5	5	3	3	6	2	2
78	5	1	5	2	11	2	2	6	2	3
79	2	7	2	7	4	10	9	5	4	3
80	5	1	2	2	3	3	2	6	2	2
81	5	1	2	2	5	3	2	6	2	9
82	8	7	2	7	6	10	9	8	2	3
83	2	7	2	2	4	7	9	3	2	3
84	2	1	2	2	11	2	11	6	2	2
85	1	13	4	6	1	5	5	2	2	8
86	1	13	4	6	1	5	5	5	2	8
