ST	ddlA	glcK	proA	ptsI	serB	tkt
1	1	1	2	3	3	7
2	1	1	4	3	3	7
3	1	1	3	3	3	3
4	1	1	3	3	1	3
5	2	5	1	4	4	1
6	2	1	1	2	1	1
7	2	1	8	8	5	10
8	1	1	3	5	3	7
9	2	2	1	1	1	8
10	2	2	6	6	2	3
11	2	3	9	7	9	8
12	3	1	10	6	2	2
13	9	15	15	16	11	13
14	1	1	3	3	7	3
15	2	6	5	9	8	9
16	2	7	3	3	7	5
17	1	1	3	3	1	4
18	2	2	9	7	6	6
19	2	1	3	3	7	3
20	1	4	3	11	3	3
21	1	1	3	3	3	11
22	1	1	2	3	3	3
23	2	12	16	6	12	14
24	2	1	1	4	4	1
25	2	2	7	6	2	3
26	2	14	4	15	13	4
27	2	1	11	3	7	3
28	2	1	2	3	10	4
29	2	13	9	7	6	6
30	2	2	17	7	2	6
31	6	1	11	3	3	3
32	1	1	11	3	3	7
33	5	4	11	12	3	7
34	5	1	2	3	10	12
35	2	1	11	3	7	7
36	1	1	11	12	3	7
37	5	11	2	3	10	12
38	1	1	12	13	7	3
39	2	8	12	6	7	7
40	2	2	12	6	7	7
41	7	8	5	14	10	7
42	1	1	13	3	3	7
43	5	1	12	13	7	3
44	2	1	11	3	7	4
45	1	1	12	13	7	7
46	1	5	12	13	7	3
47	1	1	11	5	3	7
48	1	9	13	3	3	7
49	2	8	12	3	7	7
50	1	1	11	12	3	4
51	1	1	11	3	3	4
52	2	1	1	17	4	1
53	2	1	2	18	3	4
54	1	8	13	13	7	3
55	2	2	11	20	1	6
56	2	10	1	4	4	1
57	2	5	1	6	4	1
58	2	1	3	3	3	3
59	2	1	1	2	4	1
60	1	1	14	13	7	3
61	2	2	28	6	2	3
62	1	16	3	19	10	3
63	7	2	2	7	15	6
64	2	2	18	7	2	6
65	2	1	8	8	1	10
66	2	16	11	7	16	6
67	3	2	12	7	2	6
68	2	16	9	7	16	6
69	2	16	11	7	17	6
70	2	2	12	7	2	14
71	3	2	9	7	2	2
72	2	16	9	7	2	4
73	8	1	20	3	10	7
74	2	16	11	7	2	4
75	10	2	4	20	18	4
76	2	7	22	21	11	13
77	2	2	10	7	6	6
78	2	2	21	20	19	4
79	2	3	10	7	9	8
80	2	1	4	3	7	3
81	2	2	3	6	7	3
82	10	2	4	6	18	4
83	2	2	24	20	16	1
84	3	7	2	22	7	4
85	1	1	3	3	3	5
86	2	2	19	6	14	6
87	6	15	25	16	20	13
88	6	15	22	16	20	13
89	11	7	22	24	20	4
90	11	7	24	23	20	4
91	12	7	22	23	20	4
92	13	7	24	24	20	4
93	6	7	24	16	20	13
94	2	17	5	15	22	15
95	6	7	22	24	20	4
96	6	7	2	22	10	4
97	15	18	27	3	7	4
98	2	2	26	6	18	1
99	14	2	27	6	21	2
100	14	2	12	10	21	1
101	2	1	3	3	3	4
102	2	1	3	3	3	5
103	2	1	3	3	7	4
104	3	2	26	6	27	1
105	2	5	1	2	4	4
106	2	6	5	15	13	15
107	2	6	5	6	13	15
108	2	6	5	15	13	18
109	2	6	5	15	26	18
110	2	1	3	25	3	2
111	1	1	23	3	23	17
112	2	19	23	3	23	16
113	2	19	23	3	24	16
114	1	19	2	3	24	16
115	2	7	2	22	10	4
116	2	6	5	15	25	15
128	17	7	2	27	10	4
129	18	1	3	3	3	11
130	2	1	3	3	30	7
131	2	1	2	3	3	7
132	16	21	5	15	31	19
133	2	20	12	6	7	4
134	5	2	12	6	7	3
135	5	7	30	6	29	4
136	2	22	31	28	32	3
