ST	arcC	ddl	gki	recP	tdk	tpi	yqiL	clonal_complex
1	1	1	1	1	1	1	1	ST-5 complex
2	1	1	1	1	2	1	8	ST-5 complex
3	1	1	1	2	2	1	8	ST-5 complex
4	1	1	2	1	2	1	1	ST-5 complex
5	1	1	2	1	2	1	2	ST-5 complex
6	1	1	2	1	2	1	3	ST-5 complex
7	1	1	2	1	2	1	10	ST-5 complex
8	1	1	2	1	7	1	7	ST-5 complex
9	1	1	2	2	2	1	1	ST-5 complex
10	1	1	2	2	2	1	2	ST-5 complex
11	1	1	2	2	2	1	10	ST-5 complex
12	1	1	2	2	2	4	3	ST-143 complex
13	1	1	3	1	2	1	3	ST-5 complex
14	1	1	3	2	2	1	1	ST-5 complex
15	1	1	4	2	1	1	1	
16	1	1	5	2	5	1	1	
17	1	1	7	6	2	1	3	ST-5 complex
18	1	2	2	1	1	1	6	ST-5 complex
19	1	2	2	2	1	1	6	
20	1	2	3	2	1	1	6	
21	1	2	6	4	9	1	3	
22	2	1	2	1	2	1	2	ST-5 complex
23	2	1	2	1	2	1	10	ST-5 complex
24	2	1	2	2	2	1	2	ST-5 complex
25	2	1	2	2	2	1	10	ST-5 complex
26	2	3	2	1	2	1	2	ST-5 complex
27	3	1	2	2	3	3	3	ST-143 complex
28	3	1	2	2	9	2	3	ST-143 complex
29	3	1	3	3	5	2	3	ST-86 complex
30	3	1	4	4	3	2	3	
31	3	2	3	4	3	1	9	ST-86 complex
32	3	6	3	3	5	2	3	ST-86 complex
33	3	8	5	2	5	4	11	
34	4	1	1	1	2	1	2	ST-5 complex
35	4	1	2	1	2	1	2	ST-5 complex
36	4	1	2	1	2	1	10	ST-5 complex
37	4	1	2	5	2	1	3	ST-5 complex
38	4	1	4	4	2	1	10	
39	4	1	4	7	12	3	3	
40	4	1	7	2	10	4	4	
41	4	4	9	3	3	3	5	
42	5	2	2	1	3	3	3	
43	5	4	4	2	4	3	10	
44	5	4	5	3	11	4	10	
45	6	2	6	3	6	2	3	
46	7	5	5	2	4	2	2	
47	8	1	4	4	3	2	3	
48	9	4	3	4	3	3	10	
49	9	7	8	2	4	2	3	
50	10	4	4	2	3	4	9	
51	11	1	3	3	4	1	10	
52	12	4	6	4	14	2	3	
53	13	1	2	1	8	4	3	ST-143 complex
54	14	7	7	2	2	5	5	
55	15	1	4	3	13	4	3	
56	16	2	5	3	3	4	12	
57	17	9	5	2	13	4	2	
58	5	3	4	3	2	1	3	
59	6	2	3	2	3	2	3	
60	1	1	2	2	7	1	3	ST-5 complex
61	3	1	3	2	9	2	3	
62	5	2	5	2	15	3	3	
63	1	1	5	1	2	1	3	ST-5 complex
64	1	1	4	2	2	1	10	ST-5 complex
65	13	1	10	2	2	1	3	
66	3	1	4	4	5	4	3	
67	4	1	2	2	2	1	2	ST-5 complex
68	4	1	2	5	16	1	10	
69	4	1	2	5	2	1	10	ST-5 complex
70	1	3	2	1	2	1	3	ST-5 complex
71	6	1	7	2	10	4	4	
72	8	1	6	2	6	3	3	
73	2	4	11	2	5	2	3	
74	2	4	3	4	9	2	3	
75	4	1	4	5	2	1	10	
76	8	4	6	4	5	2	3	
77	1	1	12	1	2	1	3	ST-5 complex
78	6	1	3	2	3	2	3	
79	6	1	2	5	2	1	10	ST-5 complex
80	18	1	5	2	3	4	3	ST-143 complex
81	6	1	3	1	17	1	3	
82	19	2	3	4	17	1	3	ST-86 complex
83	4	1	2	2	17	4	3	ST-143 complex
84	3	2	3	3	18	1	3	ST-86 complex
85	1	1	2	4	17	4	3	ST-143 complex
86	3	2	3	3	13	1	3	ST-86 complex
87	3	2	3	3	13	1	14	ST-86 complex
88	3	4	3	2	19	4	3	
89	18	1	2	4	17	1	3	ST-143 complex
90	1	1	13	2	17	1	14	
91	18	1	2	2	17	1	3	ST-143 complex
92	5	2	14	2	10	2	15	
93	1	1	13	4	17	1	14	
94	18	1	5	1	20	6	14	
95	19	10	4	2	21	1	3	
96	6	1	2	2	3	4	3	ST-143 complex
97	19	1	15	3	4	1	3	
98	19	10	5	2	17	4	14	
99	18	11	2	2	3	1	3	ST-143 complex
100	6	1	4	3	17	1	10	
101	1	1	5	2	20	1	3	
102	1	1	5	2	22	1	3	
103	1	1	13	2	23	1	3	
104	18	1	5	4	17	1	3	ST-143 complex
105	3	2	3	3	9	1	3	ST-86 complex
106	19	4	5	2	13	1	3	
107	4	7	5	3	17	1	3	
108	6	2	2	2	20	4	3	ST-143 complex
109	6	1	5	2	13	1	3	
110	4	10	5	2	21	1	10	
111	4	1	5	2	20	1	3	
112	1	1	13	2	17	1	3	ST-143 complex
113	18	1	2	2	20	4	3	ST-143 complex
114	4	12	3	2	17	1	13	
115	18	1	2	8	17	1	3	ST-143 complex
116	4	4	16	2	10	4	15	
117	19	10	5	3	17	4	3	
118	19	13	3	2	17	1	3	
119	19	4	5	3	13	1	3	ST-86 complex
120	1	1	2	4	17	1	14	ST-5 complex
