ST	arcC	nrdE	proS	spi	tdk	tpi	yqiL	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	1	2	1	2	2	
3	3	3	1	3	2	3	3	
4	4	3	2	4	1	4	4	
5	5	3	3	5	3	5	5	
6	2	4	4	6	4	5	6	
7	5	5	5	5	3	6	7	
8	6	6	6	4	5	7	7	
9	7	7	7	7	6	8	8	
10	3	8	5	6	7	7	9	
11	8	6	8	4	8	1	10	
12	9	6	9	8	1	9	1	
13	10	3	4	45	1	10	2	
14	11	9	1	9	9	5	11	
15	2	10	1	45	1	7	7	
16	3	3	10	10	10	5	12	
17	2	11	45	2	7	9	6	
18	3	3	1	22	10	18	30	
19	12	12	4	45	11	5	13	
20	5	3	9	4	3	11	1	
21	1	3	2	12	1	4	4	
22	3	8	5	6	12	7	9	
23	6	15	6	4	5	7	7	
24	1	16	16	2	1	45	22	
25	20	3	4	16	1	15	1	
26	15	13	7	18	11	14	24	
27	7	7	7	6	6	8	1	
28	3	3	9	6	19	1	25	
29	11	14	4	20	1	10	6	
30	4	11	16	2	1	17	26	
31	14	1	5	19	14	10	16	
32	3	10	5	6	1	7	9	
33	7	7	7	18	6	8	1	
34	15	13	7	1	11	2	27	
35	19	1	17	4	1	10	28	
36	6	6	6	1	18	7	7	
37	1	1	1	2	1	1	1	
38	3	11	5	6	7	1	9	
39	19	17	17	2	1	10	28	
40	3	3	1	6	1	5	16	
41	3	8	5	6	1	7	9	
42	3	8	5	6	7	7	5	
43	2	10	1	45	1	10	16	
44	3	10	5	6	7	7	5	
45	3	3	9	6	20	1	25	
46	6	5	6	2	5	7	7	
47	24	8	5	6	7	7	9	
48	5	5	5	11	3	6	7	
49	13	4	11	25	13	13	6	
50	14	3	5	6	14	10	16	
51	10	14	22	14	15	10	18	
52	2	10	9	20	22	4	2	
53	5	20	3	5	3	5	5	
54	2	11	16	26	7	9	1	
55	4	10	5	15	1	7	21	
56	12	12	10	45	16	5	13	
57	25	3	15	17	1	14	11	
58	18	11	1	6	17	16	23	
59	10	3	1	45	1	10	16	
60	22	11	7	23	1	18	16	
61	18	11	20	6	17	16	3	
62	1	18	16	2	7	19	6	
63	11	7	1	24	9	5	11	
64	1	4	21	45	1	5	6	
65	4	3	5	2	1	19	26	
66	6	6	6	2	5	7	7	
67	1	19	5	1	1	1	1	
68	23	6	6	4	5	7	7	
69	9	3	1	4	1	3	2	
70	5	3	5	5	3	14	16	
71	1	19	1	1	1	1	1	
72	3	10	5	6	7	7	9	
73	3	8	5	27	7	7	9	
74	3	3	1	19	11	5	16	
75	10	3	20	45	1	10	16	
76	16	3	1	28	1	1	1	
77	2	11	23	26	7	20	6	
78	3	3	5	22	10	18	30	
79	26	16	16	2	1	45	22	
80	2	4	4	7	4	5	20	
81	9	5	9	4	1	9	1	
82	5	3	24	4	1	4	31	
83	27	3	4	16	1	15	1	
84	1	16	16	2	1	21	22	
85	1	1	1	21	1	1	1	
86	1	3	18	45	1	15	29	
87	10	3	25	45	1	10	16	
88	3	3	15	22	10	18	11	
89	10	3	16	45	1	10	16	
90	2	10	9	45	1	10	16	
91	1	10	1	13	12	12	14	
92	3	3	1	2	2	3	3	
93	3	3	5	6	7	15	9	
94	3	11	1	6	14	16	16	
95	17	11	13	26	7	9	6	
96	2	6	14	4	4	14	16	
97	22	11	5	6	1	2	5	
98	8	3	1	45	1	5	1	
99	3	11	5	6	7	5	9	
100	2	10	9	45	14	23	16	
101	12	12	4	45	11	5	34	
102	2	3	9	1	4	4	16	
103	2	3	9	45	4	4	16	
104	1	21	1	1	1	1	1	
105	8	23	8	45	1	25	36	
106	19	22	30	2	1	14	35	
107	2	10	1	2	1	10	16	
108	1	19	7	1	1	1	1	
109	8	23	8	6	1	24	36	
110	3	3	31	45	20	1	25	
111	28	16	15	2	15	25	37	
112	1	3	11	45	1	15	29	
