ST	atpA	dnaK	glyA	gyrB	infB	rlmN	tgt	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	1	1	1	2	
3	2	2	3	1	1	1	2	
4	3	3	4	2	2	2	3	
5	3	3	4	2	2	2	4	
6	4	2	5	3	1	1	5	
7	2	1	2	1	3	1	2	
8	5	3	6	2	4	3	4	
9	6	1	7	4	1	1	6	
10	7	1	2	5	2	1	7	
11	8	1	2	6	5	4	2	
12	4	1	2	1	6	1	8	
13	9	3	8	1	4	4	4	
14	9	3	9	1	4	4	4	
15	3	3	6	2	4	2	3	
16	10	4	1	7	7	1	9	
17	4	2	10	3	1	5	2	
18	10	5	1	7	7	1	9	
19	2	1	1	1	1	1	2	
20	10	2	2	1	1	6	10	
21	11	1	3	1	1	7	6	
22	12	2	2	8	8	1	2	
23	2	1	1	8	8	1	8	
24	10	6	11	1	4	4	2	
25	4	1	12	1	1	1	11	
26	13	7	13	1	9	1	2	
27	2	2	2	1	10	1	12	
28	4	1	1	1	1	1	12	
29	14	7	3	1	1	1	2	
30	14	1	1	8	1	1	2	
31	15	1	12	1	1	1	11	
32	16	8	3	4	1	1	1	
33	6	1	12	1	1	1	13	
34	14	2	1	9	1	1	2	
35	2	1	2	1	2	1	2	
36	2	1	2	1	1	1	14	
37	2	9	1	8	1	6	2	
38	17	1	2	1	11	1	2	
39	4	2	2	1	12	1	15	
40	12	2	3	1	1	1	2	
41	18	2	1	1	13	1	2	
42	19	1	2	10	8	1	2	
43	9	3	8	1	4	1	4	
44	10	4	1	7	14	1	9	
45	4	7	3	3	1	1	15	
46	4	2	2	1	15	1	16	
47	20	2	2	11	16	1	2	
48	1000	1000	1000	1000	1000	1000	1000	
49	1001	1001	1001	1001	1001	1001	1001	
50	1002	1002	1002	1000	1002	1002	1002	
51	1003	1003	1003	1002	1003	1003	1003	
52	1004	1004	1004	1003	1004	1004	1004	
53	1005	1005	1005	1004	1005	1005	1004	
54	1004	1004	1004	1003	1004	1004	1005	
55	1006	1006	1006	1005	1004	1006	1006	
56	1004	1004	1004	1003	1004	1004	1006	
57	1007	1007	1007	1006	1006	1007	1005	
58	1007	1008	1008	1007	1007	1008	1005	
59	1007	1009	1009	1008	1008	1009	1007	
60	1008	1010	1010	1009	1009	1010	1008	
61	1009	1011	1011	1010	1007	1011	1005	
62	1008	1010	1010	1009	1009	1010	1009	
63	1007	1012	1012	1011	1010	1012	1005	
64	1010	1013	1013	1012	1011	1013	1010	
65	1011	1014	1014	1013	1012	1014	1011	
66	1012	1015	1015	1014	1013	1015	1012	
67	1013	1016	1016	1015	1014	1016	1013	
68	1014	1017	1017	1016	1015	1017	1014	
69	1015	1018	1018	1017	1016	1018	1015	
70	1016	1019	1019	1018	1017	1019	1016	
71	1017	1020	1020	1019	1009	1010	1017	
72	1000	1021	1000	1000	1000	1000	1000	
73	1018	1022	1021	1020	1018	1003	1018	
74	1019	1023	1022	1021	1019	1020	1019	
75	1020	1024	1023	1022	1020	1021	1020	
76	1002	1025	1024	1023	1021	1022	1021	
77	1021	1026	1025	1024	1022	1023	1022	
78	1022	1027	1026	1025	1023	1024	1023	
79	1023	1028	1027	1026	1024	1025	1024	
80	1024	1029	1028	1027	1025	1026	1025	
81	1025	2000	1029	1028	1026	1027	1026	
82	1026	3000	1030	1029	1027	1028	1027	
