ST	TP0136	TP0548	TP0705	clonal_complex
1	1	3	1	SS14-like
2	1	1	1	SS14-like
3	1	1	8	SS14-like
4	7	1	9	SS14-like
5	2	1	2	SS14-like
6	3	2	3	Nichols-like
7	1	4	1	SS14-like
8	1	5	1	SS14-like
9	4	3	1	SS14-like
10	1	11	8	SS14-like
11	1	1	3	SS14-like
12	5	3	8	SS14-like
13	6	3	1	SS14-like
14	1	8	1	SS14-like
15	1	3	5	SS14-like
16	1	3	7	SS14-like
17	13	1	1	SS14-like
18	1	9	1	SS14-like
19	1	1	10	SS14-like
20	10	14	10	Nichols-like
21	1	13	10	SS14-like
22	11	14	10	Nichols-like
23	12	15	10	Nichols-like
24	6	1	8	SS14-like
25	1	26	1	SS14-like
26	9	7	3	Nichols-like
27	1	1	9	SS14-like
28	1	17	9	SS14-like
29	1	18	1	SS14-like
30	1	19	1	SS14-like
31	9	20	3	Nichols-like
32	14	3	1	SS14-like
33	1	1	11	SS14-like
34	1	22	12	SS14-like
35	1	23	1	SS14-like
36	1	1	13	SS14-like
37	15	7	3	Nichols-like
38	9	24	8	Nichols-like
39	9	25	3	Nichols-like
40	16	3	1	SS14-like
41	1	29	1	SS14-like
42	1	1	16	SS14-like
43	1	28	1	SS14-like
44	1	36	1	SS14-like
45	4	1	1	SS14-like
46	1	31	1	SS14-like
47	9	14	3	Nichols-like
48	17	1	1	SS14-like
49	18	1	1	SS14-like
50	1	32	1	SS14-like
51	1	38	1	SS14-like
52	1	39	1	SS14-like
53	1	40	1	SS14-like
54	1	30	1	SS14-like
55	1	41	1	SS14-like
56	19	3	1	SS14-like
57	1	43	1	SS14-like
58	1	44	1	SS14-like
59	7	45	9	SS14-like
60	9	2	3	Nichols-like
61	1	3	3	SS14-like
62	1	32	10	SS14-like
63	1	46	3	SS14-like
64	1	47	1	SS14-like
65	20	2	10	Nichols-like
66	1	37	1	SS14-like
67	1	48	10	SS14-like
68	21	1	1	SS14-like
69	1	49	3	SS14-like
70	1	50	1	SS14-like
71	1	51	1	SS14-like
72	22	3	1	SS14-like
73	1	52	1	SS14-like
74	1	54	8	SS14-like
75	1	55	1	SS14-like
76	9	7	8	Nichols-like
77	1	56	8	SS14-like
78	1	57	8	SS14-like
79	6	26	1	
80	1	60	8	
81	27	3	1	
82	1	1	17	
83	1	59	8	
84	26	1	8	
85	25	1	8	
86	1	65	1	
87	1	66	1	
88	30	3	1	
89	1	64	1	
90	29	7	3	
91	1	67	1	
92	35	70	1	
93	1	78	1	
94	6	70	1	
95	1	1	19	
96	1	1	18	
97	1	71	1	
98	1	74	8	
99	1	76	1	
100	1	70	1	
101	1	79	1	
102	1	32	8	
103	1	32	9	
104	34	1	3	
105	32	3	1	
106	39	70	1	
107	40	70	1	
108	19	70	1	
109	9	16	3	
110	9	3	1	
111	9	3	3	
112	23	7	3	
113	31	7	3	
114	1	73	9	
115	1	3	21	
116	1	77	1	
117	1	48	3	
