ST	adk	gyrB	leuA	metG	recA	tpi	tuf
1	1	1	1	1	1	1	1
2	2	2	2	1	2	2	2
3	1	3	3	2	3	3	1
4	3	4	4	2	4	3	1
5	4	5	5	1	5	4	1
6	5	6	6	2	3	5	1
7	1	4	6	3	6	6	1
8	1	5	6	4	3	4	1
9	4	3	3	2	3	3	1
10	6	5	3	5	4	7	3
11	1	7	7	4	3	8	1
12	7	4	6	6	7	9	1
13	4	5	5	2	5	4	1
14	2	2	8	1	7	1	2
15	2	8	9	7	8	10	4
16	8	9	10	1	5	11	5
17	9	10	11	8	9	12	6
18	2	11	10	9	10	13	4
19	2	12	9	9	11	13	7
20	10	11	12	10	9	12	4
21	11	13	13	11	9	14	7
22	12	12	14	12	9	15	1
23	13	14	6	13	12	16	5
24	6	4	6	14	2	17	1
25	14	15	1	15	2	7	1
26	10	12	9	12	9	10	8
27	6	5	15	16	7	18	9
28	15	16	6	17	7	16	1
29	4	17	5	1	5	19	1
30	16	12	14	18	13	11	1
31	6	4	6	19	7	3	1
32	6	5	16	20	14	20	9
33	17	11	10	21	15	13	1
34	18	18	6	22	14	8	1
35	19	19	17	23	2	21	1
36	20	7	8	1	7	16	2
37	21	7	2	1	2	16	2
38	10	12	9	24	9	22	8
39	22	20	18	9	10	23	10
40	23	21	19	10	16	24	1
41	24	22	9	10	9	25	11
42	25	21	20	25	17	12	1
43	1	23	21	26	7	26	12
44	4	3	5	1	5	4	1
45	26	3	10	27	5	27	1
46	27	24	6	20	14	13	1
47	28	25	4	28	14	3	12
48	26	4	4	2	1	3	1
49	6	5	2	22	7	29	1
50	6	5	23	22	3	29	3
51	40	4	25	32	1	8	1
52	41	38	25	32	1	8	1
53	42	4	4	15	1	37	1
54	38	6	6	2	3	5	1
55	18	6	6	2	14	5	2
56	14	6	24	34	7	8	1
57	39	38	1	35	3	28	1
58	13	14	28	13	5	16	1
59	2	14	6	13	5	16	5
60	13	14	10	13	5	16	5
61	13	14	6	13	5	16	5
62	13	5	3	1	26	16	5
63	13	39	29	1	12	16	5
64	2	2	2	1	7	37	2
65	2	40	22	1	7	37	2
66	31	9	34	39	20	30	4
67	31	27	34	37	20	12	13
68	22	31	19	40	18	24	7
69	35	8	33	18	22	25	4
70	35	35	33	18	22	25	4
71	34	31	19	36	9	12	4
72	22	32	33	36	24	25	1
73	36	34	9	24	16	23	1
74	24	11	9	30	16	25	1
75	22	37	32	7	16	33	10
76	22	37	35	31	21	33	10
77	9	37	31	31	21	33	10
78	29	29	9	25	13	33	4
79	24	28	30	25	18	24	1
80	33	33	10	9	15	36	1
81	9	33	12	9	9	13	14
82	9	11	12	8	18	12	14
83	32	11	31	10	9	12	4
84	2	11	25	33	9	13	1
85	12	36	26	38	25	35	1
86	30	12	9	12	19	31	13
87	37	30	9	29	23	34	4
88	2	12	9	18	9	12	14
89	12	26	14	12	9	15	1
90	24	12	27	10	9	25	4
91	9	4	32	31	9	32	4
