ST	TRYP	GLUT	FT2A	ALTS	DMRP	SHMT	M6PI	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	1	1	2	2	1	
3	1	1	1	1	3	1	2	
4	1	1	1	2	2	1	1	
5	1	1	1	2	2	1	4	
6	1	1	1	2	4	2	2	
7	1	1	1	2	5	1	2	
8	1	1	1	2	5	2	1	
9	1	1	1	2	6	2	2	
10	1	1	1	2	8	1	1	
11	1	1	1	4	1	2	2	
12	1	1	1	7	3	2	2	
13	1	1	1	7	7	2	2	
14	1	1	1	8	2	1	1	
15	1	1	1	9	5	1	2	
16	1	1	1	11	2	1	2	
17	1	1	1	11	7	1	1	
18	1	1	1	12	6	1	2	
19	1	1	1	17	12	1	1	
20	1	1	6	4	5	1	2	
21	1	2	6	4	5	1	2	
22	1	3	1	1	9	2	1	
23	1	3	1	4	5	1	2	
24	1	3	1	4	6	1	2	
25	1	3	1	4	6	2	2	
26	1	3	1	13	5	1	1	
27	1	3	1	15	5	1	1	
28	1	3	3	4	10	1	2	
29	1	3	4	5	5	1	1	
30	1	3	5	6	6	2	2	
31	1	3	6	2	5	2	3	
32	1	3	6	4	5	1	2	
33	1	3	6	4	5	2	1	
34	1	3	6	4	6	1	2	
35	1	3	6	6	4	1	2	
36	1	3	6	6	6	1	2	
37	1	3	6	6	6	2	2	
38	1	4	1	4	5	1	2	
39	1	4	1	13	4	1	2	
40	1	4	6	7	11	1	1	
41	1	5	1	4	2	1	2	
42	2	1	1	1	4	1	2	
43	2	1	1	2	2	1	2	
44	2	1	1	3	1	1	2	
45	2	1	1	9	6	1	2	
46	2	1	1	9	8	1	2	
47	2	1	1	11	6	1	2	
48	2	1	1	13	5	1	1	
49	2	1	1	14	2	1	1	
50	2	1	1	16	4	1	2	
51	2	1	2	2	2	1	4	
52	2	3	1	10	10	1	1	
53	2	3	6	4	5	1	2	
54	3	1	1	12	5	1	2	
55	4	4	1	4	5	1	2	
56	5	1	1	2	8	1	2	
57	5	1	6	4	5	2	2	
58	5	3	6	4	5	1	2	
59	5	3	6	4	6	1	2	
60	5	4	6	4	5	1	2	
