ST	ftsH	rpL22	thrS	valS	clonal_complex
1	1	1	1	1	
2	2	1	1	1	
3	1	1	2	1	
4	2	2	1	1	
5	3	3	3	2	
6	4	3	4	3	
7	5	3	5	4	
8	5	4	5	4	
9	4	3	4	4	
10	6	3	4	5	
11	5	3	6	4	
12	7	3	4	4	
13	1	1	8	1	
14	1	1	9	1	
15	1	1	12	1	
16	1	1	13	1	
17	1	1	16	1	
18	1	1	1	6	
19	1	1	1	9	
20	1	1	1	10	
21	1	1	1	14	
22	1	2	1	1	
23	1	2	12	1	
24	1	2	1	6	
25	1	2	1	8	
26	1	2	1	12	
27	1	2	1	15	
28	1	2	1	17	
29	1	3	4	4	
30	1	3	5	4	
31	1	3	11	4	
32	1	3	11	13	
33	1	3	11	16	
34	1	5	1	1	
35	1	6	1	1	
36	1	7	1	1	
37	1	10	1	6	
38	2	1	2	1	
39	2	1	7	1	
40	2	1	8	1	
41	2	3	4	4	
42	4	1	1	9	
43	4	2	1	1	
44	4	3	4	19	
45	5	1	2	1	
46	5	2	1	1	
47	5	3	4	4	
48	5	3	11	4	
49	6	1	1	1	
50	6	2	1	1	
51	6	2	1	18	
52	6	3	4	4	
53	6	3	5	4	
54	6	3	11	4	
55	6	8	1	1	
56	8	1	1	1	
57	8	1	8	1	
58	9	1	1	1	
59	10	1	1	1	
60	10	2	1	1	
61	10	3	10	7	
62	11	1	8	4	
63	11	2	1	1	
64	11	3	11	4	
65	12	1	1	1	
66	13	1	2	1	
67	13	1	1	9	
68	14	1	1	1	
69	15	1	1	1	
70	15	1	2	1	
71	15	2	1	1	
72	16	2	1	1	
73	17	2	1	1	
74	18	1	1	1	
75	19	1	8	11	
76	20	1	1	1	
77	21	2	1	1	
78	22	3	4	4	
79	23	1	1	1	
80	23	1	8	1	
81	23	2	1	1	
82	24	1	14	1	
83	25	1	1	1	
84	26	1	1	1	
85	27	1	1	1	
86	28	1	1	1	
87	29	1	1	1	
88	29	2	1	1	
89	30	8	8	1	
90	31	1	15	1	
91	31	2	1	1	
92	32	1	1	1	
93	33	1	1	1	
94	34	1	1	1	
95	35	1	1	1	
96	36	9	17	20	
97	37	2	1	1	
98	38	1	1	21	
99	39	8	1	1	
100	40	11	4	4	
101	4	16	4	2	
102	6	2	11	2	
103	1	12	1	1	
104	3	3	4	2	
105	2	2	2	1	
106	2	13	1	1	
107	2	1	1	9	
108	2	1	1	22	
109	1	1	1	23	
110	2	14	1	1	
111	20	2	1	1	
112	42	3	18	4	
113	4	11	4	4	
114	1	1	21	1	
115	1	17	1	1	
116	2	1	19	1	
117	2	1	23	1	
118	2	1	4	25	
119	4	3	11	4	
120	4	3	1	4	
121	4	16	11	2	
122	6	3	20	4	
123	6	3	11	26	
124	43	3	4	4	
125	44	3	22	4	
126	45	3	11	4	
127	46	2	1	1	
128	42	3	4	4	
129	58	3	11	4	
130	47	15	1	1	
131	48	3	4	4	
132	49	3	4	4	
133	50	3	11	4	
134	1	1	1	27	
135	1	21	1	1	
136	2	1	15	1	
137	2	1	25	1	
138	2	1	26	1	
139	4	1	1	1	
140	4	19	4	4	
141	6	20	4	4	
142	9	18	1	1	
143	35	1	24	1	
144	42	3	18	2	
145	52	2	1	1	
146	53	1	1	1	
147	54	1	1	1	
148	55	3	11	4	
149	60	3	30	4	
150	1	23	1	1	
151	4	3	1	1	
152	8	22	1	1	
153	9	1	1	28	
154	2	3	2	1	
155	6	3	11	2	
156	6	3	27	2	
157	13	2	1	9	
158	2	3	8	1	
159	56	1	1	1	
160	1	18	1	1	
161	4	1	4	4	
162	1	1	28	1	
163	2	1	29	1	
164	57	1	2	1	
165	42	1	4	4	
166	2	24	1	1	
167	1	25	1	29	
168	2	26	1	1	
169	61	3	4	4	
170	62	4	5	4	
171	2	1	1	8	
172	4	3	5	4	
173	1	1	32	1	
174	2	1	31	1	
175	2	27	1	1	
176	63	1	1	1	
177	1	1	2	31	
178	2	28	33	1	
179	2	29	1	9	
180	2	1	34	1	
181	6	3	35	4	
182	61	3	5	4	
183	64	1	1	1	
