ST	asd	dnaE	gmd	gyrB2	lap	pgm	recA
2	2	9	2	15	2	2	2	
3	2	9	2	9	2	2	4	
4	2	9	2	10	2	30	2	
5	2	9	2	11	2	30	4	
6	2	9	2	2	2	2	2	
7	2	9	2	17	2	6	4	
8	2	9	2	18	2	9	2	
9	2	9	2	19	2	12	4	
10	2	2	2	20	2	14	2	
11	2	9	2	29	2	15	4	
12	2	2	2	29	2	16	2	
13	2	9	2	23	2	17	4	
14	2	9	2	24	2	2	2	
15	2	9	2	29	2	2	4	
16	2	9	2	26	2	2	2	
17	2	9	2	27	2	2	4	
18	33	9	59	2	16	69	35	
19	33	9	37	2	15	70	36	
20	33	9	138	2	15	11	2	
21	33	9	138	2	15	19	4	
22	33	9	43	2	20	82	19	
23	33	9	59	2	21	2	35	
24	33	9	37	2	22	69	36	
25	33	9	138	2	26	70	2	
26	33	9	138	2	28	19	19	
27	33	9	138	2	27	11	4	
28	33	9	2	2	29	82	2	
29	33	9	2	2	30	19	2	
30	33	9	2	2	20	2	2	
31	33	9	2	2	21	2	2	
32	2	9	77	2	2	2	2	
33	2	9	2	2	2	2	4	
34	2	9	2	2	2	2	41	
35	2	9	2	2	29	2	2	
36	2	9	2	2	30	2	4	
37	2	9	2	2	31	2	41	
38	2	9	2	32	32	2	2	
39	2	9	2	2	32	2	2	
40	2	9	77	2	2	2	27	
41	2	9	2	3	2	69	36	
42	2	9	2	29	2	11	2	
43	2	9	2	24	2	19	4	
44	2	9	59	2	15	2	2	
45	2	9	61	2	15	2	4	
46	2	9	70	2	20	2	2	
47	2	9	77	2	21	2	2	
48	2	9	78	2	2	2	2	
49	2	9	79	2	2	2	2	
50	2	9	80	2	2	2	2	
51	2	9	81	2	2	2	2	
52	2	9	83	2	2	2	2	
53	2	9	25	2	2	2	2	
54	2	9	26	2	2	2	2	
55	2	9	27	2	2	2	2	
56	2	10	2	2	2	2	2	
57	2	11	2	2	2	2	2	
58	2	12	2	2	2	2	2	
59	2	9	58	2	16	69	2	
60	2	10	77	2	2	11	4	
61	2	11	58	2	2	19	19	
62	2	12	77	2	21	98	2	
63	2	9	58	2	15	2	2	
64	2	10	73	2	20	10	4	
65	2	11	77	2	20	19	19	
66	2	12	58	2	21	26	9	
67	2	9	73	2	15	90	2	
68	2	2	77	2	15	2	4	
69	2	10	59	2	20	10	19	
70	2	11	73	2	21	19	9	
71	2	12	77	2	2	26	2	
72	2	9	2	2	2	90	2	
73	2	10	11	2	2	2	4	
74	2	11	12	2	3	2	4	
75	2	12	14	2	5	2	2	
76	2	10	16	2	3	2	2	
77	2	11	17	2	5	2	4	
78	2	12	18	2	2	2	2	
79	2	9	19	2	3	2	4	
80	2	10	20	2	5	2	2	
81	2	11	21	2	2	2	4	
82	2	12	22	2	3	2	2	
83	2	9	23	2	5	2	4	
84	2	10	24	2	2	2	2	
85	2	11	25	2	3	2	4	
86	2	12	26	2	5	2	2	
87	2	9	27	2	2	2	4	
88	2	10	28	2	3	2	2	
89	2	11	29	2	5	2	4	
90	2	12	30	2	2	2	2	
91	2	9	31	2	3	2	4	
92	2	10	32	2	5	2	2	
93	2	11	33	2	2	2	4	
94	2	12	32	2	3	2	2	
95	2	9	35	2	5	2	4	
96	8	10	2	2	2	19	2	
97	28	11	2	15	2	19	4	
98	55	12	2	3	2	19	2	
99	28	9	2	9	2	19	4	
100	8	10	2	9	2	19	2	
101	28	11	2	2	2	19	4	
102	55	12	2	2	2	19	2	
103	28	9	2	17	2	19	4	
104	8	10	2	17	2	19	2	
105	28	11	2	18	2	19	4	
106	55	12	2	33	2	19	2	
107	28	9	2	34	2	19	4	
108	8	10	2	35	2	19	2	
109	28	11	2	36	2	19	4	
110	55	12	2	23	2	19	2	
111	28	9	2	24	2	19	4	
112	8	10	2	29	2	19	2	
113	28	11	2	26	2	19	4	
114	55	2	31	27	2	19	2	
115	28	9	2	40	2	19	4	
116	2	10	2	42	2	19	2	
117	2	11	3	2	5	2	2	
118	2	12	3	2	2	2	4	
119	2	9	3	2	38	2	2	
120	2	2	3	2	39	2	4	
121	2	2	3	2	39	2	2	
122	2	2	2	2	2	11	2	
123	2	2	2	2	3	19	4	
124	2	2	2	2	39	19	2	
125	2	10	2	2	5	11	4	
126	2	11	2	2	2	2	4	
127	55	12	2	2	2	2	2	
128	6	9	2	2	2	2	4	
129	7	5	2	2	2	2	2	
130	2	5	2	2	2	2	2	
131	55	5	2	2	2	2	4	
132	6	5	2	2	2	2	2	
133	2	5	2	66	3	2	4	
134	2	5	2	7	2	2	2	
135	2	5	89	2	2	2	2	
136	2	5	127	2	3	2	4	
137	2	5	61	2	2	2	2	
138	2	5	70	2	3	2	4	
139	2	5	9	2	2	2	2	
140	2	5	131	2	3	2	4	
141	2	15	132	2	3	2	4	
142	2	5	81	2	2	2	2	
143	48	5	2	2	22	7	36	
144	49	5	2	2	26	2	2	
145	50	5	2	54	29	23	4	
146	51	2	2	55	15	77	19	
147	52	3	2	55	32	98	38	
148	53	4	2	43	31	28	2	
149	54	2	2	56	20	29	36	
150	55	3	2	57	22	2	2	
151	60	4	2	47	26	7	4	
152	48	2	2	12	29	2	19	
153	49	3	2	59	30	23	9	
154	50	4	2	60	32	77	36	
155	51	2	2	61	31	98	2	
156	52	3	2	62	20	28	4	
157	53	4	2	63	2	29	19	
158	24	2	2	64	2	2	9	
159	55	3	2	65	2	2	2	
160	33	4	2	2	2	2	2	
161	33	2	2	66	2	2	4	
162	2	3	2	7	2	2	2	
163	33	3	2	7	2	2	2	
164	33	4	2	2	2	2	4	
165	33	2	2	2	2	2	2	
166	33	3	2	2	2	2	4	
167	26	4	22	2	2	2	2	
168	26	3	22	2	2	108	2	
169	26	4	22	2	2	98	4	
170	26	2	22	2	2	104	2	
171	26	4	22	2	2	90	2	
172	26	4	22	2	2	2	4	
173	26	3	22	2	2	2	2	
174	26	4	22	2	2	49	4	
175	26	2	22	2	2	108	2	
176	26	3	22	2	2	106	4	
177	26	4	22	2	2	25	2	
178	26	6	22	2	2	110	2	
179	26	42	22	2	2	2	4	
180	26	51	22	2	2	2	2	
181	26	6	22	2	2	111	4	
182	2	42	2	2	39	2	2	
183	2	51	3	2	15	2	4	
184	2	6	2	2	39	2	2	
185	2	42	11	2	15	2	4	
186	2	51	12	2	39	2	2	
187	2	2	73	2	15	2	4	
188	55	3	2	2	2	2	36	
189	55	4	86	2	2	2	2	
190	55	2	54	2	2	2	4	
191	55	3	88	2	2	2	19	
192	55	4	2	2	2	2	36	
193	55	2	86	2	2	2	2	
194	55	3	54	2	2	2	4	
195	55	4	88	2	2	2	19	
196	55	2	2	2	2	2	2	
197	2	2	86	2	2	7	2	
198	2	3	86	2	2	2	4	
199	2	4	89	2	2	2	26	
200	2	2	92	2	2	7	2	
201	2	2	21	2	2	7	4	
202	2	2	92	2	2	7	41	
203	2	2	71	2	2	7	2	
204	2	2	95	2	2	7	4	
205	2	5	96	2	2	7	41	
206	2	5	96	2	2	7	2	
207	2	2	2	2	2	2	2	
208	2	39	2	2	2	2	2	
209	2	40	2	2	2	2	2	
210	2	41	2	2	2	2	2	
211	2	42	2	2	2	2	2	
212	2	43	2	2	2	2	2	
213	2	44	2	2	2	2	2	
214	2	45	2	2	2	68	2	
215	2	46	2	53	2	7	4	
216	2	47	2	67	2	98	2	
217	2	46	2	18	2	104	4	
218	2	50	2	55	2	90	4	
219	2	39	2	43	2	2	2	
220	2	49	2	102	2	23	2	
221	2	40	2	2	2	68	4	
222	2	41	2	45	2	7	2	
223	2	42	2	56	2	98	4	
224	2	43	2	57	2	104	2	
225	2	43	2	47	2	31	4	
226	2	44	2	104	2	90	2	
227	2	45	2	105	2	2	4	
228	2	46	2	106	2	68	2	
229	2	47	2	107	2	7	4	
230	2	46	2	108	2	98	2	
231	2	49	2	109	2	104	4	
232	2	2	2	111	2	90	4	
233	2	2	2	110	2	31	2	
234	2	2	2	112	2	2	2	
235	2	4	2	113	2	68	4	
236	2	14	2	76	2	7	2	
237	2	16	2	77	2	98	4	
238	2	33	2	85	2	104	2	
239	2	35	2	64	2	31	4	
240	2	38	2	35	2	90	2	
241	2	14	2	81	2	68	2	
242	2	4	2	80	2	2	4	
243	2	16	2	119	2	7	4	
244	2	4	2	120	2	98	2	
245	2	14	2	1	2	104	4	
246	2	16	2	129	2	2	2	
247	2	33	2	123	2	90	4	
248	2	35	2	124	2	2	2	
249	2	36	2	129	2	98	4	
250	2	35	2	126	2	7	2	
251	2	4	2	127	2	98	4	
252	2	14	2	128	2	104	2	
253	2	16	2	129	2	31	4	
254	2	33	2	130	2	90	2	
255	2	35	2	131	2	2	4	
256	2	36	2	2	3	2	2	
257	2	35	2	2	3	2	38	
258	2	35	2	2	3	2	19	
259	2	36	2	2	3	2	4	
260	2	35	2	2	8	26	36	
261	2	4	2	2	2	98	2	
262	2	4	2	2	8	82	4	
263	2	14	2	2	8	18	27	
264	2	15	2	2	2	64	38	
265	2	16	2	2	8	63	19	
266	2	15	2	2	8	64	9	
267	2	17	2	2	2	2	4	
268	2	4	138	2	2	94	9	
269	2	14	132	2	2	7	2	
270	2	15	2	2	2	11	4	
