ST	asd	dnaE	lap	pgm	recA
1	1	1	1	1	1
2	2	9	2	2	2
3	2	9	2	2	4
4	2	9	2	30	2
5	2	9	2	30	4
6	2	9	2	6	4
7	2	9	2	9	2
8	2	9	2	12	4
9	2	2	2	14	2
10	2	9	2	15	4
11	2	2	2	16	2
12	2	9	2	17	4
13	33	9	16	69	35
14	33	9	15	70	36
15	33	9	15	11	2
16	33	9	15	19	4
17	33	9	20	82	19
18	33	9	21	2	35
19	33	9	22	69	36
20	33	9	26	70	2
21	33	9	28	19	19
22	33	9	27	11	4
23	33	9	29	82	2
24	33	9	30	19	2
25	33	9	20	2	2
26	33	9	21	2	2
27	2	9	2	2	41
28	2	9	29	2	2
29	2	9	30	2	4
30	2	9	31	2	41
31	2	9	32	2	2
32	2	9	2	2	27
33	2	9	2	69	36
34	2	9	2	11	2
35	2	9	2	19	4
36	2	9	15	2	2
37	2	9	15	2	4
38	2	9	20	2	2
39	2	9	21	2	2
40	2	10	2	2	2
41	2	11	2	2	2
42	2	12	2	2	2
43	2	9	16	69	2
44	2	10	2	11	4
45	2	11	2	19	19
46	2	12	21	98	2
47	2	10	20	10	4
48	2	11	20	19	19
49	2	12	21	26	9
50	2	9	15	90	2
51	2	10	20	10	19
52	2	11	21	19	9
53	2	12	2	26	2
54	2	9	2	90	2
55	2	10	2	2	4
56	2	11	3	2	4
57	2	12	5	2	2
58	2	10	3	2	2
59	2	11	5	2	4
60	2	9	3	2	4
61	2	10	5	2	2
62	2	11	2	2	4
63	2	12	3	2	2
64	2	9	5	2	4
65	8	10	2	19	2
66	28	11	2	19	4
67	55	12	2	19	2
68	28	9	2	19	4
69	2	10	2	19	2
70	2	11	5	2	2
71	2	12	2	2	4
72	2	9	38	2	2
73	2	2	39	2	4
74	2	2	39	2	2
75	2	2	2	11	2
76	2	2	3	19	4
77	2	2	39	19	2
78	2	10	5	11	4
79	55	12	2	2	2
80	6	9	2	2	4
81	7	5	2	2	2
82	2	5	2	2	2
83	55	5	2	2	4
84	6	5	2	2	2
85	2	5	3	2	4
86	2	15	3	2	4
87	48	5	22	7	36
88	49	5	26	2	2
89	50	5	29	23	4
90	51	2	15	77	19
91	52	3	32	98	38
92	53	4	31	28	2
93	54	2	20	29	36
94	55	3	22	2	2
95	60	4	26	7	4
96	48	2	29	2	19
97	49	3	30	23	9
98	50	4	32	77	36
99	51	2	31	98	2
100	52	3	20	28	4
101	53	4	2	29	19
102	24	2	2	2	9
103	55	3	2	2	2
104	33	4	2	2	2
105	33	2	2	2	4
106	2	3	2	2	2
107	33	3	2	2	2
108	33	4	2	2	4
109	33	2	2	2	2
110	33	3	2	2	4
111	26	4	2	2	2
112	26	3	2	108	2
113	26	4	2	98	4
114	26	2	2	104	2
115	26	4	2	90	2
116	26	4	2	2	4
117	26	3	2	2	2
118	26	4	2	49	4
119	26	2	2	108	2
120	26	3	2	106	4
121	26	4	2	25	2
122	26	6	2	110	2
123	26	42	2	2	4
124	26	51	2	2	2
125	26	6	2	111	4
126	2	42	39	2	2
127	2	51	15	2	4
128	2	6	39	2	2
129	2	42	15	2	4
130	2	51	39	2	2
131	2	2	15	2	4
132	55	3	2	2	36
133	55	4	2	2	2
134	55	2	2	2	4
135	55	3	2	2	19
136	55	4	2	2	36
137	55	2	2	2	2
138	55	3	2	2	4
139	55	4	2	2	19
140	2	2	2	7	2
141	2	3	2	2	4
142	2	4	2	2	26
143	2	2	2	7	4
144	2	2	2	7	41
145	2	5	2	7	41
146	2	5	2	7	2
147	2	2	2	2	2
148	2	39	2	2	2
149	2	40	2	2	2
150	2	41	2	2	2
151	2	42	2	2	2
152	2	43	2	2	2
153	2	44	2	2	2
154	2	45	2	68	2
155	2	46	2	7	4
156	2	47	2	98	2
157	2	46	2	104	4
158	2	50	2	90	4
159	2	49	2	23	2
160	2	40	2	68	4
161	2	41	2	7	2
162	2	42	2	98	4
163	2	43	2	104	2
164	2	43	2	31	4
165	2	44	2	90	2
166	2	45	2	2	4
167	2	46	2	68	2
168	2	47	2	7	4
169	2	46	2	98	2
170	2	49	2	104	4
171	2	2	2	90	4
172	2	2	2	31	2
173	2	4	2	68	4
174	2	14	2	7	2
175	2	16	2	98	4
176	2	33	2	104	2
177	2	35	2	31	4
178	2	38	2	90	2
179	2	14	2	68	2
180	2	4	2	2	4
181	2	16	2	7	4
182	2	4	2	98	2
183	2	14	2	104	4
184	2	16	2	2	2
185	2	33	2	90	4
186	2	35	2	2	2
187	2	36	2	98	4
188	2	35	2	7	2
189	2	4	2	98	4
190	2	14	2	104	2
191	2	16	2	31	4
192	2	33	2	90	2
193	2	35	2	2	4
194	2	36	3	2	2
195	2	35	3	2	38
196	2	35	3	2	19
197	2	36	3	2	4
198	2	35	8	26	36
199	2	4	8	82	4
200	2	14	8	18	27
201	2	15	2	64	38
202	2	16	8	63	19
203	2	15	8	64	9
204	2	17	2	2	4
205	2	4	2	94	9
206	2	15	2	11	4
207	2	16	2	30	9
208	2	15	2	2	2
209	2	17	2	2	36
210	2	4	2	2	2
211	2	14	2	2	4
212	2	22	2	2	35
213	2	35	2	2	9
214	40	24	2	2	35
215	55	25	2	2	2
216	9	4	2	2	4
217	10	14	2	2	9
218	11	22	2	2	35
219	13	35	2	2	2
220	13	24	2	2	4
221	14	25	2	2	35
222	15	42	2	2	35
223	16	51	2	2	2
224	17	53	2	2	4
225	18	54	2	2	19
226	19	54	2	2	35
227	20	54	2	2	2
228	21	54	2	2	4
229	22	54	2	2	19
230	23	54	2	2	35
231	24	54	2	2	2
232	2	42	2	2	4
233	2	51	2	2	19
234	2	53	2	2	35
235	2	54	2	2	2
236	2	54	2	2	4
237	2	54	2	2	19
238	2	54	2	2	35
239	2	1	16	8	4
240	2	42	16	8	4
241	2	51	2	10	19
242	2	53	3	11	38
243	2	54	39	19	2
244	2	54	15	7	4
245	2	54	2	8	19
246	2	54	16	10	38
247	2	54	2	11	2
248	2	54	3	19	4
249	2	54	39	7	19
250	2	42	15	8	38
251	2	51	2	10	2
252	2	53	16	11	4
253	2	54	2	19	19
254	2	54	3	2	38
255	2	54	39	2	2
256	2	54	15	2	2
257	2	54	16	2	19
258	2	42	3	2	4
259	2	51	15	2	19
260	2	53	2	2	2
261	40	54	16	2	19
262	2	54	3	2	4
263	2	54	15	2	19
264	2	42	16	2	19
265	2	51	2	2	2
266	2	53	3	2	4
267	2	54	2	20	36
268	2	54	2	98	35
269	2	54	2	104	27
270	2	54	2	2	38
271	2	2	2	2	19
272	2	6	2	2	9
273	2	6	2	2	2
274	2	2	5	19	2
275	2	6	29	2	4
276	2	42	15	2	19
277	2	51	15	2	2
278	2	6	20	2	2
279	31	42	16	2	2
280	8	51	2	2	4
281	32	6	3	2	19
282	33	42	2	2	2
283	55	51	2	2	4
284	34	6	2	2	19
285	30	51	2	2	4
286	36	6	16	2	19
287	38	51	3	2	4
288	39	2	2	2	19
289	40	2	2	2	2
290	41	2	2	2	4
291	42	2	2	2	19
292	44	2	2	2	2
293	45	2	2	2	4
294	46	2	2	2	19
295	47	2	2	2	2
296	2	2	2	2	4
297	2	2	2	20	2
298	2	2	2	112	4
299	2	2	2	68	2
300	2	2	2	112	2
301	2	2	2	104	4
302	2	2	2	30	2
303	2	6	2	52	4
304	2	7	2	2	2
305	2	6	2	109	4
306	2	7	2	1	13
307	2	6	2	110	4
308	2	7	2	112	2
309	2	6	2	112	2
310	2	7	2	8	36
311	2	6	2	77	2
312	2	7	2	74	4
313	2	6	3	75	19
314	2	7	9	76	10
315	2	6	2	78	35
316	2	7	2	79	2
317	2	6	3	80	4
318	2	7	2	81	19
319	2	6	22	82	10
320	2	7	2	83	35
321	2	6	3	77	1
322	2	7	9	78	4
323	2	6	1	79	19
324	2	7	2	80	10
325	2	2	3	81	35
326	2	2	9	82	1
327	2	2	1	83	4
328	2	2	2	84	19
329	2	2	3	84	10
330	2	2	9	83	35
331	2	2	1	84	1
332	2	2	2	1	4
333	2	2	3	85	19
334	2	2	9	86	10
335	2	2	1	87	19
336	2	2	2	88	1
337	2	2	3	89	4
338	2	2	9	90	19
339	2	2	1	91	10
340	2	2	2	92	35
341	2	2	3	93	2
342	2	2	9	94	4
343	2	2	2	95	19
344	2	2	2	96	10
345	2	2	3	97	2
346	2	2	1	98	2
347	2	2	3	2	4
348	2	2	2	2	1
349	2	2	3	2	1
350	2	2	3	2	2
351	2	6	3	2	4
352	33	6	2	2	2
353	33	6	3	2	4
354	33	6	3	2	1
355	33	2	3	2	2
356	33	6	3	2	2
357	33	6	2	2	4
358	2	6	2	20	2
359	2	6	2	112	4
360	2	6	2	98	4
361	2	6	2	104	4
362	2	4	2	30	2
363	2	36	2	31	4
364	2	36	2	2	2
365	2	35	2	52	4
366	2	4	2	19	2
367	2	36	2	106	4
368	2	35	2	110	4
369	2	4	2	112	2
370	2	36	2	111	4
371	2	35	2	112	2
372	2	36	2	2	4
373	2	35	2	98	2
374	2	4	2	104	4
375	2	6	2	52	2
376	2	6	2	19	4
377	2	6	2	106	2
378	2	6	2	2	4
379	2	2	2	98	4
380	2	2	2	104	2
381	2	2	2	52	4
382	2	2	30	2	2
383	2	2	29	2	4
384	2	2	15	2	2
385	2	2	31	2	4
386	2	2	31	2	2
387	2	2	20	2	4
388	2	2	21	2	2
389	2	2	30	2	4
390	2	2	29	2	2
391	2	2	20	2	2
392	2	2	21	2	4
393	2	6	2	70	2
394	2	6	2	71	4
395	2	2	2	25	2
396	2	2	2	82	4
397	2	2	2	19	2
398	2	2	2	19	4
399	2	2	2	11	41
400	2	2	2	19	9
401	2	2	2	7	35
402	2	2	2	69	4
403	2	2	2	70	19
404	2	2	2	10	35
405	2	2	2	71	2
406	2	2	2	11	4
407	2	2	2	19	19
408	2	2	2	98	2
409	2	2	2	90	2
410	2	2	38	2	2
411	2	2	39	94	4
412	2	2	16	2	36
413	2	2	15	2	35
414	2	2	15	2	19
415	2	2	16	2	2
416	2	2	15	2	9
417	2	2	9	2	2
418	2	2	2	2	9
419	2	2	21	2	9
420	2	2	78	2	2
421	2	2	5	2	2
422	2	2	2	2	36
