ST	gyrB	pyrH	recA	atpA	species
1	1	1	1	1	
2	2	2	2	2	
3	3	3	3	3	
4	4	4	4	4	
5	5	5	5	5	
6	6	4	6	6	
7	7	6	7	7	
8	8	7	8	8	
9	9	8	9	9	
10	10	9	10	10	
11	11	10	11	11	
12	4	11	4	12	
13	12	12	4	12	
14	13	13	12	4	
15	14	14	13	13	
16	15	15	14	14	
17	16	16	15	15	
18	17	17	16	16	
19	15	15	17	14	
20	18	17	18	16	Vibrio alginolyticus
21	19	18	19	17	
22	20	19	20	17	
23	21	19	21	17	
24	22	20	22	16	
25	23	15	19	18	
26	24	21	23	19	
27	25	19	17	17	
28	26	22	24	20	
29	27	23	25	21	
30	28	24	26	22	
31	29	25	19	23	
32	30	25	27	23	
33	28	24	28	24	
34	28	24	29	24	
35	31	26	26	24	
36	32	27	30	25	
37	33	28	31	26	
38	34	29	32	27	
39	35	27	33	28	
40	36	30	34	3	
41	37	31	35	29	
42	3	4	36	3	
43	38	11	37	30	
44	39	32	38	31	
45	40	33	32	32	
46	41	34	32	28	
47	42	20	39	33	
48	43	22	40	34	
49	44	35	41	35	
50	45	36	42	36	
51	28	24	26	24	
52	17	19	43	37	
53	45	37	44	19	
54	12	4	45	4	
55	46	38	33	28	
56	47	39	46	38	
57	30	19	47	23	
58	48	40	48	39	
59	49	15	49	40	
60	50	41	50	41	
61	51	21	51	39	
62	52	36	52	19	
63	53	19	47	18	
64	54	36	53	42	
65	55	42	54	43	
66	56	19	55	44	
67	57	27	56	28	
68	58	43	57	45	
69	59	44	29	46	
70	60	19	58	47	
71	61	45	59	16	
72	7	46	7	7	
73	62	8	9	9	
74	15	47	60	48	
75	63	48	44	36	
76	64	49	59	16	
77	65	15	61	18	
78	66	21	62	36	
79	67	50	44	49	
80	68	51	63	50	
81	69	49	64	51	
82	70	15	61	17	
83	54	36	65	42	
84	71	15	66	52	
85	7	52	67	7	
86	72	53	68	45	
87	17	17	22	16	
88	73	54	69	53	
89	74	17	70	16	
90	75	55	71	19	
91	76	56	72	54	
92	77	57	35	45	
93	78	20	22	55	
94	79	58	73	45	
95	80	59	74	56	
96	42	17	69	16	Vibrio alginolyticus
97	81	36	75	57	
98	82	22	76	58	
99	48	60	77	59	
100	83	36	78	60	
101	84	20	79	16	
102	85	61	80	61	
103	86	62	81	62	
104	87	63	82	63	
105	88	21	44	19	
106	89	64	83	64	
107	90	65	84	65	
108	26	66	85	65	
109	90	67	86	56	
110	7	68	7	7	
111	91	69	87	66	
112	92	70	88	67	
113	93	71	89	62	
114	94	72	90	68	
115	95	73	91	69	
116	96	74	80	70	
117	97	75	88	71	
118	97	76	92	72	
119	98	77	93	73	
120	55	42	94	74	
121	99	78	95	75	
122	100	79	88	71	
123	101	59	74	76	
124	102	40	96	19	
125	103	40	97	19	
126	104	80	98	77	
127	105	81	99	75	
128	106	82	84	21	
129	95	83	88	71	
130	107	84	100	78	
131	108	85	101	62	
132	26	22	102	34	
133	109	62	103	79	
134	93	85	104	62	
135	93	71	101	62	
136	110	86	105	72	
137	111	87	106	14	
138	112	20	107	16	
139	42	17	108	16	
140	113	88	109	80	
141	114	89	110	81	
142	115	90	111	65	
143	116	91	112	82	
144	117	92	113	83	
145	118	93	61	84	
146	119	94	114	85	
147	120	95	115	86	
148	121	96	116	87	
149	122	97	117	34	
150	125	100	120	89	V. harveyi group
151	126	99	119	90	V. cholerae / V. mimicus
152	130	101	62	19	V. parahaemolyticus
153	120	94	114	86	V. harveyi group
154	122	67	116	86	V. harveyi group
155	123	96	117	87	V. mediterranei / V. shilonii
156	124	97	118	88	V. splendidus
157	119	42	113	84	V. orientalis
158	95	79	88	72	V. mediterranei / V. shilonii
159	127	98	121	88	V. harveyi group
160	121	95	115	42	V. parahaemolyticus
161	128	13	122	3	
162	117	92	111	83	
163	113	88	108	80	
164	112	17	123	91	
165	129	13	124	3	
166	131	102	69	16	
167	74	17	69	16	
168	132	22	125	58	
169	15	15	126	92	
170	112	20	59	16	
171	112	20	59	94	
172	74	17	108	80	
173	132	22	125	97	
174	132	22	125	98	
175	132	22	125	80	
176	132	22	129	99	
177	133	103	127	93	
178	136	104	128	95	
179	137	15	130	17	
180	112	17	70	16	
181	112	17	59	16	
182	112	20	69	91	
183	112	20	43	16	
184	112	20	22	16	
185	131	102	69	100	
186	131	107	69	16	
187	131	20	132	101	
188	138	20	131	16	
189	139	17	107	16	
190	139	17	18	16	
191	140	106	70	16	
192	141	20	69	100	
193	142	17	69	16	
194	143	20	134	16	
195	144	17	69	102	
196	144	17	135	16	
197	17	20	39	100	
198	18	20	69	16	
199	18	17	137	16	
200	42	20	133	16	
201	61	107	69	16	
202	74	105	70	16	
203	74	108	131	16	
204	74	17	136	16	
205	53	109	47	18	
206	145	91	138	82	
207	112	45	131	100	Vibrio alginolyticus
208	17	110	39	91	Vibrio alginolyticus
209	146	20	22	103	Vibrio alginolyticus
210	17	20	59	104	Vibrio alginolyticus
211	112	102	139	91	Vibrio alginolyticus
212	78	20	22	16	
213	26	22	102	20	
214	112	17	22	16	
215	26	22	112	34	
216	26	22	24	34	
217	42	47	101	16	
218	42	17	101	16	
219	17	17	107	91	
220	112	105	59	16	
221	118	22	24	34	
222	74	17	22	91	
223	74	17	18	16	
224	118	22	102	20	
225	118	22	24	20	
226	42	17	18	91	
227	118	22	76	34	
228	143	20	70	37	
229	112	17	69	16	
230	118	22	102	34	
231	17	105	70	16	
232	132	22	125	34	
233	43	22	112	58	
234	118	22	125	34	
235	112	102	137	16	
236	17	102	69	91	
237	82	22	76	34	
238	61	17	22	91	
239	132	22	125	20	
240	17	20	22	16	
241	82	22	112	34	
242	26	22	76	34	
243	118	22	112	34	
244	26	22	112	20	
245	17	102	69	16	
246	73	17	16	16	
247	147	111	140	105	
248	25	17	61	18	
249	156	19	150	82	
250	157	115	151	110	
251	26	22	125	34	
252	82	22	24	34	
253	26	22	125	20	
254	118	22	76	20	
255	26	22	112	58	
256	82	22	112	20	
257	158	19	152	18	
258	159	116	153	17	
259	159	19	61	111	
260	160	117	154	23	
261	15	19	155	17	
262	53	118	19	18	
263	156	15	179	112	
264	161	119	151	112	
265	118	22	24	58	
266	74	120	156	16	
267	162	121	151	17	
268	163	19	151	23	
269	19	15	157	112	
270	15	122	58	17	
271	15	87	158	17	
272	15	115	159	18	
273	164	123	61	113	
274	159	19	160	112	
275	165	19	19	23	
276	162	15	158	112	
277	166	19	164	18	
278	42	124	161	16	
279	15	122	154	114	
280	42	20	59	16	
281	79	58	114	45	
282	120	94	114	45	
283	77	57	57	45	
284	74	17	131	16	
285	17	20	69	16	
286	120	100	114	45	
287	77	57	53	45	
288	141	20	162	53	
289	120	58	35	45	
290	106	82	25	86	
291	106	67	25	65	
292	27	82	84	65	
293	106	82	84	65	
294	90	82	84	65	
295	145	108	131	16	
296	106	82	86	65	
297	167	17	163	16	
298	106	82	126	65	
299	112	125	59	91	
300	90	82	68	65	
301	141	20	131	100	
302	17	20	131	16	
303	52	55	78	19	
304	106	82	90	65	
305	118	66	85	68	
306	43	89	90	68	
307	26	66	90	68	
308	52	55	96	19	
309	145	19	107	18	
310	138	17	137	16	
311	15	87	70	17	
312	25	19	70	17	
313	61	17	69	16	
314	131	20	69	16	
315	52	55	42	19	
316	69	50	116	16	
317	102	50	60	103	
318	81	40	78	39	
319	112	20	161	115	
320	102	48	44	19	
321	112	20	69	16	
322	51	21	64	39	
323	18	17	69	16	
324	42	17	164	16	
325	17	102	22	16	
326	74	126	131	116	
327	17	20	139	16	
328	17	20	70	16	
329	157	45	107	16	
330	131	17	22	16	
331	42	54	18	53	
332	74	125	18	16	
333	112	20	136	16	
334	190	139	185	132	
335	198	15	193	112	
336	195	19	194	135	
337	199	119	163	17	
338	112	17	183	16	
339	200	19	195	44	
340	175	17	22	16	
341	19	19	61	18	
342	201	142	196	138	
343	202	40	197	139	
344	19	19	189	18	
345	159	109	189	23	
346	203	19	198	17	
347	197	143	192	136	
348	19	144	199	18	
349	197	115	106	136	
350	70	19	200	140	
351	19	19	160	18	
352	131	20	39	53	
353	81	40	191	39	
354	74	45	131	16	
355	42	17	137	103	
356	120	94	73	45	
357	79	53	68	45	
358	60	19	58	23	
359	125	94	120	45	
360	191	19	186	18	
361	204	19	189	112	
362	120	58	114	45	
363	94	58	73	45	
364	139	17	123	16	
365	19	101	90	91	
366	112	17	139	16	
367	112	50	116	91	
368	51	50	53	91	
369	69	50	70	16	
370	112	20	69	104	
371	63	54	107	91	
372	83	55	116	36	
373	121	40	77	19	
374	121	50	17	91	
375	52	55	116	19	
376	69	50	61	16	
377	121	50	116	103	
378	102	50	68	103	
379	102	50	116	103	
380	42	17	163	16	
381	42	102	69	100	
382	63	50	116	91	
383	121	50	116	91	
384	121	50	125	91	
385	81	94	120	47	
386	83	55	77	36	
387	81	101	78	19	
388	143	45	107	16	
389	59	26	29	89	
390	59	26	29	22	
391	112	17	131	55	
392	42	138	22	33	
393	112	102	43	16	
394	69	40	201	19	
395	171	102	69	16	
396	205	145	202	141	
397	206	146	140	105	
398	17	17	22	91	
399	157	17	16	16	
400	112	17	174	16	
401	207	102	69	91	
402	208	28	203	142	
403	209	147	204	143	
404	210	148	205	144	
405	210	149	205	145	
406	211	150	206	146	
407	212	66	207	147	
408	213	151	208	148	
409	143	45	107	101	
410	203	19	211	17	
411	131	128	209	100	
412	214	152	210	149	
413	15	19	189	112	
414	112	20	137	16	
415	215	154	213	151	
416	15	19	152	152	
417	191	122	186	18	
418	112	125	69	16	
419	74	20	22	16	
420	42	20	59	133	
421	131	17	69	16	
422	22	17	18	16	
423	192	140	187	134	
424	196	141	190	20	
425	193	17	59	16	
426	194	19	188	112	
427	195	19	19	135	
428	19	17	18	91	
429	42	19	19	18	
430	22	19	186	18	
431	197	19	192	17	
432	42	17	107	16	
433	112	20	35	119	
434	131	40	185	137	
435	42	54	59	104	
436	17	17	184	91	
437	112	105	171	16	
438	189	20	59	16	
439	74	120	180	16	
440	112	20	69	117	
441	112	110	22	16	
442	112	125	18	16	
443	168	17	70	16	
444	169	125	107	16	
445	42	127	59	91	
446	131	17	166	16	
447	112	20	131	100	
448	174	17	166	91	
449	167	17	69	16	
450	18	17	69	91	
451	17	105	167	16	
452	17	105	169	16	
453	17	17	214	91	
454	216	120	156	16	
455	171	155	215	16	
456	112	17	177	153	
457	217	19	107	154	
458	73	54	69	155	
459	218	20	139	16	
460	17	20	162	16	
461	218	20	139	156	
462	219	48	44	157	
463	218	156	139	156	
464	112	20	69	158	
465	138	17	137	156	
466	17	20	162	156	
467	157	17	22	91	
468	220	17	16	16	
469	221	19	49	17	
470	19	157	160	18	
471	222	153	212	150	
472	224	158	216	159	
473	223	159	217	160	
474	225	160	218	161	
475	226	161	219	90	
476	227	162	220	90	
477	229	55	221	60	
478	228	36	52	19	
479	230	163	44	162	
480	231	40	222	19	
481	232	164	223	163	
482	233	20	224	16	
483	112	17	225	129	
484	74	108	107	16	
485	234	165	226	164	
486	235	166	227	165	
487	236	167	228	166	
488	237	168	229	166	
489	238	169	230	167	
490	240	170	231	169	
491	239	171	232	168	
492	241	172	233	170	
493	242	19	234	17	
494	243	19	138	17	
495	244	173	235	171	
496	112	17	107	16	
497	18	125	69	16	
498	42	17	123	16	
499	146	20	69	122	
500	131	17	181	16	
501	157	17	22	118	
502	73	128	59	119	
503	142	102	69	100	
504	170	108	131	16	
505	138	17	107	16	
506	61	20	59	16	
507	171	20	165	120	
508	172	129	151	121	
509	173	17	69	16	
510	42	45	69	16	
511	74	17	16	16	
512	140	17	133	16	
513	17	107	69	16	
514	176	45	107	16	
515	42	45	166	101	
516	112	17	59	123	
517	177	107	107	91	
518	178	130	168	124	
519	245	47	236	112	
520	246	15	159	17	
521	245	47	237	172	
522	26	22	112	173	
523	42	20	69	53	
524	247	174	238	174	
525	248	175	239	175	
526	74	20	161	128	
527	249	177	241	176	
528	112	17	137	119	
529	144	17	69	33	
530	250	178	242	177	
531	251	36	65	42	
532	252	21	243	39	
533	253	179	222	19	
534	254	180	244	178	
535	74	17	22	16	
536	17	110	22	16	Vibrio alginolyticus
537	112	20	247	16	
538	112	17	137	16	Vibrio alginolyticus
541	17	102	69	100	Vibrio alginolyticus
544	78	17	18	16	Vibrio alginolyticus
545	193	17	107	16	Vibrio alginolyticus
551	255	20	245	199	
553	256	181	84	65	
554	257	21	44	19	
555	258	182	249	203	
556	259	111	250	105	
557	90	183	251	65	
