ST	gatB	coxA	hcpA	ftsZ	fbpA	clonal_complex
1	1	1	1	1	1	ST-13
2	3	2	2	10	3	
3	9	11	12	11	12	
4	12	12	13	2	22	
5	23	2	26	21	26	
6	13	13	14	9	13	
7	9	14	15	12	14	
8	26	27	31	24	28	
9	4	3	3	22	4	
10	1	1	1	3	2	ST-13
11	10	10	11	14	24	ST-a
12	10	10	11	14	11	ST-a
13	1	1	1	3	1	ST-13
14	1	1	27	3	1	ST-13
15	5	4	5	4	6	ST-b
16	5	4	4	4	5	ST-b
17	22	23	24	3	23	
18	17	18	20	15	18	
19	7	6	7	3	8	ST-19
20	16	14	19	23	4	
21	15	16	17	16	16	
22	24	24	28	17	20	
23	8	7	8	6	1	
24	2	1	1	3	1	ST-13
25	11	17	18	3	17	
26	9	8	9	7	9	
27	9	9	10	8	10	
28	25	26	29	15	27	
29	19	20	22	17	20	
30	6	5	6	18	7	
31	21	22	25	19	21	
32	9	25	30	20	25	
33	27	28	32	25	29	
34	14	15	16	13	15	
35	28	29	33	26	30	
36	9	36	40	7	9	
37	9	9	6	8	10	
38	37	37	41	34	40	
39	12	14	13	2	41	
40	38	38	29	35	42	
41	39	14	40	36	4	STC-41
42	40	14	40	36	43	
43	32	39	42	32	44	
44	41	40	43	17	45	
45	42	20	44	37	46	
46	43	41	45	17	46	
47	43	20	46	38	46	
48	44	2	47	39	47	
49	41	20	48	37	46	
50	41	20	49	40	46	
51	45	32	50	6	48	
52	22	2	51	32	36	
53	46	42	23	6	17	
54	47	6	7	3	8	ST-19
55	41	20	32	17	45	
56	48	43	52	41	6	
57	49	44	53	42	49	
58	19	20	54	43	50	
59	50	2	47	44	51	
60	18	19	21	5	19	
61	20	2	47	45	52	
62	29	30	34	27	31	
63	19	21	55	46	53	
64	31	30	36	28	32	
65	32	33	38	30	37	
66	33	32	37	29	34	
67	35	35	22	33	39	
68	32	34	39	32	36	
69	32	33	38	31	38	
70	36	32	37	29	35	
71	34	32	37	29	34	
72	30	31	35	48	33	
73	36	32	37	47	35	
74	51	46	22	33	54	
75	52	20	57	58	55	
76	52	45	56	33	56	
77	29	56	58	60	57	
78	30	55	72	48	70	
79	14	15	23	56	15	
80	22	23	63	3	23	
81	43	32	11	6	58	
82	53	53	64	55	63	
83	54	52	62	3	62	
84	55	51	40	7	9	
85	56	50	61	6	61	
86	57	49	11	50	15	
87	58	48	60	6	60	
88	59	47	59	32	59	
89	62	1	1	3	1	ST-13
90	64	54	71	57	69	
91	67	6	7	3	8	ST-19
92	54	59	68	3	67	
93	57	61	70	6	15	
94	60	62	65	54	64	
95	61	57	66	53	65	
96	63	57	69	51	68	
97	66	58	67	52	66	
98	79	71	88	69	27	
99	10	72	11	14	11	
100	57	32	84	6	77	
101	53	58	85	70	79	
102	23	60	86	21	26	
103	69	65	87	62	27	
104	9	66	88	15	80	
105	9	66	88	15	76	
106	9	64	49	63	75	
107	68	1	1	3	1	ST-13
108	71	67	74	65	6	
109	70	64	40	36	4	
110	37	37	89	64	40	
111	23	2	75	67	74	
112	7	6	76	3	8	ST-19
113	9	68	6	66	10	
114	74	20	78	17	20	
115	72	20	45	17	20	
116	75	20	45	17	72	
117	43	20	79	17	46	
118	7	6	80	3	8	ST-19
119	76	33	81	32	71	
120	20	70	82	45	51	
121	77	2	83	45	51	
122	78	37	41	3	62	
123	78	37	90	3	62	
124	73	69	77	68	73	
125	4	14	40	73	4	
126	97	76	95	74	15	
127	78	37	62	3	81	
128	9	73	91	71	82	
129	91	14	40	7	9	
130	92	47	92	32	59	
131	53	77	96	55	61	
132	78	37	62	3	62	
133	93	37	93	3	62	
134	94	74	94	72	84	
135	95	75	92	32	85	
136	96	14	3	73	4	
137	65	63	73	61	78	
138	98	33	98	32	152	
139	99	47	97	75	153	
140	99	47	97	76	154	
141	100	14	40	73	4	
142	9	78	6	77	10	
143	103	64	40	63	75	
144	104	81	102	78	157	
145	4	14	3	36	4	STC-41
146	4	14	40	36	4	STC-41
147	4	14	40	7	4	STC-41
148	9	14	40	73	4	STC-41
149	9	80	100	8	156	
150	16	14	40	36	4	STC-41
151	39	11	101	36	4	STC-41
152	39	14	40	7	4	STC-41
153	96	14	40	73	4	STC-41
154	101	79	40	73	4	STC-41
155	101	79	99	73	155	STC-41
156	102	14	100	36	4	STC-41
157	102	14	29	36	42	STC-41
158	8	84	103	79	160	
159	53	84	85	70	79	
160	101	85	40	22	4	
161	105	14	3	73	4	
162	108	73	40	80	9	
163	107	87	29	35	27	
164	54	52	62	82	62	
165	54	52	62	3	164	
166	105	88	106	7	165	
167	110	89	107	83	166	
168	111	90	108	83	167	
169	117	95	115	86	171	
170	115	95	112	86	171	
171	116	97	114	88	172	
172	114	94	111	85	170	
173	109	86	29	81	27	
174	9	91	109	15	27	
175	109	86	88	126	27	
176	39	14	119	7	9	
177	119	102	120	81	175	
178	119	101	120	81	175	
179	119	100	120	81	175	
180	119	101	120	90	175	
181	119	98	121	81	177	
182	120	99	122	81	176	
183	121	101	120	89	175	
184	122	101	120	91	175	
185	123	103	123	92	178	
186	124	104	120	93	179	
187	125	4	74	4	6	
188	9	105	125	95	180	
189	126	87	124	94	132	
190	9	14	13	96	181	
191	9	106	15	96	183	
192	9	14	15	96	183	
193	79	107	124	97	132	
194	127	14	126	11	9	
195	9	14	15	96	14	
196	9	14	15	96	182	
197	128	108	127	98	20	
198	1	1	1	21	1	
199	23	2	86	3	26	
200	129	1	128	99	118	
201	130	110	129	100	102	
202	1	27	1	1	3	
203	9	112	130	101	187	
204	9	66	132	102	190	
205	131	76	131	56	131	
206	132	66	88	102	132	
207	53	77	64	55	191	
208	133	32	133	103	49	
209	53	113	134	6	63	
210	53	77	64	55	61	
211	104	115	102	78	157	
212	103	64	136	63	75	
213	106	11	13	105	162	
214	134	91	139	106	194	
215	39	14	40	7	195	
216	9	119	140	107	9	
217	135	120	141	108	197	
218	136	91	142	109	9	
219	9	38	143	23	4	
220	9	121	143	23	4	
221	126	122	144	106	237	
222	137	123	145	110	198	
223	138	124	146	70	199	
224	139	125	147	111	200	
225	140	66	29	112	27	
226	141	127	23	114	15	
227	141	127	23	115	15	
228	8	127	23	113	15	
229	142	128	23	113	15	
230	143	129	23	56	15	
231	128	109	127	98	20	
232	144	47	149	116	202	
233	145	130	150	117	203	
234	62	143	60	3	220	
235	9	144	91	36	221	
236	167	91	170	126	27	
237	168	146	173	134	126	
238	168	146	174	134	126	
239	168	147	173	132	226	
240	168	147	173	134	226	
