ST	leuA	petC	malF	cysG	holC	nuoL	gltT	clonal_complex
1	1	1	1	1	1	1	1	
2	1	1	4	1	1	1	1	
3	1	1	1	20	1	1	1	
4	1	1	1	4	1	1	1	
5	2	2	2	2	2	2	2	
6	3	3	3	3	3	3	3	
7	3	3	3	7	3	3	3	
8	3	3	5	5	4	3	7	
9	3	3	5	5	4	3	4	
10	5	4	3	3	6	3	5	
11	7	7	7	9	10	8	8	
12	7	7	7	9	13	8	8	
13	7	6	7	9	10	7	8	
14	8	8	8	11	12	9	9	
15	5	3	3	3	4	3	5	
16	7	6	8	10	11	8	8	
17	1	1	10	12	18	10	1	
18	9	1	9	13	14	5	10	
19	10	1	10	14	15	11	1	
20	1	1	10	12	17	11	11	
21	10	1	10	14	15	11	12	
22	3	3	5	12	4	3	3	
23	3	3	5	3	6	3	3	
24	3	3	5	3	4	3	7	
25	3	3	3	17	3	3	3	
26	5	3	3	3	6	3	5	
27	6	3	5	6	7	3	7	
28	6	3	5	18	7	4	7	
29	4	3	6	18	5	4	3	
30	4	5	6	8	5	4	3	
31	4	3	6	18	8	6	3	
32	4	3	5	12	4	4	3	
33	11	9	14	15	19	13	10	
34	3	3	3	3	3	3	6	
35	3	10	3	3	3	3	3	
36	5	3	5	19	6	3	5	
37	3	3	5	21	4	3	3	
38	3	3	5	16	4	3	7	
39	3	3	5	19	4	3	7	
40	6	3	5	18	7	3	7	
41	3	3	5	18	9	3	3	
42	6	3	5	12	4	3	3	
43	3	3	5	18	4	3	7	
44	3	3	5	5	6	3	4	
45	3	3	5	3	4	3	3	
46	5	3	3	3	6	3	3	
47	13	1	10	23	20	5	1	
48	3	3	12	3	6	3	3	
49	3	3	5	3	6	3	7	
50	3	11	13	22	21	14	13	
51	3	3	5	3	4	15	3	
52	10	1	10	14	18	10	1	
53	7	6	16	24	10	16	14	
54	11	9	11	25	19	12	1	
55	1	1	10	12	18	10	10	
56	11	9	11	15	17	12	10	
57	1	1	10	12	18	11	11	
58	6	3	5	12	4	3	7	
59	9	1	9	13	14	5	1	
60	9	1	1	13	14	5	1	
61	11	9	11	15	16	12	10	
62	4	3	6	18	5	6	3	
63	5	6	3	3	6	3	5	
64	7	7	7	9	10	7	8	
65	7	6	7	9	10	8	8	
66	7	8	8	10	11	8	8	
67	5	3	8	3	12	3	5	
68	14	8	8	11	12	9	8	
69	7	6	7	9	23	17	8	
70	14	7	8	11	22	9	8	
71	5	8	8	11	12	9	9	
72	12	12	15	26	24	18	1	
73	7	6	8	27	10	16	8	
74	7	6	8	28	25	16	8	
75	9	1	10	29	1	19	1	
76	12	13	15	26	24	18	1	
77	1	1	6	30	26	5	1	
78	7	6	7	9	23	8	8	
79	3	3	3	26	3	3	3	
80	7	6	17	31	10	16	15	
81	3	3	3	32	3	3	3	
82	3	3	5	12	4	3	16	
83	6	3	5	33	7	4	7	
84	7	6	7	34	10	20	8	
85	7	6	8	10	10	8	8	
86	7	6	8	10	11	20	8	
87	5	3	5	3	3	21	3	
88	3	3	19	7	3	3	3	
89	6	3	5	18	4	23	7	
90	16	15	20	36	27	24	18	
