ST	aarF	dfp	galR	glnS	hemA	rfaE	speA	clonal_complex
1	1	1	1	1	1	1	1	
2	2	4	2	2	5	9	2	
3	2	4	2	2	7	2	2	
4	2	4	5	2	7	6	2	
5	2	4	6	2	8	6	2	
6	2	4	2	62	7	2	2	
7	2	5	5	2	9	2	2	
8	2	4	10	2	7	2	2	
9	6	4	5	2	7	6	2	
10	2	5	7	7	10	6	2	
11	2	6	5	2	10	8	2	
12	3	2	3	3	2	3	3	
13	3	2	3	3	3	4	3	
14	3	2	3	3	6	3	3	
15	4	3	4	4	4	5	5	
16	5	4	5	2	5	6	2	
17	5	4	5	2	7	6	2	
18	6	2	3	3	2	3	4	
19	2	4	9	6	5	10	2	
20	2	4	5	2	12	11	2	
21	6	2	3	3	6	3	3	
22	5	2	3	3	2	3	4	
23	6	58	3	3	2	3	4	
24	59	2	3	3	2	3	4	
25	6	2	3	63	2	3	4	
26	2	4	8	5	10	7	6	
27	59	7	63	60	47	46	7	
28	46	44	53	29	62	44	8	
29	47	45	30	25	28	45	9	
30	47	45	54	61	63	45	9	
31	28	24	31	26	29	25	10	
32	8	8	56	50	47	46	10	
33	8	52	63	60	55	57	10	
34	17	16	18	51	11	17	11	
35	17	38	18	51	11	17	11	
36	57	18	66	51	11	17	11	
37	17	18	23	51	11	19	11	
38	23	16	25	20	11	21	11	
39	9	9	55	51	11	49	11	
40	11	11	36	30	34	29	12	
41	11	11	57	11	13	48	12	
42	12	12	13	12	14	13	13	
43	31	28	37	32	33	30	13	
44	13	10	14	13	15	14	14	
45	13	40	14	46	15	14	14	
46	14	13	15	14	16	15	15	
47	15	14	16	15	17	16	16	
48	15	25	32	15	30	16	16	
49	36	56	32	15	30	16	16	
50	15	31	16	15	30	32	16	
51	36	34	32	38	30	32	16	
52	21	15	20	16	41	35	17	
53	16	15	17	16	18	47	17	
54	21	15	22	18	22	47	17	
55	55	53	20	16	56	58	17	
56	18	17	19	17	19	18	18	
57	37	17	45	17	21	36	18	
58	19	15	20	16	20	47	19	
59	20	17	21	17	21	18	20	
60	22	19	24	19	23	20	21	
61	24	20	26	21	24	22	22	
62	25	21	27	22	25	23	23	
63	26	22	28	23	26	24	24	
64	27	23	29	24	27	24	25	
65	28	8	33	27	31	26	26	
66	29	26	34	28	32	27	27	
67	53	51	61	59	54	56	27	
68	14	13	15	31	35	15	28	
69	14	13	43	37	40	15	28	
70	42	42	15	45	40	15	28	
71	32	29	38	33	36	31	29	
72	44	30	37	12	14	30	30	
73	12	30	39	34	14	30	30	
74	30	35	44	39	42	30	30	
75	33	32	40	21	37	33	31	
76	34	23	41	35	38	24	32	
77	35	33	42	36	39	34	33	
78	38	36	46	40	43	37	34	
79	39	37	48	41	44	38	35	
80	40	23	47	42	45	39	36	
81	41	39	49	43	46	40	37	
82	45	42	48	44	59	42	38	
83	43	41	50	47	48	41	39	
84	43	41	50	10	58	41	39	
85	39	42	48	44	59	42	40	
86	39	42	48	48	59	42	40	
