ST	adk	argA	aroA	glnA	thrA	tmk	trpE
1	1	2	4	2	8	3	2
2	1	2	1	6	8	3	2
3	1	2	1	2	3	3	2
4	1	2	1	4	3	4	2
5	1	2	1	4	3	3	1
6	1	2	1	2	1	5	2
7	5	2	1	2	1	5	2
8	2	2	1	2	8	5	2
9	1	2	2	2	2	2	1
10	1	2	1	2	9	2	1
11	1	2	1	6	6	2	1
12	1	2	1	8	8	5	1
13	1	2	9	2	8	5	1
14	1	2	1	2	5	6	1
15	1	2	1	2	8	7	1
16	4	2	10	2	2	5	1
17	1	2	4	5	5	2	4
18	1	2	5	2	5	5	4
19	1	1	1	1	1	1	1
20	2	3	6	7	7	3	5
21	2	3	8	7	1	3	5
22	3	3	7	7	1	3	5
23	2	3	3	3	4	3	3
24	1	2	5	2	1	5	4
25	1	2	9	2	1	7	2
26	1	2	1	2	8	5	2
27	1	2	1	2	8	6	2
28	1	2	1	2	5	5	2
29	1	2	5	2	5	5	2
30	1	2	1	2	3	6	2
31	1	2	1	2	3	7	2
32	1	2	1	2	3	5	2
33	1	2	1	2	8	3	2
34	1	2	5	2	3	5	2
35	1	2	5	2	3	3	2
36	1	2	1	2	8	3	4
37	1	3	1	2	8	3	2
38	1	2	1	6	8	7	2
39	1	2	1	4	3	3	2
40	1	2	1	2	1	2	1
41	1	2	1	2	8	6	1
42	1	2	1	2	8	2	1
43	1	2	1	2	5	2	1
44	1	2	1	2	5	5	1
45	1	2	1	2	5	2	5
46	1	3	1	2	5	2	1
47	1	2	1	7	5	2	1
48	1	2	1	2	2	2	1
49	1	2	1	5	8	2	4
50	1	1	1	2	1	1	1
51	1	2	1	2	3	5	1
52	1	2	1	2	3	6	6
53	1	2	1	2	11	6	1
54	1	2	1	2	3	7	5
55	1	2	1	4	3	3	7
56	1	2	1	9	3	7	1
57	1	1	1	1	12	1	1
58	1	3	1	2	8	3	1
59	1	2	1	2	1	7	2
60	1	2	1	2	13	5	8
61	1	2	1	2	1	8	2
62	1	2	1	4	14	4	1
63	1	2	1	10	3	5	2
64	1	2	1	4	3	5	2
65	1	2	1	4	8	3	2
66	1	2	1	4	8	3	5
67	1	2	1	11	8	5	2
68	1	2	1	2	3	5	4
69	1	2	1	2	5	4	2
70	1	2	1	2	5	7	2
71	5	4	12	11	15	9	9
72	1	2	1	2	3	3	1
73	5	2	1	2	3	5	1
74	6	4	11	11	10	9	9
75	5	4	11	11	15	9	9
76	5	4	11	12	16	9	9
77	5	4	11	11	16	9	9
78	1	3	1	4	3	3	4
79	5	6	12	11	15	9	9
80	5	4	11	14	15	9	9
81	5	4	11	15	15	9	9
82	5	5	1	2	8	3	1
83	5	4	11	13	15	9	9
84	1	2	1	13	5	5	2
85	1	2	1	2	8	5	1
86	1	2	13	2	2	2	1
87	1	5	1	2	8	3	1
88	1	2	4	2	8	10	4
89	1	2	1	6	3	3	2
90	1	2	1	2	5	2	10
91	5	4	12	11	15	2	9
92	5	4	12	12	15	9	9
93	3	3	1	2	15	6	4
94	5	4	11	14	15	2	9
95	1	5	1	2	8	2	1
96	2	3	14	16	17	11	5
97	1	2	1	17	5	2	1
98	1	2	1	17	5	2	4
99	1	2	1	17	5	4	1
100	1	2	1	17	5	5	4
101	1	5	1	18	8	2	1
102	1	2	15	2	8	2	1
103	1	2	16	2	5	2	4
104	1	2	17	2	1	5	1
105	7	2	1	2	5	2	1
106	7	2	1	2	14	6	1
107	1	5	4	2	5	6	1
108	1	5	4	2	5	5	1
109	1	5	1	2	1	6	11
110	1	2	1	2	5	2	4
111	1	2	1	2	1	5	1
112	1	2	1	2	2	5	1
113	1	2	1	2	1	5	4
114	5	2	1	2	3	5	2
115	1	2	5	2	1	2	2
116	1	2	1	2	8	2	4
117	1	2	4	2	8	5	4
118	1	2	4	2	8	6	1
119	1	2	1	2	7	6	1
120	1	2	1	2	7	2	1
121	1	2	1	2	14	2	1
122	1	2	1	5	5	4	1
131	9	7	18	19	18	12	13
132	10	8	19	20	19	13	14
133	11	9	20	21	20	14	15
134	12	10	21	22	21	15	16
135	13	11	22	23	22	16	17
136	15	12	23	24	23	17	14
137	16	13	24	25	24	18	18
138	12	10	25	22	25	19	19
139	13	14	22	23	26	16	17
140	14	11	22	23	22	16	17
141	17	15	26	26	27	20	20
142	18	16	27	27	28	21	21
143	9	17	28	28	29	22	22
144	14	14	22	23	22	16	17
145	19	18	29	29	30	23	23
146	20	19	21	22	31	24	16
147	21	20	30	30	32	25	24
148	12	21	25	22	21	26	19
149	12	22	31	31	21	27	19
150	12	23	21	32	33	28	25
151	22	24	32	29	30	23	26
152	23	25	33	27	34	29	27
