ST	adhP	pheS	atr	glnA	sdhA	glcK	tkt
1	1	1	2	1	1	2	2
2	1	1	3	1	1	2	2
3	1	1	4	1	1	3	2
4	1	1	4	1	1	3	4
5	12	1	4	1	1	3	4
6	9	1	2	1	3	2	2
7	10	1	2	1	3	2	2
8	4	1	4	1	3	3	2
9	8	1	4	1	3	3	2
10	9	1	4	1	3	3	2
11	9	3	7	1	3	3	2
12	10	1	4	1	3	3	2
13	11	3	4	1	3	3	2
14	1	1	2	1	5	2	2
15	9	1	4	1	5	3	2
16	1	1	4	1	6	3	4
17	2	1	1	2	1	1	1
18	3	1	1	2	1	1	1
19	1	1	3	2	2	2	2
20	1	2	3	2	2	2	2
21	1	9	3	2	2	2	2
22	13	3	1	3	1	1	1
23	5	4	6	3	2	1	3
24	5	4	4	3	2	3	3
25	5	4	6	3	8	1	3
26	1	1	5	4	1	4	6
27	1	1	3	4	2	2	2
28	1	1	3	5	2	2	2
29	2	1	1	8	1	1	1
30	1	1	8	2	2	2	2
31	2	1	1	6	1	1	1
32	2	1	1	2	7	1	1
33	5	6	4	3	2	1	3
34	5	7	6	3	2	1	3
35	1	1	3	2	2	5	2
36	1	1	3	2	2	2	7
37	13	3	9	3	1	1	1
38	9	1	10	1	3	2	2
39	13	3	11	3	1	1	1
40	13	3	1	3	1	7	1
41	10	1	12	1	3	2	2
42	1	1	3	2	3	2	2
43	10	1	4	1	2	3	2
44	1	1	3	2	1	2	2
45	13	3	1	3	3	1	1
46	1	1	4	1	3	3	4
47	9	1	4	1	1	3	2
48	2	1	1	2	2	1	1
49	1	1	2	1	2	2	2
50	1	1	2	11	1	2	2
51	10	1	3	1	3	2	2
52	5	4	6	3	1	1	3
53	4	1	4	1	1	3	2
54	1	1	4	1	9	3	4
55	5	1	6	3	2	1	3
56	1	1	2	1	2	8	2
57	1	1	13	1	2	2	2
58	16	1	6	2	2	9	2
59	1	1	3	4	2	2	5
60	16	1	6	2	1	9	2
61	13	1	1	13	1	1	1
62	13	1	1	13	11	1	5
63	13	1	1	2	1	10	1
64	13	1	1	2	1	1	1
65	9	11	4	1	3	3	2
66	1	1	3	14	1	12	2
67	13	1	1	13	1	1	5
68	1	1	3	1	11	2	2
69	13	1	1	16	1	1	5
70	2	1	1	2	13	1	1
71	1	1	2	1	1	2	8
72	13	1	1	13	1	2	5
73	13	1	1	13	14	9	5
74	13	1	1	13	1	13	5
75	13	1	14	13	1	1	5
76	13	1	1	13	1	14	1
77	13	1	1	13	1	14	5
78	9	1	4	1	3	11	2
79	13	1	1	13	14	1	5
80	19	1	1	13	1	1	5
81	1	12	3	2	2	1	2
82	20	13	15	1	15	1	5
83	2	1	1	2	14	1	1
84	10	1	2	1	3	1	2
85	13	1	17	15	1	1	5
86	1	1	3	2	2	1	2
87	18	1	3	2	2	2	2
88	5	10	6	3	2	1	3
89	10	1	19	1	3	2	2
90	5	4	6	19	2	1	3
91	25	1	1	13	1	15	1
92	26	4	6	3	2	1	3
93	9	4	4	1	18	3	4
94	5	4	18	3	2	1	3
95	2	1	1	12	1	1	1
96	1	1	3	5	10	2	2
97	1	1	2	18	1	2	2
98	1	1	3	20	2	2	2
99	1	1	20	2	2	2	2
100	13	1	1	13	1	17	5
101	13	1	1	13	1	18	5
