ST	gki	gtr	murI	mutS	recP	xpt	atoB
1	10	6	6	6	12	13	8
2	5	4	4	1	2	15	2
3	5	3	4	1	6	2	1
4	2	2	4	1	8	7	2
5	2	2	4	1	12	12	7
6	1	3	1	1	1	1	4
7	1	1	1	1	1	1	3
8	1	1	1	1	1	1	4
9	1	1	1	1	1	1	2
10	10	4	7	7	12	13	8
11	11	3	4	1	2	7	5
12	4	4	5	2	17	6	2
13	10	5	6	6	12	13	9
14	10	4	7	6	12	13	8
15	3	3	2	2	9	8	2
16	4	4	1	2	17	1	2
17	4	4	1	2	17	6	2
18	4	2	4	1	8	7	2
19	3	8	4	1	8	7	2
20	3	3	2	8	9	6	6
21	3	8	2	2	9	8	2
22	3	3	2	8	1	11	6
23	3	3	4	1	3	1	1
24	3	2	1	5	15	4	3
25	3	2	1	5	7	4	3
26	3	2	1	1	7	10	2
27	2	2	4	1	13	12	7
28	3	3	4	2	16	14	2
29	3	2	4	2	7	1	3
30	3	2	4	1	7	10	2
31	3	2	4	1	8	7	2
32	3	2	4	1	4	10	5
33	3	8	2	8	9	6	6
34	3	7	4	1	14	15	10
35	3	7	4	1	14	15	2
36	4	4	1	2	17	6	3
37	3	2	1	1	4	1	3
38	1	1	1	1	1	1	1
39	1	1	1	1	1	21	4
40	1	1	1	4	1	1	4
41	1	1	1	9	1	1	1
42	1	1	4	1	1	1	4
43	2	2	4	1	1	1	2
44	2	2	4	2	3	7	1
45	2	2	4	10	8	19	2
46	2	4	4	1	19	17	6
47	3	2	1	1	20	1	3
48	3	2	1	2	10	4	2
49	3	2	3	1	5	5	2
50	3	2	3	1	5	18	2
51	3	2	4	1	11	1	2
52	3	2	4	1	11	3	5
53	3	2	4	2	3	7	1
54	3	2	4	2	7	1	12
55	3	2	4	2	20	1	3
56	3	2	4	5	7	4	3
57	3	2	8	9	1	16	2
58	3	3	1	2	7	4	3
59	3	3	2	2	9	1	2
60	3	3	2	5	9	6	3
61	3	3	4	1	4	16	2
62	3	3	4	1	9	3	2
63	3	3	4	1	11	3	5
64	3	3	4	2	4	20	2
65	3	3	4	2	9	8	2
66	3	3	4	2	9	22	2
67	3	3	4	2	9	22	7
68	3	4	1	3	4	9	2
69	3	9	1	1	4	1	11
70	3	10	4	1	5	10	2
71	4	3	5	2	17	6	2
72	4	4	1	2	18	6	2
73	4	4	10	2	17	6	2
74	6	2	4	1	8	3	1
75	6	2	9	1	8	3	1
76	6	3	5	1	8	3	2
77	7	2	4	2	7	1	3
78	8	3	4	1	6	2	1
79	9	3	4	1	2	3	5
80	12	2	4	2	5	7	2
