ST	aroE	glgB	nifS	p20	tkt	trpD	uvrA	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	
4	4	4	3	4	4	1	4	
5	5	4	4	5	5	4	4	
6	5	5	4	6	5	5	5	
7	4	4	3	5	5	4	4	
8	4	4	3	4	3	1	4	
9	5	4	5	5	5	6	6	
10	6	4	6	7	6	7	7	
11	4	4	3	4	3	1	8	
12	4	4	3	6	5	5	4	
13	7	6	4	8	7	8	1	
14	5	5	4	6	5	9	5	
15	5	4	4	6	5	5	4	
16	4	4	3	4	3	4	4	
17	8	7	7	9	8	10	9	
18	5	4	4	10	5	11	4	
19	9	8	8	11	9	1	1	
20	10	8	9	11	9	1	1	
21	11	9	10	12	10	12	10	
22	11	9	11	12	11	12	11	
23	8	10	12	13	3	1	12	
24	8	10	12	13	3	13	12	
25	6	11	6	14	10	14	7	
26	3	3	3	3	3	8	13	
27	12	2	13	15	9	8	14	
28	4	12	14	16	12	7	4	
29	5	4	4	6	5	5	5	
30	5	4	4	5	5	4	15	
31	4	13	3	4	3	1	1	
32	11	9	10	12	3	12	11	
33	11	9	10	12	13	12	11	
34	5	4	4	17	5	12	4	
35	13	2	15	18	14	14	16	
36	3	3	16	3	3	8	13	
37	8	2	17	19	14	15	4	
38	4	14	3	4	3	1	4	
39	6	4	6	5	5	4	4	
40	7	4	4	20	7	8	1	
41	4	4	3	5	5	4	17	
42	4	4	3	21	3	1	4	
43	4	4	3	5	5	4	16	
44	14	4	3	4	3	1	4	
45	4	14	18	22	8	5	13	
46	4	14	18	22	5	5	13	
47	5	14	18	22	8	5	13	
48	13	8	19	10	15	16	4	
49	15	8	8	11	9	1	1	
50	13	2	19	10	15	16	4	
51	5	6	4	20	7	8	1	
52	5	4	4	10	7	17	16	
