ST	asd	edd	gap	glnD	gnd	nuoE1	ordL2	recA	sucA	zwf	clonal_complex
1	1	3	1	1	1	1	1	1	1	1	
2	1	1	5	3	2	1	1	1	3	1	
3	1	1	3	3	2	1	1	1	3	1	
4	1	4	1	1	1	1	3	1	1	3	
5	1	1	3	3	2	1	1	3	3	1	
6	1	1	1	1	1	1	1	1	1	4	
7	14	5	4	1	1	1	1	1	4	1	
8	1	5	4	4	1	1	1	1	4	1	
9	1	6	4	6	3	3	5	4	5	1	
10	4	3	1	1	1	1	1	1	1	1	
11	2	2	2	2	12	2	2	2	2	2	
12	1	1	1	1	1	1	1	1	1	1	
13	2	2	2	2	15	5	2	2	2	2	
14	1	1	1	3	1	1	1	1	1	4	
15	15	9	2	2	13	4	2	2	2	2	
16	1	1	1	7	1	1	1	1	1	1	
17	1	1	1	9	1	1	1	1	1	4	
18	15	9	2	3	13	4	2	2	9	2	
19	7	10	1	1	1	1	1	1	1	1	
20	1	1	8	1	1	1	3	1	1	3	
21	1	1	1	1	3	1	1	1	1	1	
22	1	6	1	1	1	1	1	1	1	1	
23	10	9	2	2	12	2	2	2	2	2	
24	1	1	1	4	1	1	1	1	1	4	
25	16	1	1	3	1	1	1	1	8	4	
26	1	11	1	1	1	1	1	1	1	4	
27	1	6	4	6	1	3	5	4	5	1	
28	15	8	2	4	13	4	2	2	2	2	
29	5	1	3	3	2	9	1	3	3	1	
30	1	14	1	1	1	1	1	1	1	1	
31	1	1	1	1	4	1	1	1	1	5	
32	1	3	1	8	1	1	1	1	1	1	
33	1	4	1	1	1	1	1	1	1	1	
34	1	1	1	1	1	1	1	1	1	3	
35	1	1	1	1	1	1	3	9	1	6	
36	1	1	1	1	1	1	3	1	1	3	
37	7	13	1	4	1	1	1	1	1	1	
38	1	1	1	1	1	1	1	1	10	4	
39	1	3	1	1	1	1	3	1	1	3	
40	1	3	1	1	1	1	6	1	1	1	
41	1	1	3	3	5	1	1	3	3	1	
42	1	3	1	1	1	1	1	1	1	7	
43	1	12	1	1	1	1	1	1	1	1	
44	1	3	1	1	1	1	1	1	1	3	
45	1	1	1	1	4	1	1	1	1	1	
46	1	1	1	1	4	11	1	1	1	5	
47	1	1	3	1	1	1	1	1	1	5	
48	1	3	4	1	1	1	1	1	1	1	
49	1	13	1	1	1	1	1	1	1	4	
50	1	16	1	1	4	1	1	1	1	5	
51	14	5	4	4	1	1	1	1	4	1	
52	1	3	1	3	1	1	1	1	1	1	
53	7	3	1	1	1	1	1	1	1	3	
54	1	3	6	1	1	1	3	1	1	1	
55	7	1	1	1	1	1	3	1	1	1	
56	1	5	1	1	1	1	1	1	1	1	
57	7	5	1	1	6	1	1	1	1	1	
58	1	4	9	1	1	1	3	1	1	3	
59	1	4	1	1	1	1	3	1	1	1	
60	1	1	1	5	1	1	4	1	1	1	
61	1	1	1	5	1	1	4	10	1	1	
62	12	1	1	1	1	1	3	1	1	3	
63	9	2	2	2	13	5	2	2	2	2	
64	1	18	1	5	1	1	4	1	1	1	
65	1	1	1	5	1	1	4	1	6	1	
66	1	1	1	3	1	1	1	1	1	1	
67	1	3	4	1	1	8	1	1	1	1	
68	1	12	1	1	4	1	1	1	1	5	
69	1	1	1	7	7	1	3	3	1	8	
70	1	1	3	3	2	1	1	7	3	1	
71	6	7	7	10	8	3	7	5	7	9	
72	3	9	2	2	13	4	2	2	2	2	
73	15	15	2	2	14	6	2	8	2	2	
74	2	2	2	3	13	2	8	2	2	2	
75	15	9	2	2	16	4	2	2	2	2	
76	2	2	2	2	13	5	2	2	2	2	
77	1	6	1	6	3	3	5	4	5	1	
