ST	aroE	dat	ddl	gmk	ldh	recA	yqiL
1	1	1	1	1	1	1	1
2	3	3	2	2	1	2	3
3	4	3	4	2	3	4	6
4	6	4	3	1	1	3	3
5	5	6	5	3	4	4	7
6	1	1	1	1	1	1	2
7	1	1	1	1	1	1	9
8	2	3	2	2	1	2	3
9	1	4	3	1	1	3	4
10	3	5	2	2	2	3	5
11	1	1	1	1	1	6	1
12	1	1	7	1	1	1	2
13	3	3	6	4	1	5	3
14	3	3	2	2	1	2	5
15	1	2	1	1	1	1	2
16	5	3	4	2	3	1	6
17	6	4	6	1	1	3	3
18	5	6	5	3	4	4	8
19	3	7	2	2	1	2	3
20	4	8	4	2	3	4	6
21	1	1	1	1	1	7	2
22	4	3	4	2	3	8	6
23	3	3	8	1	1	7	5
24	1	1	1	1	5	1	2
25	1	1	1	1	5	9	1
26	3	5	1	2	6	3	3
27	3	5	1	2	6	7	5
28	1	1	7	1	5	1	2
29	3	3	2	2	5	2	3
30	5	9	5	3	7	8	7
31	1	2	1	1	5	1	2
32	3	5	1	2	8	7	5
33	6	4	3	1	5	7	3
34	1	1	1	1	5	1	1
35	8	3	8	1	1	3	5
36	7	3	1	1	5	10	5
37	5	6	6	1	9	8	7
38	4	3	4	2	10	8	6
39	3	3	1	1	5	10	5
40	8	3	8	1	5	7	5
41	1	1	1	1	5	9	2
42	4	3	4	2	3	7	6
