ST	_16S	atpD	gyrB	recA	rpoB	trpB	clonal_complex
1	2	1	1	1	1	1	
2	17	2	2	2	2	2	
3	8	3	3	3	3	3	
4	25	4	4	4	4	4	
5	31	5	5	5	5	5	
6	28	5	5	5	5	5	
7	1	6	6	6	6	6	
8	21	7	7	7	7	7	
9	4	6	8	8	8	8	
10	10	8	9	9	9	9	
11	8	9	10	10	10	10	
12	29	10	11	11	11	11	
13	1	6	8	8	8	8	
14	15	11	12	12	12	12	
15	2	12	13	13	13	13	
16	11	13	14	14	14	14	
17	24	14	15	15	15	15	
18	22	15	16	16	16	16	
19	37	16	17	17	17	17	
20	14	17	18	18	18	18	
22	32	19	19	20	20	20	
24	2	21	20	13	22	22	
25	4	22	21	22	23	23	
26	13	23	22	23	24	24	
27	5	24	23	24	25	25	
28	20	25	24	25	26	26	
29	31	26	25	26	27	27	
30	3	27	26	27	28	28	
31	12	28	27	28	29	29	
32	19	29	28	29	30	30	
33	15	11	29	12	12	31	
34	34	30	30	30	31	32	
35	27	31	31	31	32	33	
36	35	32	32	32	33	34	
37	26	33	33	33	34	35	
38	4	34	21	22	23	36	
39	33	35	34	34	35	37	
40	2	12	13	13	13	38	
41	38	36	5	5	36	39	
42	3	37	35	35	37	40	
43	39	38	36	36	38	41	
44	13	39	37	23	24	42	
45	6	40	38	37	39	43	
46	13	23	39	23	24	44	
47	30	41	40	38	40	45	
48	16	42	41	39	41	46	
49	30	43	42	40	42	47	
50	9	44	43	41	43	48	
51	36	2	2	42	44	49	
52	18	45	44	43	45	50	
53	2	46	45	44	46	51	
54	40	47	46	45	47	52	
55	41	48	47	46	48	53	
56	42	49	48	47	49	54	
57	43	50	49	48	50	55	
58	38	5	5	5	5	5	
59	44	51	50	49	51	56	
60	45	52	51	50	52	57	
61	46	53	52	51	53	58	
62	47	54	53	52	54	59	
63	46	55	54	53	55	60	
64	48	56	55	54	56	61	
65	45	57	56	55	57	62	
66	49	57	57	56	58	63	
67	50	58	58	57	53	64	
68	51	59	59	58	59	65	
69	52	60	60	59	60	66	
70	53	61	61	60	61	67	
71	54	62	62	61	62	68	
72	55	63	63	62	63	69	
73	56	64	64	63	64	70	
74	57	65	65	64	65	71	
75	58	66	66	65	66	72	
76	59	67	67	66	67	73	
77	60	68	68	67	68	74	
78	61	69	69	68	69	75	
79	62	70	70	69	70	76	
80	57	71	71	70	71	77	
81	45	72	72	50	72	78	
82	56	64	64	63	64	79	
83	41	73	73	71	73	80	
84	46	74	74	72	74	81	
85	63	75	75	73	75	82	
86	64	76	76	74	76	83	
87	65	77	77	75	77	84	
88	60	68	68	76	78	85	
89	66	78	78	77	79	86	
90	67	79	79	78	80	97	
91	46	80	80	79	79	88	
92	68	81	81	80	81	89	
93	69	82	82	81	82	90	
94	70	83	83	82	83	91	
95	46	84	52	83	84	92	
96	53	86	85	85	85	94	
97	53	61	86	86	85	95	
98	72	72	87	50	72	96	
99	73	87	88	87	86	97	
100	73	87	88	87	87	97	
101	73	61	88	87	86	97	
102	45	88	89	88	88	98	
103	45	89	89	89	89	98	
104	41	90	90	90	90	99	
105	74	91	91	91	91	100	
106	38	92	92	5	36	101	
107	38	5	92	5	36	102	
108	75	66	66	65	66	72	
109	38	92	93	5	36	39	
110	38	5	92	92	36	39	
111	38	5	92	92	92	101	
112	38	92	93	93	36	103	
113	38	92	92	92	93	104	
114	38	92	92	92	36	39	
115	9	93	94	94	94	105	
116	4	34	21	95	23	106	
117	76	94	95	96	35	107	
118	77	17	96	97	95	108	
119	78	95	97	98	96	109	
120	79	96	98	99	97	110	
121	80	97	99	22	98	111	
122	6	40	38	37	39	112	
123	81	98	100	100	99	105	
124	82	99	101	101	100	113	
125	83	100	102	102	101	114	
126	21	101	103	103	102	115	
127	84	102	104	104	103	116	
128	85	103	9	105	104	117	
129	86	104	105	4	105	118	
130	36	2	2	106	2	119	
131	37	105	106	107	106	120	
132	16	106	107	108	107	121	
133	87	4	4	96	4	105	
134	1	6	6	8	8	122	
135	1	6	6	109	8	123	
136	1	6	6	8	8	124	
137	1	6	8	110	8	125	
