ST	gyrB	pyrH	recA	atpA	species
1	1	1	1	1	
2	2	2	2	2	
3	3	3	3	3	
4	4	4	4	4	
5	5	5	5	5	
6	6	4	6	6	
7	7	6	7	7	
8	8	7	8	8	
9	9	8	9	9	
10	10	9	10	10	
11	11	10	11	11	
12	4	11	4	12	
13	12	12	4	12	
14	13	13	12	4	
15	14	14	13	13	
16	15	15	14	14	
17	16	16	15	15	
18	17	17	16	16	
19	15	15	17	14	
20	18	17	18	16	
21	19	18	19	17	
22	20	19	20	17	
23	21	19	21	17	
24	22	20	22	16	
25	23	15	19	18	
26	24	21	23	19	
27	25	19	17	17	
28	26	22	24	20	
29	27	23	25	21	
30	28	24	26	22	
31	29	25	19	23	
32	30	25	27	23	
33	28	24	28	24	
34	28	24	29	24	
35	31	26	26	24	
36	32	27	30	25	
37	33	28	31	26	
38	34	29	32	27	
39	35	27	33	28	
40	36	30	34	3	
41	37	31	35	29	
42	3	4	36	3	
43	38	11	37	30	
44	39	32	38	31	
45	40	33	32	32	
46	41	34	32	28	
47	42	20	39	33	
48	43	22	40	34	
49	44	35	41	35	
50	45	36	42	36	
51	28	24	26	24	
52	17	19	43	37	
53	45	37	44	19	
54	12	4	45	4	
55	46	38	33	28	
56	47	39	46	38	
57	30	19	47	23	
58	48	40	48	39	
59	49	15	49	40	
60	50	41	50	41	
61	51	21	51	39	
62	52	36	52	19	
63	53	19	47	18	
64	54	36	53	42	
65	55	42	54	43	
66	56	19	55	44	
67	57	27	56	28	
68	58	43	57	45	
69	59	44	29	46	
70	60	19	58	47	
71	61	45	59	16	
72	7	46	7	7	
73	62	8	9	9	
74	15	47	60	48	
75	63	48	44	36	
76	64	49	59	16	
77	65	15	61	18	
78	66	21	62	36	
79	67	50	44	49	
80	68	51	63	50	
81	69	49	64	51	
82	70	15	61	17	
83	54	36	65	42	
84	71	15	66	52	
85	7	52	67	7	
86	72	53	68	45	
87	17	17	22	16	
88	73	54	69	53	
89	74	17	70	16	
90	75	55	71	19	
91	76	56	72	54	
92	77	57	35	45	
93	78	20	22	55	
94	79	58	73	45	
95	80	59	74	56	
96	42	17	69	16	
97	81	36	75	57	
98	82	22	76	58	
99	48	60	77	59	
100	83	36	78	60	
101	84	20	79	16	
102	85	61	80	61	
103	86	62	81	62	
104	87	63	82	63	
105	88	21	44	19	
106	89	64	83	64	
107	90	65	84	65	
108	26	66	85	65	
109	90	67	86	56	
110	7	68	7	7	
111	91	69	87	66	
112	92	70	88	67	
113	93	71	89	62	
114	94	72	90	68	
115	95	73	91	69	
116	96	74	80	70	
117	97	75	88	71	
118	97	76	92	72	
119	98	77	93	73	
120	55	42	94	74	
121	99	78	95	75	
122	100	79	88	71	
123	101	59	74	76	
124	102	40	96	19	
125	103	40	97	19	
126	104	80	98	77	
127	105	81	99	75	
128	106	82	84	21	
129	95	83	88	71	
130	107	84	100	78	
131	108	85	101	62	
132	26	22	102	34	
133	109	62	103	79	
134	93	85	104	62	
135	93	71	101	62	
136	110	86	105	72	
137	111	87	106	14	
138	112	20	107	16	
139	42	17	108	16	
140	113	88	109	80	
141	114	89	110	81	
142	115	90	111	65	
143	116	91	112	82	
144	117	92	113	83	
145	118	93	61	84	
146	119	94	114	85	
147	120	95	115	86	
148	121	96	116	87	
149	122	97	117	34	
