ST	dnaE	gyrB	recA	dtdS	pntA	pyrC	tnaA	clonal_complex
1	5	52	27	13	17	25	10	no
2	11	4	19	4	29	4	22	yes
3	3	4	19	4	29	4	22	yes
4	3	5	22	12	20	22	25	no
5	3	16	13	36	15	30	26	no
6	4	13	11	38	18	9	23	no
7	4	12	11	38	16	9	23	no
8	28	4	82	88	63	69	1	no
9	6	6	3	17	11	35	26	no
10	7	36	4	26	6	18	26	no
11	8	24	4	14	12	14	12	no
12	9	21	15	13	4	10	26	no
13	10	5	22	34	20	22	15	no
14	11	4	16	35	29	15	22	no
15	12	34	25	32	19	12	26	no
16	12	13	15	22	3	1	12	no
17	13	10	19	27	28	27	21	no
18	14	30	5	11	27	11	13	no
19	15	11	30	10	1	3	9	no
20	16	33	32	36	13	11	19	no
21	17	15	1	25	23	21	16	no
22	17	37	6	28	21	28	7	no
23	17	16	13	36	15	31	26	no
24	17	19	13	36	33	24	26	no
25	17	19	12	36	31	32	26	no
26	17	19	13	36	31	32	26	no
27	17	4	19	4	29	4	22	yes
28	17	16	13	7	24	16	20	no
29	18	18	9	19	4	28	18	no
30	19	31	8	31	32	29	20	no
31	19	31	7	31	32	29	20	no
32	20	25	15	6	7	11	4	no
33	20	25	15	16	7	11	5	no
34	20	25	15	13	7	11	5	no
35	20	7	15	13	7	11	5	no
36	21	15	1	23	23	21	16	no
37	21	15	1	23	23	20	16	no
38	21	15	1	23	22	21	16	no
39	21	29	1	23	23	21	16	no
40	22	24	17	13	9	19	14	no
41	22	28	33	13	8	19	14	no
42	22	4	19	4	29	4	22	yes
43	23	29	10	7	14	24	2	no
44	23	15	10	7	14	24	3	no
45	24	22	18	37	18	11	8	no
46	25	35	4	8	33	31	6	no
47	26	16	13	24	31	33	2	no
48	27	26	20	15	5	2	28	no
49	28	17	21	30	20	23	24	no
50	29	5	22	12	20	22	25	no
51	29	4	19	4	29	4	22	yes
52	30	32	23	20	2	13	11	no
53	31	17	21	30	20	23	24	no
54	31	8	3	13	30	7	2	no
55	32	23	26	21	26	17	23	no
56	33	22	24	5	10	5	1	no
57	34	29	2	33	25	26	17	no
58	35	20	31	29	23	6	27	no
59	36	15	1	25	23	21	16	no
60	36	19	13	36	33	24	26	no
61	37	14	14	9	14	34	26	no
62	19	4	88	2	34	18	23	no
63	7	38	34	27	28	8	2	no
64	40	39	3	18	4	36	29	no
65	39	9	27	39	3	37	30	no
66	42	25	3	40	35	38	31	no
67	44	42	35	29	26	41	13	no
68	41	40	36	41	36	39	32	no
69	43	41	31	42	37	40	33	no
70	28	17	37	30	20	23	24	no
71	3	4	4	4	29	4	20	yes
72	3	4	4	4	29	4	22	yes
73	3	44	42	44	38	44	24	no
74	5	25	19	45	4	11	24	no
75	47	47	4	46	39	43	35	no
76	5	25	4	46	4	11	24	no
77	20	25	15	13	7	42	5	no
78	46	46	39	47	26	47	34	no
79	35	43	38	21	31	35	37	no
80	48	5	41	43	31	45	22	no
81	45	45	40	7	14	46	36	no
82	5	52	27	13	18	25	40	no
83	5	52	27	13	17	25	40	no
84	49	54	46	51	18	11	8	no
85	5	4	19	45	4	11	24	no
86	5	53	47	28	4	51	41	no
87	11	4	16	35	29	52	22	no
88	11	48	43	48	26	48	26	no
89	28	28	44	46	40	49	38	no
90	29	5	22	12	20	55	25	no
91	35	4	16	50	29	5	42	no
92	50	55	48	52	23	53	43	no
93	51	50	31	29	41	46	39	no
94	52	49	45	49	4	50	23	no
95	20	25	15	13	7	11	20	no
96	35	4	16	50	29	66	42	no
97	45	60	55	59	14	57	7	no
98	14	30	49	11	27	11	13	
99	53	61	56	8	4	11	19	no
100	59	66	6	36	28	46	19	no
101	59	66	6	36	28	61	19	no
102	17	19	13	36	33	24	20	no
103	61	68	31	56	45	64	20	no
104	60	67	4	53	43	63	23	no
105	28	59	54	29	26	11	24	no
106	54	64	3	35	14	46	24	no
107	62	69	57	61	46	65	24	no
108	26	58	53	19	28	9	26	no
109	17	57	6	23	44	28	36	no
110	17	57	52	23	44	28	36	no
111	56	16	3	13	21	59	36	no
112	3	56	51	58	14	29	44	no
113	63	62	25	54	4	56	45	no
114	55	15	31	55	18	58	46	no
115	57	35	50	57	26	60	47	no
116	63	63	55	60	4	29	7	no
117	58	45	10	8	28	33	45	no
118	58	65	10	8	28	33	45	no
119	20	25	14	14	42	29	23	no
120	60	108	86	98	18	45	51	no
121	3	2	82	50	4	78	66	no
122	2	113	72	94	69	83	23	no
123	35	111	85	100	26	84	1	no
124	10	1	62	95	50	85	26	no
125	35	110	29	78	71	86	51	no
126	12	109	25	91	70	87	23	no
127	47	112	38	97	68	69	64	no
128	38	25	19	96	45	81	65	no
129	49	107	90	19	73	37	20	no
130	85	13	67	1	35	88	67	no
131	33	104	96	103	28	11	9	no
132	86	117	35	19	26	70	15	no
133	86	4	35	19	26	92	15	no
134	92	116	25	102	28	3	20	no
135	17	16	95	7	24	16	20	no
136	45	16	92	101	4	32	23	no
137	31	4	91	69	26	90	23	no
138	47	58	53	104	26	37	26	no
139	35	117	38	21	31	35	37	no
140	93	116	6	19	24	93	48	no
141	31	115	22	12	3	91	68	no
142	31	115	94	12	28	91	68	no
143	95	119	93	106	74	89	70	no
144	94	114	31	105	3	71	69	no
145	64	77	58	62	4	62	48	no
146	42	81	59	63	28	7	52	no
147	65	43	33	64	30	5	23	no
