ST	glnA	gyrB	dnaJ	thrA	hsp60	recA	clonal_complex
1	1	1	1	1	1	1	1
2	1	1	1	2	1	1	1
3	1	2	2	2	1	1	1
4	2	1	2	2	1	1	1
5	1	1	2	2	2	1	1
6	3	1	1	2	1	1	1
7	1	1	2	1	1	1	1
8	1	2	3	1	3	1	
9	1	3	1	1	1	1	1
10	4	1	1	1	1	1	1
11	1	4	1	1	1	1	1
12	1	3	1	2	1	1	1
13	1	2	1	1	1	1	1
14	1	1	2	2	1	1	1
15	5	1	2	2	1	1	1
16	6	1	1	2	1	1	1
17	7	1	4	4	1	1	2
18	1	5	2	1	1	1	1
19	8	6	5	2	4	4	
20	9	1	6	1	1	1	
21	7	2	4	2	1	1	2
22	7	2	4	4	1	1	2
23	1	1	6	2	1	1	1
24	1	1	4	4	1	1	2
25	7	2	1	2	1	1	2
26	1	5	2	2	1	1	1
27	7	2	7	2	1	1	2
28	1	1	1	3	1	1	1
29	1	1	1	2	1	2	1
30	1	1	2	2	1	3	1
