ST	adk	aroE	fumC	gdhA	mdh	pgi	pmi	clonal_complex
1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	
3	3	3	1	3	3	3	3	
4	4	4	3	4	4	4	4	
5	1	5	1	1	1	1	5	
6	5	6	4	5	5	5	6	
7	3	7	5	6	2	6	2	
8	6	8	6	7	6	7	7	
9	1	5	1	1	1	1	1	
10	7	9	7	8	7	8	8	
11	8	10	8	9	8	9	9	
12	8	10	7	9	8	9	9	
13	9	11	9	10	1	10	10	
14	10	12	7	11	9	11	11	
15	11	1	10	12	10	1	12	
16	12	13	11	13	11	12	13	
17	13	14	12	5	12	13	14	
18	14	15	13	14	13	14	14	
19	13	16	14	5	13	15	15	
20	13	17	15	5	13	16	14	
21	15	18	16	15	14	17	16	
22	16	19	17	16	15	18	17	
23	17	20	18	17	16	19	18	
24	18	21	19	18	17	20	19	
25	19	22	20	19	18	21	20	
26	20	23	21	20	19	22	21	
27	21	24	22	21	20	22	20	
28	19	23	21	20	19	22	21	
29	19	25	23	22	21	23	22	
30	22	26	24	20	19	22	23	
31	23	27	25	23	22	24	24	
32	24	2	26	24	23	25	25	
33	1	2	1	1	23	25	25	
34	1	5	9	1	1	1	1	
35	25	5	1	1	1	26	1	
