ST	adk	fumC	gyrB	icd	mdh	recA
1	2	2	1	1	1	1
2	3	1	1	1	2	1
3	131	174	136	178	154	187
4	4	1	2	2	2	1
5	1	3	3	3	2	2
6	1	4	4	3	2	3
7	1	5	1	2	3	4
8	3	6	5	3	4	1
9	1	7	6	4	2	5
10	3	8	3	5	3	4
11	5	10	8	6	6	7
12	5	11	8	6	7	8
13	6	12	9	7	8	9
14	6	13	9	8	9	10
15	8	14	11	10	11	12
16	7	15	10	9	10	11
17	9	16	12	11	12	13
18	8	14	13	12	13	14
19	10	17	14	13	14	13
20	11	18	15	14	15	15
21	12	19	16	15	16	13
22	131	183	194	216	131	188
23	13	20	17	16	17	16
24	158	253	191	3	5	5
25	129	257	187	211	131	134
26	14	21	18	17	18	17
27	15	21	19	18	19	18
28	16	22	20	19	14	19
29	17	23	21	14	20	20
30	7	24	22	20	10	21
31	1	258	4	3	2	4
32	18	25	16	19	21	22
33	16	26	16	21	22	23
34	4	204	181	217	163	121
35	16	27	23	19	14	24
36	19	28	24	22	23	25
37	159	259	135	180	133	189
38	9	29	25	11	12	26
39	15	21	26	14	24	18
40	11	30	27	23	25	17
41	135	171	136	198	131	153
42	20	31	28	24	26	27
43	21	32	29	25	27	28
44	22	33	30	24	27	29
45	23	22	16	26	28	30
46	131	174	136	178	154	164
47	132	260	166	218	188	137
48	24	34	20	27	28	19
49	25	35	16	28	14	13
50	25	36	31	29	14	13
51	26	37	19	23	29	17
52	27	32	32	25	27	31
53	28	38	13	30	30	32
54	11	14	33	31	31	14
55	29	40	35	33	33	34
56	129	240	132	219	128	144
57	93	120	202	111	101	96
58	30	41	36	34	32	35
59	31	42	36	35	34	33
60	32	43	37	36	35	36
61	32	44	38	37	36	37
62	33	45	39	38	37	38
63	34	46	40	39	38	39
64	35	47	41	40	39	40
65	35	48	42	41	40	41
66	129	182	136	178	131	195
67	36	49	41	42	41	42
68	35	50	39	43	42	43
69	35	51	43	44	43	44
70	35	52	44	44	44	41
71	37	53	45	45	45	45
72	135	189	132	240	134	124
73	33	54	39	46	46	41
74	37	49	42	47	45	46
75	33	55	46	48	47	47
76	38	56	39	46	48	48
77	39	57	47	49	49	46
78	35	58	41	47	50	41
79	35	51	39	50	51	44
80	37	53	45	45	45	46
81	40	59	41	43	45	46
82	41	60	41	42	52	49
83	35	61	39	51	40	41
84	42	62	41	52	53	50
85	43	63	48	53	54	51
86	44	64	40	54	55	52
87	35	45	49	38	37	38
88	45	65	41	55	45	53
89	1	170	4	3	202	3
90	115	276	132	159	131	144
91	131	171	136	164	192	144
92	4	280	153	136	125	121
93	135	171	133	243	131	144
94	3	305	1	2	2	1
95	93	120	107	111	197	96
96	131	289	136	146	131	129
97	167	171	132	198	131	124
