ST	adk	ccpA	recF	rpoB	spo0A	sucC	clonal_complex
1	1	1	1	1	1	1	
2	2	1	1	2	1	2	
3	2	1	1	1	1	2	
4	3	2	2	3	2	3	
5	2	3	1	1	3	1	
6	3	4	3	3	2	4	
7	2	1	1	2	4	2	
8	4	5	4	4	5	5	
9	2	1	1	1	1	1	
10	2	6	1	1	6	1	
11	3	7	5	3	7	3	
12	2	8	1	1	1	2	
13	2	9	1	2	1	1	
14	3	7	2	3	2	3	
15	3	2	5	3	8	3	
16	3	10	5	3	2	6	
17	3	7	5	5	2	7	
18	3	10	3	3	2	3	
19	2	1	1	2	3	1	
20	2	1	1	2	3	2	
21	3	2	2	3	2	8	
22	2	1	1	1	1	9	
23	2	11	1	1	1	1	
24	2	3	1	1	1	2	
25	2	9	1	1	1	1	
26	2	1	1	2	1	1	
27	3	2	5	3	9	3	
28	3	12	6	3	9	3	
29	2	1	1	1	10	9	
30	2	1	1	6	1	1	
31	2	1	1	1	1	10	
32	1	13	7	1	11	11	
33	3	7	5	3	12	3	
34	2	9	1	1	10	1	
35	3	7	5	3	13	3	
36	3	14	5	3	2	3	
37	3	2	8	3	2	3	
38	5	15	9	7	14	12	
39	2	16	1	8	6	2	
40	2	1	1	1	3	2	
41	1	9	1	1	1	1	
42	2	3	1	1	3	2	
43	3	7	3	3	2	3	
44	1	9	1	2	1	1	
45	2	3	1	1	1	1	
46	2	1	1	1	3	1	
47	3	7	5	3	2	3	
48	3	2	10	3	9	3	
49	3	7	5	3	8	3	
50	3	2	2	3	7	3	
