ST	adk	fumC	glyA	tyrB	icd	pepA	pgm	clonal_complex
1	1	1	1	1	1	1	1	2
2	1	1	1	3	1	1	1	2
3	3	2	1	2	4	6	7	4
4	2	3	3	1	1	3	2	1
5	2	3	4	1	3	3	2	1
6	2	2	4	1	1	4	2	1
7	2	4	4	1	1	4	2	1
8	3	2	8	2	4	8	9	4
9	3	5	1	5	7	8	6	4
10	2	3	4	1	1	4	2	1
11	2	2	12	1	1	4	2	1
12	2	6	4	1	1	4	2	1
13	3	2	6	2	4	8	6	4
14	2	2	4	1	3	4	2	1
15	4	2	1	2	8	8	6	4
16	2	2	5	1	1	5	3	1
17	4	5	1	2	4	8	6	4
18	3	2	6	2	4	6	4	4
19	2	2	2	2	2	2	5	3
20	5	3	11	6	9	3	10	
21	6	2	9	4	1	9	7	
22	3	5	6	2	1	6	6	4
23	2	2	4	1	5	7	2	1
24	2	1	1	1	1	1	1	2
25	3	2	1	2	4	6	6	4
26	2	2	1	1	6	7	2	1
27	5	3	3	1	1	3	2	1
28	4	2	1	2	2	8	7	4
29	4	2	6	4	1	8	8	
30	1	2	2	2	2	2	5	3
31	5	3	3	1	1	7	2	1
32	2	2	7	1	1	7	2	1
33	2	2	4	1	1	7	2	1
34	3	5	1	5	7	6	6	4
35	3	5	10	2	4	8	6	4
36	2	2	4	1	3	7	2	1
37	2	3	4	1	1	3	2	1
38	2	1	4	1	1	4	2	1
39	2	1	4	1	3	4	2	1
40	5	3	3	1	1	3	4	1
41	5	3	11	2	10	3	10	
42	2	4	10	1	1	4	2	1
43	3	5	10	6	4	8	6	4
44	2	4	4	1	1	8	2	
45	2	2	1	2	1	4	2	
46	2	2	1	4	1	4	3	
47	3	2	1	2	2	8	6	
48	4	5	1	5	4	6	6	
49	3	2	6	5	4	8	4	
50	4	2	1	2	4	8	6	
51	4	2	1	2	4	8	2	
52	6	2	1	4	4	8	6	
53	4	5	8	5	4	8	9	
54	4	2	6	4	4	8	6	
55	2	2	4	1	3	4	6	
56	4	2	6	2	4	8	6	
57	3	2	1	2	2	8	7	
58	6	2	6	2	4	8	6	
59	5	3	13	6	12	3	10	
60	5	3	11	6	10	3	10	
61	5	3	11	6	10	3	11	
62	2	2	4	1	1	4	12	
63	2	2	4	1	3	8	2	
64	3	2	1	5	4	8	6	
65	4	2	6	2	4	6	6	
66	3	2	1	2	4	8	6	
67	5	3	13	6	10	3	10	
68	7	7	13	7	13	11	13	
69	8	5	14	2	4	6	6	
70	3	2	1	2	2	6	7	
71	3	2	8	4	2	8	7	
72	4	2	1	2	14	8	7	
73	3	2	1	2	2	8	14	
74	3	2	6	5	2	8	6	
75	4	5	15	4	4	8	7	
76	9	8	16	8	15	12	15	
77	5	3	13	6	16	3	10	
78	10	3	13	6	10	3	10	
79	1	1	1	3	1	13	1	
80	11	9	17	9	1	14	16	
81	12	10	18	10	17	15	17	
