ST	uvrA	gyrB	ftsY	tuf	gap
1	1	1	1	1	1
2	4	1	1	3	3
3	3	1	1	4	4
4	4	1	1	2	3
5	5	1	2	6	6
6	2	1	1	2	3
7	8	1	1	4	10
8	2	2	3	5	6
9	2	1	1	2	2
10	2	1	1	7	2
11	7	1	1	6	9
12	2	1	1	11	9
13	4	1	1	1	1
14	7	1	1	2	10
15	10	1	1	2	7
16	6	3	5	8	5
17	11	1	1	4	4
18	3	1	5	9	3
19	9	1	4	10	3
20	3	1	6	6	8
21	2	1	1	4	10
22	10	1	1	4	11
23	12	4	1	4	7
24	1	2	3	1	1
25	1	2	3	2	1
26	2	2	3	1	1
27	3	1	7	4	12
28	12	1	1	12	1
29	1	2	3	1	2
30	1	2	1	1	1
31	14	1	1	13	3
32	13	5	8	4	12
33	8	1	2	2	13
34	12	1	1	12	10
35	12	1	1	2	12
36	15	6	9	11	14
37	16	7	1	13	14
38	18	8	3	14	15
39	19	9	10	7	16
40	20	10	11	13	17
41	21	10	12	7	18
42	22	10	13	15	14
43	23	10	14	7	7
44	24	10	7	13	19
45	18	7	1	4	14
46	25	10	15	4	15
47	26	1	1	8	2
48	27	11	16	16	20
49	28	12	1	16	20
50	3	6	17	2	21
51	29	13	18	13	22
52	30	10	1	17	3
53	31	10	19	8	10
54	32	1	20	18	4
55	33	10	3	4	14
56	34	14	21	8	2
57	35	15	1	19	23
58	35	10	1	2	10
59	37	9	1	4	18
60	38	10	3	11	24
61	39	16	19	2	2
62	36	16	18	7	25
63	40	17	1	20	18
64	41	10	22	14	4
65	17	10	23	5	26
66	19	10	1	2	10
67	23	10	2	2	28
68	19	10	2	12	28
69	42	10	7	12	27
70	43	10	15	4	28
71	44	1	2	1	6
72	45	10	1	4	29
