ST	fusA	ileS	lepA	leuS	pyrG	recA	recG
1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	2
3	1	2	1	1	1	1	1
4	2	1	1	1	1	1	1
5	3	1	1	1	1	1	1
6	1	1	2	1	1	1	2
7	4	2	3	2	1	1	3
8	4	2	3	1	1	1	3
9	4	2	3	3	1	1	3
10	4	2	4	4	1	1	4
11	5	2	4	4	1	1	4
12	3	3	5	4	1	1	4
13	1	3	5	4	1	1	4
14	5	4	5	5	1	1	4
15	5	4	5	5	1	1	1
16	4	5	6	6	1	1	5
17	4	5	6	6	1	2	5
18	6	3	7	7	1	1	1
19	6	3	7	8	1	1	1
20	6	3	7	8	2	1	1
21	4	2	8	2	1	1	6
22	7	3	7	9	1	1	7
23	4	3	9	5	1	1	8
24	5	1	1	1	3	1	2
25	7	4	7	10	1	3	1
26	2	6	5	11	1	1	1
27	2	3	9	3	1	1	8
28	4	7	5	3	1	1	1
29	7	8	7	8	1	1	1
30	8	2	10	12	1	4	9
31	1	9	9	5	1	1	8
32	7	3	7	10	1	3	1
33	2	6	8	11	1	1	1
34	7	3	7	8	1	1	1
35	7	2	3	2	1	1	3
36	8	2	8	13	1	5	6
37	8	2	12	13	1	5	6
38	2	10	5	3	1	1	3
39	6	3	3	8	1	1	1
40	4	6	11	8	4	1	9
