ST	Oxf_gltA	Oxf_gyrB	Oxf_gdhB	Oxf_recA	Oxf_cpn60	Oxf_gpi	Oxf_rpoD	clonal_complex	species
1	1	1	1	1	1	1	6		
2	2	2	2	1	1	2	7		
3	1	1	1	1	2	1	4		
4	1	12	3	2	2	7	3		
5	1	3	3	2	2	3	1		
6	1	4	3	2	2	3	3		
7	3	3	3	2	3	3	8		
8	4	4	4	4	4	5	9		
9	1	3	3	2	2	6	8		
10	1	4	3	2	2	7	3		
11	4	11	6	1	7	8	6		
12	8	4	4	4	4	5	5		
13	1	7	8	9	1	4	14		
14	1	10	8	6	1	4	14		
15	1	12	11	10	1	9	4		
16	10	12	4	11	11	9	5		
17	1	12	12	11	4	10	3		
18	10	13	4	11	12	11	5		
19	1	14	3	2	2	9	3		
20	1	15	13	12	4	12	2		
21	1	12	3	2	2	9	3		
22	1	15	13	12	4	12	37		
23	1	1	1	1	1	28	10		
24	1	1	22	1	4	20	16		
25	1	1	41	6	23	31	26		
26	1	10	36	22	20	4	24		
27	1	51	1	36	1	98	6		
28	1	12	3	2	2	35	4		
29	1	12	3	28	2	29	4		
30	1	12	3	29	2	34	4		
31	1	12	39	25	21	3	25		
32	1	12	4	11	4	28	2		
33	1	12	4	11	4	29	2		
34	1	15	13	12	4	49	37		
35	1	15	2	28	1	41	32		
36	1	15	2	28	1	44	32		
37	1	19	1	17	1	18	14		
38	1	25	23	6	4	21	17		
39	1	26	24	1	4	3	10		
40	1	3	6	1	4	34	10		
41	1	31	31	24	4	10	21		
42	1	34	14	28	22	35	2		
43	1	42	49	10	1	48	23		
44	10	12	1	33	4	29	31		
45	10	12	30	24	4	9	20		
46	10	12	4	11	4	29	2		
47	10	12	4	11	4	29	35		
48	10	12	4	6	4	33	2		
49	10	19	17	16	4	9	2		
50	10	34	40	26	22	27	2		
51	11	12	4	11	1	28	2		
52	12	17	16	1	14	14	7		
53	13	12	4	6	1	9	2		
54	13	12	4	24	4	9	22		
55	13	33	37	24	4	11	2		
56	14	23	20	1	16	17	13		
57	15	24	4	18	17	19	15		
58	18	17	28	22	4	4	18		
59	19	30	29	23	18	24	19		
60	2	21	12	32	26	39	2		
61	20	12	34	24	1	9	2		
62	21	31	35	24	1	25	23		
63	23	35	3	27	23	30	19		
64	24	1	42	13	24	32	26		
65	28	38	45	1	16	40	5		
66	28	38	45	31	16	30	5		
67	29	41	48	11	1	45	10		
68	3	22	18	1	1	16	12		
69	1	46	3	2	2	58	3		
70	1	46	3	2	1	58	3		
71	1	46	3	2	2	58	4		
72	1	15	2	28	1	55	4		
73	1	47	53	1	1	59	32		
74	1	3	3	2	2	75	3		
75	1	3	3	2	2	11	3		
76	1	12	3	2	2	10	3		
77	1	1	66	12	33	76	21		
78	13	26	67	40	1	22	7		
79	34	12	68	41	32	7	46		
80	34	12	68	41	34	10	4		
81	1	54	59	11	4	69	45		
82	1	12	59	15	4	52	45		
83	21	12	2	15	35	77	4		
84	1	12	2	15	22	72	5		
85	21	15	2	15	1	52	4		
86	21	15	2	15	1	78	4		
87	1	52	29	15	18	24	7		
88	1	3	3	2	2	10	3		
89	1	3	3	2	2	26	3		
90	1	3	3	2	2	62	3		
91	22	15	13	12	4	62	2		
92	1	3	3	2	2	7	3		
93	1	12	13	6	11	1	4		
94	2	12	12	1	1	4	4		
95	10	12	4	11	1	9	5		
96	1	43	50	31	1	50	26		
97	1	17	8	10	28	51	38		
98	1	12	3	2	2	3	3		
99	1	15	8	10	28	3	32		
100	1	15	8	10	28	55	32		
101	1	15	12	6	28	12	40		
102	1	15	8	10	28	12	32		
103	12	17	12	1	29	3	39		
104	12	17	12	1	29	57	39		
105	31	45	8	6	30	53	6		
106	1	1	1	1	1	98	6		
107	1	17	12	1	29	57	39		
108	10	12	4	6	4	9	5		
109	10	12	4	11	4	9	5		
110	1	15	2	28	1	52	32		
111	1	15	2	2	1	3	2		
112	1	12	56	36	1	61	26		
113	1	15	8	10	28	56	32		
114	1	15	8	10	28	57	32		
115	2	1	12	1	1	4	5		
116	1	15	4	11	4	4	2		
117	1	15	2	2	1	4	5		
118	1	3	3	2	2	3	3		
119	1	15	12	6	28	59	40		
120	1	3	6	1	4	3	6		
121	1	17	8	10	28	63	32		
122	10	12	4	6	4	100	5		
123	4	12	4	11	4	100	5		
124	1	17	8	10	28	66	32		
125	1	52	59	12	1	18	44		
126	10	53	4	11	4	64	5		
127	1	33	57	11	26	11	6		
128	2	44	58	1	1	54	41		
129	1	38	42	37	4	11	43		
130	1	12	3	2	2	65	3		
131	1	50	13	6	4	179	42		
132	1	12	71	2	1	79	30		
133	12	17	12	1	29	67	39		
134	2	12	73	12	1	9	47		
135	10	53	74	11	4	80	5		
136	1	3	3	2	2	16	3		
137	1	3	3	2	2	12	3		
138	1	3	3	2	2	50	3		
139	1	15	12	6	28	59	3		
140	1	15	12	6	28	59	32		
141	1	47	3	2	2	7	30		
142	10	12	4	11	1	9	30		
143	1	47	67	28	1	10	6		
144	21	35	2	28	22	52	4		
145	21	35	2	28	1	52	4		
146	1	15	13	12	4	14	2		
